GEO_ID,B18103_001E,B18103_001M,B18103_002E,B18103_002M,B18103_003E,B18103_003M,B18103_004E,B18103_004M,B18103_005E,B18103_005M,B18103_006E,B18103_006M,B18103_007E,B18103_007M,B18103_008E,B18103_008M,B18103_009E,B18103_009M,B18103_010E,B18103_010M,B18103_011E,B18103_011M,B18103_012E,B18103_012M,B18103_013E,B18103_013M,B18103_014E,B18103_014M,B18103_015E,B18103_015M,B18103_016E,B18103_016M,B18103_017E,B18103_017M,B18103_018E,B18103_018M,B18103_019E,B18103_019M,B18103_020E,B18103_020M,B18103_021E,B18103_021M,B18103_022E,B18103_022M,B18103_023E,B18103_023M,B18103_024E,B18103_024M,B18103_025E,B18103_025M,B18103_026E,B18103_026M,B18103_027E,B18103_027M,B18103_028E,B18103_028M,B18103_029E,B18103_029M,B18103_030E,B18103_030M,B18103_031E,B18103_031M,B18103_032E,B18103_032M,B18103_033E,B18103_033M,B18103_034E,B18103_034M,B18103_035E,B18103_035M,B18103_036E,B18103_036M,B18103_037E,B18103_037M,B18103_038E,B18103_038M,B18103_039E,B18103_039M,NAME,B18103_001MA,B18103_001EA,B18103_002MA,B18103_002EA,B18103_003EA,B18103_003MA,B18103_004MA,B18103_004EA,B18103_005MA,B18103_005EA,B18103_006MA,B18103_006EA,B18103_007EA,B18103_007MA,B18103_008EA,B18103_008MA,B18103_009EA,B18103_009MA,B18103_010MA,B18103_010EA,B18103_011MA,B18103_011EA,B18103_012EA,B18103_012MA,B18103_013MA,B18103_013EA,B18103_014EA,B18103_014MA,B18103_015MA,B18103_015EA,B18103_016MA,B18103_016EA,B18103_017EA,B18103_017MA,B18103_018EA,B18103_018MA,B18103_019EA,B18103_019MA,B18103_020EA,B18103_020MA,B18103_021MA,B18103_021EA,B18103_022MA,B18103_022EA,B18103_023EA,B18103_023MA,B18103_024MA,B18103_024EA,B18103_025EA,B18103_025MA,B18103_026MA,B18103_026EA,B18103_027MA,B18103_027EA,B18103_028MA,B18103_028EA,B18103_029MA,B18103_029EA,B18103_030EA,B18103_030MA,B18103_031EA,B18103_031MA,B18103_032MA,B18103_032EA,B18103_033MA,B18103_033EA,B18103_034MA,B18103_034EA,B18103_035MA,B18103_035EA,B18103_036EA,B18103_036MA,B18103_037MA,B18103_037EA,B18103_038MA,B18103_038EA,B18103_039MA,B18103_039EA,state
0400000US01,4793512,2005,2300832,5674,147385,3027,450,325,146935,3002,411444,4217,4722,1215,406722,4621,520215,3663,7350,1487,512865,3719,880682,3743,29840,2986,850842,4893,218704,2414,13314,1575,205390,2896,122402,1564,10987,1639,111415,1869,2492680,5724,141512,2877,848,747,140664,2959,392104,3455,3316,986,388788,3434,551807,4093,8273,1853,543534,4442,965447,4483,33888,2459,931559,4877,256376,2450,12783,1875,243593,3155,185434,2029,22490,2501,162944,2900,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,26064,1147,83,113,25981,1133,67704,1506,853,404,66851,1557,90812,2297,1409,757,89403,2460,140572,1986,4024,1058,136548,2227,29319,854,1250,398,28069,963,11643,556,1258,389,10385,629,350064,2412,26853,1277,329,305,26524,1268,64201,1491,282,210,63919,1515,84410,1463,1691,718,82719,1568,134050,1486,4278,1144,129772,1856,27107,802,1645,639,25462,1052,13443,590,1906,622,11537,779,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,222039,1311,1585,973,220454,1929,607971,2408,5607,1214,602364,2661,801629,3267,9349,1707,792280,3596,1217760,3046,29772,2867,1187988,4295,325812,1317,14655,1868,311157,2152,222016,1374,19447,2536,202569,2749,3510894,3887,212901,1538,391,212,212510,1532,587180,2122,4994,1161,582186,2493,776961,2401,11225,2268,765736,3309,1292658,2213,29827,3039,1262831,3824,370320,1497,14331,2008,355989,2452,270874,1364,27410,2287,243464,2636,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,96928,2555,659,594,96269,2585,267738,3343,3887,1074,263851,3372,328497,3191,7910,2116,320587,3847,533566,3046,19436,2306,514130,3729,134649,2156,9674,1649,124975,2606,81043,1222,7533,1139,73510,1889,1506884,4657,89684,2435,141,167,89543,2434,252140,3183,3516,1421,248624,3277,326258,3131,5638,1367,320620,3385,574175,3255,25514,2870,548661,4218,153140,1870,9281,1456,143859,2436,111487,1662,11807,1710,99680,2094,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,1258969,3004,4372,1250,1254597,3243,3361317,3959,25021,2888,3336296,5051,4873764,6552,44933,3522,4828831,6934,7369434,5871,139828,5417,7229606,7792,1468783,2641,61697,3446,1407086,4383,935552,2759,82695,4838,852857,5152,19779016,6604,1201133,3391,5286,1271,1195847,3590,3221186,3661,21439,2366,3199747,4189,4732202,3883,47473,4149,4684729,5836,7618752,4575,151653,7201,7467099,8161,1699022,3522,73045,3643,1625977,4266,1306721,3392,128623,5557,1178098,6316,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,170238,1930,1332,610,168906,1980,475506,2746,4064,1114,471442,2971,686806,3519,7297,1394,679509,3836,1067828,3179,20294,2232,1047534,4232,227526,1732,7316,986,220210,2152,120384,1522,10568,1509,109816,1915,2765782,3756,162355,2094,533,326,161822,2119,451979,1973,2963,925,449016,2254,660085,2798,8921,1470,651164,3174,1080502,2392,22982,2431,1057520,3330,249596,1977,9309,1619,240287,2522,161265,1927,13873,1543,147392,2370,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,94460,1388,476,576,93984,1507,284690,1612,2047,655,282643,1719,392743,2384,3343,1008,389400,2600,692210,2364,12767,1820,679443,3003,156934,1003,3799,868,153135,1352,95942,1109,5820,896,90122,1159,1819543,2573,87734,1211,328,273,87406,1292,274045,1267,1593,693,272452,1451,388799,1681,4076,1139,384723,2077,742355,1820,12559,1808,729796,2351,179212,1333,4917,1162,174295,1720,147398,1444,12084,1915,135314,2130,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,28071,798,0,198,28071,798,75704,950,254,284,75450,977,102435,1419,558,359,101877,1486,172625,1520,3526,992,169099,1634,47492,714,1013,449,46479,862,28134,688,2057,614,26077,893,492798,1502,26836,823,0,198,26836,823,73297,940,200,179,73097,969,107213,1070,2366,973,104847,1241,191947,1212,4157,1027,187790,1390,55971,477,1588,664,54383,789,37534,650,3171,849,34363,993,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,22795,4,165,201,22630,201,39874,488,879,597,38995,720,106974,777,3274,1333,103700,1553,118653,816,4268,1304,114385,1661,19989,540,2018,744,17971,832,12650,484,1174,635,11476,779,362873,800,22270,114,0,208,22270,114,39433,646,1221,885,38212,1017,126518,291,4824,1886,121694,1876,125807,493,5106,1317,120701,1413,27099,384,1981,747,25118,843,21746,523,2647,773,19099,952,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,576007,3848,2402,895,573605,4048,1557335,4728,16204,2497,1541131,5228,2175658,6071,30483,4023,2145175,6805,3844548,6580,92325,5685,3752223,7369,1072077,3869,41485,3641,1030592,5196,800526,3282,60689,4379,739837,5781,10652553,6437,553315,3303,2225,988,551090,3324,1504557,4753,15254,2349,1489303,5519,2181121,4995,26549,3347,2154572,6360,4139420,5790,100867,6597,4038553,8353,1254343,3374,48429,3793,1205914,4856,1019797,3470,103375,6168,916422,6715,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
