GEO_ID,C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,NAME,C03002_001MA,C03002_001EA,C03002_002MA,C03002_002EA,C03002_003MA,C03002_003EA,C03002_004EA,C03002_004MA,C03002_005EA,C03002_005MA,C03002_006MA,C03002_006EA,C03002_007MA,C03002_007EA,C03002_008MA,C03002_008EA,C03002_009EA,C03002_009MA,C03002_010EA,C03002_010MA,C03002_011EA,C03002_011MA,C03002_012MA,C03002_012EA,state
0400000US01,4874747,-555555555,4672777,2353,3191450,2158,1302295,6305,22209,2353,65494,2691,1432,772,8106,3642,81791,6172,2182,978,79609,6237,201970,2353,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,688083,110,448081,1095,21192,1803,105146,3312,48569,2031,8699,620,1210,973,55186,4674,774,631,54412,4566,51712,110,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,4814097,-555555555,3836639,4499,290379,6061,274496,5403,225810,4694,14951,2047,12312,4550,159510,9473,6986,2909,152524,9154,2202173,-555555555,Arizona,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,04
0400000US05,3004279,-555555555,2780515,1357,2173307,2415,455500,5114,16901,2031,46583,3182,8220,1846,7629,3410,72375,4685,844,408,71531,4670,223764,1357,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,24059347,-555555555,14616636,7788,2164239,16842,147880,6486,5679986,18800,137520,4791,107223,9425,1205863,27793,59147,5133,1146716,27239,15477306,-555555555,California,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,06
0400000US08,5607154,-555555555,4400430,-555555555,3822055,2897,219500,5708,32102,3053,176176,4233,7137,1301,11528,2806,131932,6486,4440,1461,127492,6687,1206724,-555555555,Colorado,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,08
0400000US09,3588184,-555555555,3009351,-555555555,2393694,3077,354320,6030,7486,1570,162564,2958,137,140,13505,3611,77645,6759,4655,1500,72990,6474,578833,-555555555,Connecticut,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,09
0400000US10,961939,-555555555,872399,-555555555,597917,735,206690,3260,2344,713,38404,1578,244,214,1545,757,25255,3559,626,551,24629,3555,89540,-555555555,Delaware,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,10
0400000US11,693972,-555555555,617446,-555555555,253416,1470,314705,2755,1574,428,28056,1492,217,184,3746,2029,15732,2673,388,431,15344,2634,76526,-555555555,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,11
0400000US12,20984400,-555555555,15613540,461,11288419,8183,3224452,14150,42654,4004,578136,7187,11076,3072,78348,9051,390455,17096,25634,5759,364821,16026,5370860,461,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
