GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001MA,B15010_001EA,B15010_002MA,B15010_002EA,B15010_003MA,B15010_003EA,B15010_004MA,B15010_004EA,B15010_005EA,B15010_005MA,B15010_006MA,B15010_006EA,B15010_007MA,B15010_007EA,B15010_008EA,B15010_008MA,B15010_009EA,B15010_009MA,B15010_010EA,B15010_010MA,B15010_011EA,B15010_011MA,B15010_012MA,B15010_012EA,B15010_013MA,B15010_013EA,B15010_014EA,B15010_014MA,B15010_015EA,B15010_015MA,B15010_016EA,B15010_016MA,state
0400000US01,844704,13082,31713,2746,49082,4089,22277,2155,34176,2875,36885,3285,65100,3794,3973,846,92007,4609,193132,6898,148175,5939,24916,2379,39793,3732,23018,2285,23995,2232,56462,3471,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,138684,5762,3862,958,16481,2047,7507,1437,5824,1016,9781,1791,10655,1639,1188,585,18926,2448,18499,2105,15773,1930,5676,1310,8093,1318,3186,898,2691,726,10542,1589,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1383092,18160,60779,4124,79111,4723,37396,2976,59065,3836,82554,4288,117938,5004,12511,2145,136606,6318,306495,8498,197455,6481,47226,3103,55388,4175,47084,3448,52957,4139,90527,4848,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,470114,11180,21407,2933,34065,4090,14548,1967,22191,2585,19818,2296,24747,2423,2942,1001,49386,3665,98438,5104,86747,5407,15544,2252,24113,2283,12289,1861,13941,1831,29938,2827,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8976247,47144,498185,12306,578358,13397,290259,8432,461056,10653,873453,14414,917419,13566,74723,4253,718639,14400,1645595,20934,581642,12969,446760,9353,508001,10032,525265,12016,379257,10003,477635,10596,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1574697,14828,76464,3669,119493,5734,59808,3459,81037,3521,127661,5854,139502,5222,14261,1537,128838,5880,308088,9754,150727,5004,70557,4310,70726,4420,64244,3490,73904,4190,89387,4414,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,964607,12471,40010,3153,56880,3907,29682,2846,53235,3527,88847,4381,74728,4299,5244,1070,85983,4628,192261,6268,100508,4538,53638,3292,55283,3630,41353,3344,35700,2946,51255,3979,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212083,6756,12009,1688,13953,1739,6380,1121,7657,1815,13251,1839,17776,2212,2205,635,19789,2191,47778,3317,31109,2555,7092,1291,10062,1528,5697,1262,4584,1089,12741,1850,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,283519,5856,11066,1854,17028,2046,9440,1830,15043,1824,69951,4298,13832,1881,3803,916,12535,1748,38030,3008,12572,2190,20155,1966,21654,2307,11211,1761,15762,1723,11437,1571,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4454492,36789,171336,7790,222540,7481,116480,6712,205853,8943,308548,8571,358356,9528,29646,2985,475420,12864,1084019,22630,582640,13365,145364,6201,185733,7679,144434,7261,162072,7451,262051,11216,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
