GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001EA,B10059_001MA,B10059_002EA,B10059_002MA,B10059_003MA,B10059_003EA,B10059_004MA,B10059_004EA,B10059_005EA,B10059_005MA,B10059_006EA,B10059_006MA,B10059_007EA,B10059_007MA,B10059_008MA,B10059_008EA,B10059_009MA,B10059_009EA,B10059_010MA,B10059_010EA,B10059_011MA,B10059_011EA,state
0400000US01,117353,6332,22108,2760,15055,2270,8317,1667,6738,1538,7053,1491,95245,5910,45436,4345,23346,3158,22090,2883,49809,3801,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16621,1949,1655,537,813,228,367,121,446,229,842,477,14966,2062,5475,1256,2665,941,2810,773,9491,1615,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171855,7768,25105,3141,12338,2022,7316,1453,5022,1332,12767,2168,146750,7442,47442,4364,27899,3656,19543,2634,99308,6501,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,67675,5900,10409,1913,6974,1658,4918,1387,2056,768,3435,1106,57266,5260,26702,3473,16275,2677,10427,1831,30564,3501,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1145240,21255,120819,7558,37659,3928,21155,2722,16504,2396,83160,5350,1024421,21367,207394,10215,105671,7489,101723,6760,817027,18722,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99909,6449,8734,1874,3876,1069,2645,962,1231,682,4858,1496,91175,6213,28843,3330,15623,2763,13220,1889,62332,4839,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67363,5014,6824,1822,3201,1201,2001,1034,1200,600,3623,1179,60539,4733,14670,2639,7908,1701,6762,1769,45869,4482,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22933,3243,3402,1586,1275,775,1085,764,190,150,2127,1358,19531,2946,7041,1772,3785,1401,3256,1074,12490,2307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9481,1928,1501,686,1138,640,669,549,469,344,363,262,7980,1719,2258,930,930,535,1328,740,5722,1255,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503382,14735,65085,7320,25057,3855,14342,2736,10715,2052,40028,5701,438297,13757,124084,7788,65314,5582,58770,5162,314213,13328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252880,11088,38034,4701,15375,2460,10118,1960,5257,1262,22659,3606,214846,10499,81630,5924,46253,4706,35377,3902,133216,8171,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,57545,4246,3537,1013,1217,554,574,371,643,357,2320,775,54008,4128,9087,1606,3821,1025,5266,1185,44921,3843,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29879,3330,2901,908,1197,552,951,466,246,221,1704,725,26978,3335,9719,2267,5520,1757,4199,1354,17259,2525,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,260192,11008,29075,3346,12524,1873,7664,1519,4860,1039,16551,2526,231117,10879,59889,5328,31728,3915,28161,2972,171228,9590,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,119805,8291,16085,2582,8393,1927,5472,1391,2921,1047,7692,1635,103720,7350,43501,3744,25043,3052,18458,2459,60219,5875,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,34226,3446,3495,960,1390,570,720,458,670,320,2105,727,30731,3292,10992,1859,6791,1371,4201,954,19739,2527,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,43678,3733,4867,1161,2699,932,1527,713,1172,574,2168,708,38811,3521,14733,1781,7777,1439,6956,1314,24078,3171,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,109663,6478,22385,2942,14050,2060,9182,1781,4868,1036,8335,2020,87278,5938,37823,4249,22733,3484,15090,2000,49455,3425,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,111451,7403,26346,3445,13840,2272,7650,1502,6190,1568,12506,2209,85105,6316,37107,4122,20827,2804,16280,2356,47998,4524,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,19812,2588,1313,532,636,395,418,291,218,232,677,303,18499,2485,4522,982,2372,706,2150,650,13977,2224,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,149727,8759,13081,2573,8182,1846,4317,1201,3865,1277,4899,1421,136646,8475,41046,4941,23066,3686,17980,2977,95600,5969,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
