GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001EA,B25055_001MA,B25055_002MA,B25055_002EA,B25055_003EA,B25055_003MA,B25055_004EA,B25055_004MA,B25055_005EA,B25055_005MA,B25055_006EA,B25055_006MA,B25055_007MA,B25055_007EA,B25055_008MA,B25055_008EA,B25055_009EA,B25055_009MA,B25055_010EA,B25055_010MA,B25055_011EA,B25055_011MA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US01,525186,9896,385295,9246,1076,493,384219,9239,70936,3854,355,266,70581,3865,42764,3089,363,258,42401,3083,26191,2155,4960,971,21231,1850,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,84396,3696,66438,3084,617,374,65821,3074,9707,1146,99,126,9608,1147,5675,1118,76,73,5599,1112,2576,629,335,198,2241,642,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,859557,13010,637846,11112,2629,906,635217,11191,104973,5069,1098,541,103875,4955,66831,3873,2297,828,64534,3785,49907,3179,16033,1968,33874,2499,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,365461,8588,268600,7814,1036,553,267564,7975,50261,3902,310,307,49951,3904,26673,2648,509,368,26164,2671,19927,1948,5258,1169,14669,1825,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5697421,26766,4129337,24538,21818,2862,4107519,24357,784608,14532,7634,1567,776974,14219,453906,9694,9418,1754,444488,9380,329570,9710,65247,4318,264323,9091,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717989,11693,549400,10594,2117,870,547283,10607,80367,5196,838,515,79529,5186,49625,3731,1695,726,47930,3720,38597,3017,13999,1645,24598,2507,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,439295,7765,293658,6975,1125,546,292533,7109,65357,3562,678,513,64679,3540,40566,2749,1444,767,39122,2633,39714,2773,8650,1730,31064,2271,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99986,4411,72888,4468,1041,657,71847,4437,12624,1866,152,210,12472,1859,8432,1338,330,390,8102,1318,6042,956,2108,606,3934,804,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,158550,4053,118788,3983,201,218,118587,4002,18687,1670,221,319,18466,1648,12657,1523,737,411,11920,1529,8418,1177,1230,581,7188,1057,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2565527,21240,1819014,19074,8982,1930,1810032,19068,355454,9534,2590,922,352864,9455,216581,7212,5514,1406,211067,7216,174478,6390,46288,3628,128190,5721,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1321593,18186,1005824,16513,4088,1339,1001736,16245,165576,7124,391,309,165185,7136,93841,4516,1374,768,92467,4557,56352,3712,14586,1854,41766,3269,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,177512,4269,122549,4041,263,262,122286,3990,25070,2111,0,187,25070,2111,16725,2083,92,119,16633,2062,13168,1510,1415,572,11753,1458,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,177724,5943,135527,5535,1272,734,134255,5442,19978,2677,837,605,19141,2660,12526,1889,42,71,12484,1887,9693,1549,3498,1087,6195,1243,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
