GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,NAME,C27014_001EA,C27014_001MA,C27014_002EA,C27014_002MA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005MA,C27014_005EA,C27014_006EA,C27014_006MA,C27014_007EA,C27014_007MA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010MA,C27014_010EA,state
0400000US01,2841107,6352,1451944,15409,73805,4601,1378139,15555,619865,14081,86789,5752,533076,12556,769298,14894,350910,11791,418388,9279,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440283,2719,221226,5653,25977,3313,195249,5568,136136,5272,32595,3211,103541,4997,82921,4697,36349,3058,46572,3612,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3989659,5587,2131681,16258,215100,7362,1916581,18747,966774,13538,247532,9296,719242,12489,891204,14363,416522,12127,474682,10541,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1717192,4011,922507,12616,90094,5499,832413,13286,365823,9608,99713,5637,266110,8667,428862,10386,251459,9704,177403,7686,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24069284,13917,12320255,44822,1410156,23689,10910099,45632,6530630,41091,1832664,28268,4697966,34282,5218399,39935,2443172,29723,2775227,29962,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3421064,4580,1971112,14873,179705,8978,1791407,13998,905578,12353,217338,8205,688240,10569,544374,11637,229575,7217,314799,9261,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2164155,3906,1174664,13998,88587,5586,1086077,13699,594174,12381,148242,7618,445932,11656,395317,11141,179518,8639,215799,7949,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,559655,2350,301043,6922,20635,2816,280408,6955,125473,5311,29865,3021,95608,5031,133139,5344,53375,4399,79764,5049,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,468689,1815,275104,5654,23452,2682,251652,6408,107983,5002,31696,3126,76287,4712,85602,5585,51512,3743,34090,4102,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12081518,9969,6460274,36991,393953,14487,6066321,40193,2889186,32240,411336,14232,2477850,30980,2732058,28648,997669,19929,1734389,24402,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6198581,8452,3429552,28505,148225,7815,3281327,27770,1423573,23929,159886,8015,1263687,22691,1345456,20638,471683,15199,873773,17427,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,802826,2934,462445,7995,35453,3672,426992,8361,191955,6412,42863,3271,149092,5934,148426,5302,60042,4066,88384,4434,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
