GEO_ID,B10052_001E,B10052_001M,B10052_002E,B10052_002M,B10052_003E,B10052_003M,B10052_004E,B10052_004M,B10052_005E,B10052_005M,B10052_006E,B10052_006M,B10052_007E,B10052_007M,B10052_008E,B10052_008M,B10052_009E,B10052_009M,B10052_010E,B10052_010M,B10052_011E,B10052_011M,NAME,B10052_001EA,B10052_001MA,B10052_002EA,B10052_002MA,B10052_003MA,B10052_003EA,B10052_004MA,B10052_004EA,B10052_005EA,B10052_005MA,B10052_006EA,B10052_006MA,B10052_007EA,B10052_007MA,B10052_008EA,B10052_008MA,B10052_009MA,B10052_009EA,B10052_010MA,B10052_010EA,B10052_011EA,B10052_011MA,state
0400000US01,117255,6304,36594,3463,17994,2481,7075,1451,10919,2120,18600,2215,80661,5348,42399,3906,24490,3241,17909,2288,38262,3757,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16621,1949,5448,1057,1421,363,446,207,975,334,4027,954,11173,1751,4867,1157,2586,911,2281,666,6306,1336,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171855,7768,46953,3935,15185,2227,6503,1353,8682,1702,31768,3123,124902,6892,44595,4019,28712,3679,15883,2335,80307,5860,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,67675,5900,22067,2915,11815,2012,6480,1441,5335,1150,10252,1834,45608,4575,21861,2819,14713,2348,7148,1358,23747,3398,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1144314,21226,266156,9282,51495,4070,21585,2774,29910,2759,214661,8190,878158,17676,193452,9636,105135,7261,88317,5820,684706,15197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99879,6451,24881,2693,7904,1322,3727,914,4177,987,16977,2424,74998,5520,24815,3045,14541,2477,10274,1685,50183,4540,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67280,5010,14065,1813,3113,933,1045,596,2068,717,10952,1671,53215,4718,14675,2528,8781,1903,5894,1431,38540,4122,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22933,3243,5278,1317,2493,930,1258,646,1235,622,2785,901,17655,2783,5823,1392,3612,1148,2211,782,11832,2591,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9481,1928,3648,1260,1428,728,366,419,1062,590,2220,891,5833,1473,1968,862,1233,607,735,598,3865,973,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503055,14756,126130,7483,32981,3527,13491,2198,19490,2360,93149,7065,376925,11805,116047,7846,66052,5833,49995,5030,260878,10079,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252439,11005,67092,4879,23484,3230,10573,1942,12911,2196,43608,3796,185347,9334,73417,5460,45694,4552,27723,3152,111930,7589,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,57215,4252,13440,1697,2604,772,887,405,1717,680,10836,1545,43775,3892,7548,1408,3356,908,4192,1000,36227,3716,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29879,3330,9202,2113,4351,1531,1985,795,2366,1157,4851,1237,20677,2854,6565,1485,4486,1517,2079,629,14112,2525,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,260130,11012,66792,4563,19429,2448,7406,1384,12023,1947,47363,4094,193338,9276,52984,4965,31986,3702,20998,2306,140354,8371,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,119691,8294,34115,3583,14067,2261,6994,1431,7073,1454,20048,2877,85576,6787,37713,3517,23407,2807,14306,2149,47863,5062,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,34226,3446,7850,1440,2410,655,775,318,1635,549,5440,1130,26376,2941,9972,1667,6736,1369,3236,739,16404,2424,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,43678,3733,12844,1985,5643,1278,2306,787,3337,872,7201,1426,30834,2953,11789,1514,6998,1371,4791,1077,19045,2644,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,109600,6468,35212,3024,17799,2253,9236,1450,8563,1557,17413,2066,74388,5522,34011,3674,22616,3069,11395,1724,40377,3817,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
