GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001EA,B18101D_001MA,B18101D_002EA,B18101D_002MA,B18101D_003EA,B18101D_003MA,B18101D_004EA,B18101D_004MA,B18101D_005MA,B18101D_005EA,B18101D_006MA,B18101D_006EA,B18101D_007EA,B18101D_007MA,B18101D_008EA,B18101D_008MA,B18101D_009EA,B18101D_009MA,B18101D_010MA,B18101D_010EA,state
0400000US01,66405,2965,16043,1627,1198,596,14845,1568,44837,2376,1829,795,43008,2477,5525,985,1665,755,3860,809,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48930,2298,11966,1218,54,91,11912,1230,31796,1584,2802,719,28994,1772,5168,564,1583,590,3585,670,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,231277,4827,44143,2888,1197,599,42946,3053,161627,3215,8064,1358,153563,3162,25507,798,9329,1778,16178,1577,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47695,3253,12531,1797,112,144,12419,1788,31856,1912,2139,690,29717,1947,3308,926,831,532,2477,758,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5737778,20433,1043117,11985,22787,3030,1020330,12166,3836245,12142,171060,7776,3665185,14172,858416,3759,272566,7057,585850,7536,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178015,4214,40823,2336,1192,454,39631,2305,119203,3085,4672,876,114531,2964,17989,1017,4979,1029,13010,1364,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163601,3147,32663,1917,1292,575,31371,1896,117167,1962,3993,1023,113174,2244,13771,898,3643,1128,10128,1427,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38930,1658,8243,722,196,211,8047,737,26862,1170,885,352,25977,1279,3825,502,351,261,3474,525,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28436,1640,2705,802,0,208,2705,802,23650,1242,1421,712,22229,1268,2081,208,542,319,1539,319,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,585347,7709,110643,4357,2796,950,107847,4394,394712,5730,18617,2882,376095,5746,79992,2552,21167,1999,58825,2614,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
