GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001MA,B27015_001EA,B27015_002MA,B27015_002EA,B27015_003MA,B27015_003EA,B27015_004MA,B27015_004EA,B27015_005MA,B27015_005EA,B27015_006EA,B27015_006MA,B27015_007EA,B27015_007MA,B27015_008EA,B27015_008MA,B27015_009MA,B27015_009EA,B27015_010MA,B27015_010EA,B27015_011MA,B27015_011EA,B27015_012EA,B27015_012MA,B27015_013EA,B27015_013MA,B27015_014EA,B27015_014MA,B27015_015MA,B27015_015EA,B27015_016MA,B27015_016EA,B27015_017MA,B27015_017EA,B27015_018EA,B27015_018MA,B27015_019EA,B27015_019MA,B27015_020MA,B27015_020EA,B27015_021MA,B27015_021EA,B27015_022MA,B27015_022EA,B27015_023EA,B27015_023MA,B27015_024EA,B27015_024MA,B27015_025EA,B27015_025MA,B27015_026MA,B27015_026EA,state
0400000US01,4743689,2005,977229,26479,811015,21823,317409,9274,622335,20262,166214,10933,1082724,28743,954622,25248,612341,16510,528623,17759,128102,8678,883681,22428,817581,21314,667607,19973,290623,11269,66100,6548,629142,22178,592048,20264,524422,18259,154189,9150,37094,4967,1170913,24677,1124040,24249,1046257,23996,206615,8181,46873,7043,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,701326,2175,67826,5409,56054,4813,15811,2498,46910,4502,11772,1945,109875,8905,88792,8204,42331,4040,57029,6845,21083,2918,121413,9469,102440,7838,70732,6270,49190,5691,18973,3166,104474,8967,92725,8152,75481,6771,32101,4670,11749,2051,297738,10287,266543,10378,238696,9876,60650,5053,31195,4114,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6846699,2138,1050127,31547,908829,27499,312333,12580,728081,24257,141298,9991,1475668,35946,1265915,30705,687985,21252,787066,25492,209753,13946,1304668,33147,1158453,33142,852789,25873,488249,20554,146215,9410,978867,28549,890215,24671,724568,19342,287951,13509,88652,8995,2037369,37235,1934108,34360,1732401,31490,393422,14834,103261,9198,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914699,1300,570637,19599,515592,18165,168970,9173,424258,16090,55045,4807,750725,18800,672525,16637,365581,13397,423011,13282,78200,6018,583698,20664,535445,19249,396999,16478,227392,9524,48253,5906,379921,17979,357957,17099,302143,14351,108715,8559,21964,4150,629718,18051,603392,17491,548216,16936,116808,6906,26326,3971,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38644779,5492,4747949,65688,4270808,60803,1279153,29529,3445581,58890,477141,18749,6665821,75916,5951213,68141,2705377,41035,3941997,54587,714608,18043,6232262,75557,5655086,68701,3660648,47554,2635126,48118,577176,22381,5103017,80107,4728600,73095,3609944,58624,1612641,33732,374417,16095,15895730,84449,15262373,83255,13351478,74725,3173490,44522,633357,19881,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5463674,3163,582476,18193,523633,16326,198823,10535,405477,14359,58843,6577,963236,22660,845681,21659,483995,14449,501376,18893,117555,8163,940564,25217,845964,24582,621762,21753,341337,13132,94600,8173,813854,23344,759397,21346,621995,17843,227786,13418,54457,5348,2163544,29359,2076872,27130,1898723,25143,343783,12820,86672,8199,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3468516,1187,371750,16931,342237,16782,111941,7540,285619,15462,29513,3727,544850,19858,496958,18311,262204,12563,326763,15016,47892,6213,512398,18912,475305,18042,347884,14179,207744,11870,37093,5279,465697,20322,437243,18379,359385,14972,137164,10771,28454,5135,1573821,24130,1526987,23852,1393090,23948,270450,11285,46834,6718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,934190,967,133498,9999,124083,9037,53913,5691,87684,7175,9415,2043,179021,11924,162758,10857,106923,8206,90042,7814,16263,3086,156108,10008,145885,8749,115008,8129,63102,6468,10223,3446,133366,10404,128067,10277,110935,9693,37366,4227,5299,1453,332197,13716,322305,13178,300055,12496,64047,4312,9892,3430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,651886,611,110583,7178,105827,7080,31111,3964,85973,6785,4756,1745,74944,6795,70190,6365,35803,4020,45592,5531,4754,1579,74290,7357,70138,7097,50628,5675,29623,4437,4152,1486,72884,8828,68881,8724,52065,5817,24359,5321,4003,2415,319185,11304,311427,10752,285248,9116,53864,6319,7758,1916,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20516712,3256,3264959,46364,2680182,41572,1045966,25675,2031198,32414,584777,17853,4771671,61492,3965709,51752,2329266,40091,2279004,41746,805962,28751,3971326,58129,3408466,54426,2551586,43075,1382363,28787,562860,22879,2882245,54776,2561460,51264,2132199,47936,786570,19413,320785,16631,5626511,60034,5249169,55925,4676534,53351,1188889,21837,377342,18514,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
