GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001MA,C01001D_001EA,C01001D_002MA,C01001D_002EA,C01001D_003MA,C01001D_003EA,C01001D_004EA,C01001D_004MA,C01001D_005EA,C01001D_005MA,C01001D_006EA,C01001D_006MA,C01001D_007MA,C01001D_007EA,C01001D_008MA,C01001D_008EA,C01001D_009MA,C01001D_009EA,state
0400000US01,66908,2994,31671,1745,7431,1225,22294,1245,1946,437,35237,2379,8612,1251,23046,1746,3579,816,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49385,2179,23618,1255,6476,685,15095,1021,2047,348,25767,1364,5490,756,17018,1040,3259,409,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,232517,4814,108396,3048,21519,1758,76896,2136,9981,447,124121,2818,22624,1719,85752,2060,15745,622,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47885,3261,23566,1921,6284,1071,16038,1355,1244,400,24319,1953,6247,1142,15997,1099,2075,801,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5765305,20570,2723625,11402,535749,6720,1818018,6990,369858,2351,3041680,13167,507767,7536,2036836,7971,497077,2224,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,179251,4255,83475,2870,19915,1643,56560,2054,7000,832,95776,2742,20908,1536,63711,1870,11157,678,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163924,3110,77157,2257,15829,1290,55244,1527,6084,426,86767,2027,16834,1180,62185,1363,7748,674,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38930,1658,18437,966,4213,637,12701,654,1523,146,20493,994,4030,419,14161,734,2302,431,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28499,1656,12149,871,1556,476,9819,701,774,208,16350,1047,1149,443,13894,936,1307,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,588087,7774,269240,5456,54537,2895,181923,3976,32780,1594,318847,4484,56106,2730,215227,3675,47514,1771,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,410915,7362,196967,4198,43721,2490,137967,2915,15279,827,213948,4741,44490,3263,148237,2866,21221,1226,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,545639,8663,253163,5509,39433,2896,154951,3691,58779,996,292476,4820,36586,2278,176203,3764,79687,1403,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23113,3357,9513,1927,2237,987,6899,1278,377,247,13600,1918,3245,1024,9047,1150,1308,645,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,694968,6277,333174,4243,67601,2809,227546,2382,38027,1026,361794,4178,68821,2562,245903,3126,47070,1220,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,148366,4377,71085,3148,16308,1941,51460,2176,3317,856,77281,3121,17835,1957,54717,2282,4729,812,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,81714,2862,41321,2289,9834,1353,29519,1608,1968,459,40393,1811,9618,1437,27402,1351,3373,761,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,85840,3241,42209,2111,9433,985,29971,1902,2805,408,43631,1878,9141,1221,30547,1325,3943,640,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,64878,2732,29458,1770,8555,1161,19185,1142,1718,412,35420,1976,9228,1220,23765,1572,2427,519,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,84816,2218,41970,1832,9665,1098,29175,1396,3130,667,42846,1995,8708,1383,28645,1566,5493,935,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,15157,1289,5756,866,1484,565,3766,565,506,321,9401,1046,1864,525,6600,907,937,360,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,391328,4619,185673,3262,40772,1838,123169,2167,21732,749,205655,2787,38791,1797,139197,1832,27667,743,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,452717,5899,213529,4017,42695,2563,152516,2489,18318,519,239188,3116,43686,1923,173059,2047,22443,797,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
