GEO_ID,B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,NAME,B25015_001MA,B25015_001EA,B25015_002EA,B25015_002MA,B25015_003EA,B25015_003MA,B25015_004MA,B25015_004EA,B25015_005MA,B25015_005EA,B25015_006MA,B25015_006EA,B25015_007EA,B25015_007MA,B25015_008EA,B25015_008MA,B25015_009EA,B25015_009MA,B25015_010MA,B25015_010EA,B25015_011MA,B25015_011EA,B25015_012MA,B25015_012EA,B25015_013EA,B25015_013MA,B25015_014EA,B25015_014MA,B25015_015EA,B25015_015MA,B25015_016EA,B25015_016MA,B25015_017EA,B25015_017MA,B25015_018EA,B25015_018MA,B25015_019EA,B25015_019MA,B25015_020MA,B25015_020EA,B25015_021MA,B25015_021EA,B25015_022MA,B25015_022EA,B25015_023MA,B25015_023EA,B25015_024EA,B25015_024MA,B25015_025EA,B25015_025MA,B25015_026EA,B25015_026MA,B25015_027EA,B25015_027MA,state
0400000US01,1841665,12421,1253199,12678,128791,5296,125314,5372,3230,1096,247,213,708141,10380,697228,10144,8743,1607,2170,766,416267,6478,415378,6426,450,278,439,224,588466,10414,205931,7663,198086,7595,3760,1195,4085,1329,297251,7127,286716,7045,7300,1613,3235,1092,85284,3712,84340,3690,292,249,652,405,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,159344,3559,17657,2073,16090,1941,792,457,775,450,102054,2711,95605,2867,3748,779,2701,862,39633,1731,38507,1665,601,335,525,198,91397,3639,40694,2698,35745,2728,2662,862,2287,893,41397,2169,37597,2123,1668,595,2132,705,9306,1250,9215,1236,75,100,16,19,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,1652321,12356,163097,5524,156819,5397,4873,1269,1405,618,900613,9489,869731,9626,23228,2408,7654,1266,588611,6939,583432,6805,2868,751,2311,538,900651,12842,317464,7760,286729,7379,18243,2664,12492,1958,454454,10286,416774,10359,25023,2818,12657,2048,128733,4670,126937,4725,554,322,1242,659,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,752399,11287,84226,4874,82086,4790,1698,648,442,298,418220,7347,411163,7241,6133,1202,924,370,249953,4842,249033,4861,504,270,416,310,400683,9039,149930,5378,139008,5186,7263,1933,3659,1104,195212,6644,187527,6324,5085,1141,2600,899,55541,3437,55413,3458,86,109,42,63,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,7125090,26839,554531,9710,522003,9872,22825,2290,9703,1713,4309053,24324,4083253,25309,172295,7381,53505,3356,2261506,14249,2228631,14316,23679,2442,9196,1313,5880007,28546,1782357,18075,1527481,17938,143266,6802,111610,5700,3257772,23851,2765232,23588,311546,9630,180994,6928,839878,13435,804876,13644,13050,1548,21952,2591,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,1394824,10847,163949,5754,159512,5529,3925,1215,512,336,845202,9393,831445,9310,11034,1819,2723,723,385673,4563,384467,4655,798,546,408,316,744383,11664,305951,7280,285852,7371,12011,2038,8088,1687,344006,10015,325912,9597,12450,1755,5644,1208,94426,5105,93952,5093,113,114,361,274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,898234,7622,74085,3662,73110,3651,934,574,41,69,549855,6888,544900,6885,3883,980,1072,673,274294,4451,273271,4506,747,452,276,229,458528,7656,134201,5888,125828,5510,5021,1492,3352,1108,236983,6796,226861,6392,8203,1633,1919,656,87344,3631,86421,3670,96,125,827,601,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,253948,5292,23982,2281,23816,2267,166,169,0,198,144386,4668,143661,4738,557,357,168,164,85580,2371,85371,2383,197,276,12,20,103989,4386,36313,3074,34479,2948,756,442,1078,853,51659,3664,49799,3515,1513,685,347,259,16017,1805,16007,1806,0,198,10,18,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,118805,3235,15394,1617,15097,1642,115,131,182,196,69750,2909,69003,2935,487,299,260,201,33661,1757,33172,1784,489,462,0,208,162670,3861,67678,3252,64100,3038,1453,647,2125,769,72922,3807,66886,4046,3899,1135,2137,790,22070,1758,21790,1741,118,142,162,191,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,5010187,26720,360189,8494,349840,8223,8495,1570,1854,894,2642208,19496,2583611,18624,46330,3838,12267,1721,2007790,13507,1995492,13652,7433,1526,4865,1087,2679777,21534,793199,14995,738833,13736,34223,3077,20143,2586,1457803,16361,1367983,16630,60052,4957,29768,3609,428775,10408,419792,10024,3280,1019,5703,1333,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
