GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001MA,B05003H_001EA,B05003H_002EA,B05003H_002MA,B05003H_003EA,B05003H_003MA,B05003H_004MA,B05003H_004EA,B05003H_005MA,B05003H_005EA,B05003H_006MA,B05003H_006EA,B05003H_007MA,B05003H_007EA,B05003H_008EA,B05003H_008MA,B05003H_009MA,B05003H_009EA,B05003H_010MA,B05003H_010EA,B05003H_011MA,B05003H_011EA,B05003H_012EA,B05003H_012MA,B05003H_013EA,B05003H_013MA,B05003H_014EA,B05003H_014MA,B05003H_015MA,B05003H_015EA,B05003H_016MA,B05003H_016EA,B05003H_017EA,B05003H_017MA,B05003H_018MA,B05003H_018EA,B05003H_019EA,B05003H_019MA,B05003H_020MA,B05003H_020EA,B05003H_021MA,B05003H_021EA,B05003H_022MA,B05003H_022EA,B05003H_023MA,B05003H_023EA,state
0400000US01,3191450,2158,1557907,2037,322052,1703,320038,1963,2014,1137,1102,865,912,628,1235855,927,1222813,2110,13042,1860,6595,1266,6447,1396,1633543,2098,310928,1837,310170,1850,758,401,172,159,586,349,1322615,1284,1306866,2543,15749,2397,9797,1563,5952,1226,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,448081,1095,238719,797,47209,683,47178,676,31,53,31,53,0,153,191510,430,187109,1349,4401,1273,3179,1094,1222,652,209362,626,43158,385,43085,401,73,89,42,72,31,51,166204,352,159567,1492,6637,1483,4262,1234,2375,795,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3836639,4499,1897192,2673,326196,2103,322786,2269,3410,918,1349,635,2061,685,1570996,1432,1500606,5266,70390,5130,38158,3676,32232,3852,1939447,2446,311208,1343,306918,1870,4290,1509,1537,860,2753,1232,1628239,2061,1545249,5655,82990,5122,50097,3818,32893,3222,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2173307,2415,1070331,2320,231574,2055,230990,2086,584,411,92,162,492,380,838757,830,833547,1387,5210,1090,2269,740,2941,772,1102976,2355,213032,2012,212613,2059,419,317,38,63,381,313,889944,822,881783,1731,8161,1557,5056,1173,3105,899,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14616636,7788,7309260,4310,1186357,3002,1152266,4527,34091,3352,5934,1183,28157,3334,6122903,3029,5466171,13893,656732,14221,423877,11748,232855,9225,7307376,6191,1125967,2725,1095773,4311,30194,3610,6504,1452,23690,3314,6181409,4948,5472206,14601,709203,14298,482043,12027,227160,7884,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3822055,2897,1917920,2351,365171,1394,361705,1711,3466,1114,1660,907,1806,729,1552749,1563,1503879,3780,48870,3283,28456,2559,20414,2411,1904135,1778,344797,1379,341283,1777,3514,1224,1109,867,2405,887,1559338,1102,1499752,4594,59586,4359,39457,3156,20129,2636,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2393694,3077,1167350,1681,209428,843,205393,1374,4035,1072,1086,410,2949,1016,957922,1084,886261,4065,71661,4027,43738,3153,27923,2933,1226344,1625,198070,841,195325,1355,2745,1057,770,421,1975,870,1028274,1150,944019,4463,84255,4417,55248,3630,29007,2861,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,597917,735,289350,393,51281,108,50853,338,428,317,266,266,162,206,238069,356,230943,1697,7126,1632,5440,1425,1686,620,308567,449,49355,123,49010,413,345,404,276,399,69,119,259212,404,250230,1698,8982,1715,5816,1295,3166,1252,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,253416,1470,126534,753,13688,459,13276,536,412,290,126,145,286,294,112846,354,101335,1346,11511,1384,4878,1071,6633,1234,126882,805,13481,425,13271,452,210,212,37,63,173,202,113401,486,101626,1886,11775,1784,4253,1019,7522,1499,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11288419,8183,5536784,4717,897233,2659,881707,3481,15526,2786,3793,1073,11733,2354,4639551,3881,4321552,9994,317999,9755,182462,7982,135537,6521,5751635,5449,853702,3094,836695,4646,17007,3137,3464,1184,13543,3017,4897933,3645,4532708,11489,365225,11131,220077,8110,145148,6919,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
