B24010D_055M,B24010D_056E,B24010D_056M,B24010D_057E,B24010D_057M,B24010D_058E,B24010D_058M,B24010D_059E,B24010D_059M,B24010D_060E,B24010D_060M,B24010D_061E,B24010D_061M,B24010D_062E,B24010D_062M,B24010D_063E,B24010D_063M,B24010D_064E,B24010D_064M,B24010D_065E,B24010D_065M,B24010D_066E,B24010D_066M,B24010D_067E,B24010D_067M,B24010D_068E,B24010D_068M,B24010D_069E,B24010D_069M,B24010D_070E,B24010D_070M,B24010D_071E,B24010D_071M,B24010D_072E,B24010D_072M,B24010D_073E,B24010D_073M,GEO_ID,B24010D_001E,B24010D_001M,B24010D_002E,B24010D_002M,B24010D_003E,B24010D_003M,B24010D_004E,B24010D_004M,B24010D_005E,B24010D_005M,B24010D_006E,B24010D_006M,B24010D_007E,B24010D_007M,B24010D_008E,B24010D_008M,B24010D_009E,B24010D_009M,B24010D_010E,B24010D_010M,B24010D_011E,B24010D_011M,B24010D_012E,B24010D_012M,B24010D_013E,B24010D_013M,B24010D_014E,B24010D_014M,B24010D_015E,B24010D_015M,B24010D_016E,B24010D_016M,B24010D_017E,B24010D_017M,B24010D_018E,B24010D_018M,B24010D_019E,B24010D_019M,B24010D_020E,B24010D_020M,B24010D_021E,B24010D_021M,B24010D_022E,B24010D_022M,B24010D_023E,B24010D_023M,B24010D_024E,B24010D_024M,B24010D_025E,B24010D_025M,B24010D_026E,B24010D_026M,B24010D_027E,B24010D_027M,B24010D_028E,B24010D_028M,B24010D_029E,B24010D_029M,B24010D_030E,B24010D_030M,B24010D_031E,B24010D_031M,B24010D_032E,B24010D_032M,B24010D_033E,B24010D_033M,B24010D_034E,B24010D_034M,B24010D_035E,B24010D_035M,B24010D_036E,B24010D_036M,B24010D_037E,B24010D_037M,B24010D_038E,B24010D_038M,B24010D_039E,B24010D_039M,B24010D_040E,B24010D_040M,B24010D_041E,B24010D_041M,B24010D_042E,B24010D_042M,B24010D_043E,B24010D_043M,B24010D_044E,B24010D_044M,B24010D_045E,B24010D_045M,B24010D_046E,B24010D_046M,B24010D_047E,B24010D_047M,B24010D_048E,B24010D_048M,B24010D_049E,B24010D_049M,B24010D_050E,B24010D_050M,B24010D_051E,B24010D_051M,B24010D_052E,B24010D_052M,B24010D_053E,B24010D_053M,B24010D_054E,B24010D_054M,B24010D_055E,B24010D_055MA,B24010D_056MA,B24010D_056EA,B24010D_057EA,B24010D_057MA,B24010D_058MA,B24010D_058EA,B24010D_059EA,B24010D_059MA,B24010D_060EA,B24010D_060MA,B24010D_061MA,B24010D_061EA,B24010D_062MA,B24010D_062EA,B24010D_063EA,B24010D_063MA,B24010D_064MA,B24010D_064EA,B24010D_065MA,B24010D_065EA,B24010D_066MA,B24010D_066EA,B24010D_067MA,B24010D_067EA,B24010D_068EA,B24010D_068MA,B24010D_069EA,B24010D_069MA,B24010D_070MA,B24010D_070EA,B24010D_071MA,B24010D_071EA,B24010D_072MA,B24010D_072EA,B24010D_073MA,B24010D_073EA,NAME,B24010D_001MA,B24010D_001EA,B24010D_002EA,B24010D_002MA,B24010D_003MA,B24010D_003EA,B24010D_004EA,B24010D_004MA,B24010D_005EA,B24010D_005MA,B24010D_006MA,B24010D_006EA,B24010D_007MA,B24010D_007EA,B24010D_008MA,B24010D_008EA,B24010D_009EA,B24010D_009MA,B24010D_010EA,B24010D_010MA,B24010D_011MA,B24010D_011EA,B24010D_012MA,B24010D_012EA,B24010D_013EA,B24010D_013MA,B24010D_014EA,B24010D_014MA,B24010D_015MA,B24010D_015EA,B24010D_016MA,B24010D_016EA,B24010D_017EA,B24010D_017MA,B24010D_018MA,B24010D_018EA,B24010D_019EA,B24010D_019MA,B24010D_020MA,B24010D_020EA,B24010D_021MA,B24010D_021EA,B24010D_022MA,B24010D_022EA,B24010D_023MA,B24010D_023EA,B24010D_024EA,B24010D_024MA,B24010D_025MA,B24010D_025EA,B24010D_026MA,B24010D_026EA,B24010D_027MA,B24010D_027EA,B24010D_028MA,B24010D_028EA,B24010D_029MA,B24010D_029EA,B24010D_030MA,B24010D_030EA,B24010D_031MA,B24010D_031EA,B24010D_032MA,B24010D_032EA,B24010D_033MA,B24010D_033EA,B24010D_034MA,B24010D_034EA,B24010D_035EA,B24010D_035MA,B24010D_036MA,B24010D_036EA,B24010D_037MA,B24010D_037EA,B24010D_038EA,B24010D_038MA,B24010D_039MA,B24010D_039EA,B24010D_040EA,B24010D_040MA,B24010D_041MA,B24010D_041EA,B24010D_042MA,B24010D_042EA,B24010D_043EA,B24010D_043MA,B24010D_044MA,B24010D_044EA,B24010D_045MA,B24010D_045EA,B24010D_046EA,B24010D_046MA,B24010D_047EA,B24010D_047MA,B24010D_048EA,B24010D_048MA,B24010D_049EA,B24010D_049MA,B24010D_050MA,B24010D_050EA,B24010D_051MA,B24010D_051EA,B24010D_052EA,B24010D_052MA,B24010D_053EA,B24010D_053MA,B24010D_054EA,B24010D_054MA,B24010D_055EA,state
1045,349,301,0,200,0,200,0,200,1521,625,79,140,2089,856,2704,921,1596,675,1108,680,0,200,0,200,0,200,0,200,906,458,781,416,0,200,125,169,0400000US01,31693,2343,17606,1686,10215,1713,2575,832,2154,762,421,326,3824,1074,1659,772,1182,639,983,563,2078,638,0,200,7,14,1889,625,182,214,1738,657,1674,641,64,109,2763,1259,0,200,162,184,94,134,68,114,1857,1163,119,134,625,429,2130,670,1516,623,614,308,828,498,202,313,176,192,450,331,1670,689,1193,544,110,142,367,399,14087,1524,6439,1071,2259,696,1021,536,1238,525,832,431,383,306,219,253,230,226,1713,613,94,143,0,200,1367,513,252,391,1635,557,1171,464,464,336,4038,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1116,896,458,136,192,119,186,17,36,1385,686,656,318,669,521,4809,1305,1825,685,2984,1445,0,153,0,153,0,153,0,153,1399,447,1352,456,14,22,33,49,0400000US02,26492,1634,12872,1201,2237,681,577,338,553,338,24,33,1278,575,727,412,342,274,209,293,251,205,0,153,0,153,251,205,0,153,131,124,101,120,30,36,2787,882,410,445,431,330,331,267,100,169,700,411,842,356,404,427,2625,756,971,521,1654,706,1303,610,49,85,82,66,1172,592,3920,1125,2167,989,618,387,1135,591,13620,1160,3670,914,1586,662,1212,705,374,247,336,274,136,153,0,153,200,208,1092,549,319,270,37,69,617,429,119,133,656,363,450,325,206,172,3742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1674,1807,522,119,121,94,110,25,49,4568,1190,523,346,5780,1324,10372,1627,4117,1173,6255,1145,289,259,0,208,141,188,148,172,3596,890,2722,813,224,171,650,465,0400000US04,116903,3518,60699,2456,32914,2525,10617,1581,7961,1357,2656,777,15149,1671,8494,1368,5319,846,1336,560,2992,863,378,376,355,295,1453,525,806,357,4156,1059,3297,995,859,446,7190,1353,504,400,528,300,202,176,326,267,2909,869,1252,784,1997,680,12460,2254,5706,1150,6754,1795,1855,964,0,208,391,361,1464,859,6280,1112,4151,1011,1435,563,694,394,56204,2315,29150,2450,8941,1614,5436,1083,3505,1063,3964,1059,2408,784,1118,538,438,282,6362,1195,400,410,455,280,4202,1057,1305,601,9883,1581,8192,1568,1691,569,12797,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
953,349,300,0,201,0,201,0,201,447,320,249,243,1895,747,2123,700,1347,539,776,402,226,339,0,201,0,201,226,339,1717,655,1615,623,0,201,102,157,0400000US05,23949,2157,13142,1419,7382,1271,2550,655,2274,653,276,240,3471,1032,2558,674,860,761,53,86,925,550,133,191,0,201,658,491,134,204,436,325,366,294,70,119,2657,835,26,44,0,201,0,201,0,201,832,495,631,418,1168,585,1724,731,1240,669,484,349,366,255,107,131,103,184,156,165,1013,499,781,454,46,79,186,180,10807,1298,3801,913,1396,611,981,490,415,315,1200,451,850,346,195,207,155,154,422,301,0,201,0,201,345,275,77,128,783,510,479,345,304,378,2940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8848,50665,3833,4411,1131,3172,1017,1239,527,76275,4404,17911,2215,139287,6007,332330,9150,126733,5761,205597,7093,3957,940,985,544,1151,493,1821,451,71125,3692,54790,3283,7161,1405,9174,1441,0400000US06,2929183,20403,1494342,11981,785236,11454,273607,7889,188524,7137,85083,4460,318019,10551,194021,7340,99881,5541,24117,2724,97908,4368,15990,2345,10459,1639,36773,2715,34686,2976,95702,4625,68757,3678,26945,2668,199598,7418,16846,1942,20678,2392,13400,1773,7278,1392,83695,5254,31239,3151,47140,3302,258261,8090,141949,6807,116312,4807,76624,5388,2384,978,30778,3225,43462,3418,174623,7110,83446,4450,61076,4140,30101,3038,1434841,13453,738880,12089,274209,7806,145974,6353,128235,4905,123286,5754,70622,3935,27055,2609,25609,2429,154824,6215,23027,2706,17161,2222,81164,4299,33472,2954,186561,7506,142563,6277,43998,3315,288549,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1697,1264,602,273,253,133,172,140,178,3434,818,1702,617,3956,997,10354,1642,3432,817,6922,1402,463,446,45,78,374,443,44,71,4798,1119,3656,906,249,257,893,546,0400000US08,94489,3236,47847,2086,23541,1956,8012,1259,5013,1008,2999,881,10913,1651,6773,1250,2936,700,1204,654,2894,722,344,264,49,85,2035,576,466,309,1722,622,1389,594,333,272,8413,1508,573,305,171,167,120,142,51,93,4826,1124,1072,555,1771,840,8280,1548,4546,1169,3734,1113,2176,758,20,34,664,390,1492,698,5437,1249,3091,1000,2023,803,323,241,46642,2400,20398,1806,6799,1311,4237,1049,2562,761,3896,812,2199,616,536,276,1161,522,4072,1086,277,218,324,204,2711,791,760,509,5631,1090,4252,934,1379,595,10629,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1387,685,466,54,93,54,93,0,207,2213,726,815,513,3074,1162,9214,1388,3754,862,5460,1102,110,182,0,207,0,207,110,182,2437,856,1852,720,272,285,313,276,0400000US09,88777,2815,48572,2151,28301,2491,10984,1668,7367,1484,3617,909,11892,1664,7439,1354,2628,851,1825,730,2973,818,188,171,53,92,2233,664,499,335,2452,739,2084,701,368,334,5642,1229,289,304,398,309,182,216,216,221,2920,1160,609,470,1426,645,7742,1388,4711,984,3031,1057,1169,602,0,207,468,410,701,456,5718,1301,3187,921,1402,746,1129,556,40205,2258,21603,2242,6584,1150,3832,897,2752,755,4632,1112,2212,667,1035,558,1385,684,4906,1013,152,186,165,162,4049,973,540,336,5481,1070,4237,934,1244,539,6841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3187,4913,1153,636,450,319,220,317,393,12355,1963,3040,868,15350,2518,35313,3432,18819,2160,16494,2402,1357,825,0,226,986,738,371,384,7316,1459,5363,1136,478,458,1475,716,0400000US12,290924,6596,145720,5024,74518,4553,25305,2967,17898,2642,7407,1606,26442,3080,18716,2509,6098,1430,1628,616,10514,1524,1403,596,1038,595,5782,1214,2291,733,12257,1798,10941,1667,1316,512,23186,3015,1644,680,2216,1021,1731,956,485,342,9767,1802,2805,925,6754,1877,26946,2854,16523,2405,10423,1983,6480,1276,92,120,2728,1075,3660,923,14590,2034,7458,1408,4326,1092,2806,1082,145204,4671,64924,4358,19188,2217,10996,1627,8192,1482,9031,2038,6846,1565,1621,847,564,326,10825,1549,1305,657,776,383,6724,1239,2020,677,25880,2997,21413,2627,4467,979,36294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
