GEO_ID,C16004_001E,C16004_001M,C16004_002E,C16004_002M,C16004_003E,C16004_003M,C16004_004E,C16004_004M,C16004_005E,C16004_005M,C16004_006E,C16004_006M,C16004_007E,C16004_007M,C16004_008E,C16004_008M,C16004_009E,C16004_009M,C16004_010E,C16004_010M,C16004_011E,C16004_011M,C16004_012E,C16004_012M,C16004_013E,C16004_013M,C16004_014E,C16004_014M,C16004_015E,C16004_015M,C16004_016E,C16004_016M,C16004_017E,C16004_017M,C16004_018E,C16004_018M,C16004_019E,C16004_019M,C16004_020E,C16004_020M,C16004_021E,C16004_021M,C16004_022E,C16004_022M,C16004_023E,C16004_023M,C16004_024E,C16004_024M,C16004_025E,C16004_025M,C16004_026E,C16004_026M,C16004_027E,C16004_027M,C16004_028E,C16004_028M,C16004_029E,C16004_029M,C16004_030E,C16004_030M,C16004_031E,C16004_031M,C16004_032E,C16004_032M,C16004_033E,C16004_033M,C16004_034E,C16004_034M,C16004_035E,C16004_035M,C16004_036E,C16004_036M,C16004_037E,C16004_037M,C16004_038E,C16004_038M,C16004_039E,C16004_039M,C16004_040E,C16004_040M,C16004_041E,C16004_041M,C16004_042E,C16004_042M,C16004_043E,C16004_043M,NAME,C16004_001MA,C16004_001EA,C16004_002EA,C16004_002MA,C16004_003EA,C16004_003MA,C16004_004EA,C16004_004MA,C16004_005EA,C16004_005MA,C16004_006MA,C16004_006EA,C16004_007MA,C16004_007EA,C16004_008EA,C16004_008MA,C16004_009EA,C16004_009MA,C16004_010EA,C16004_010MA,C16004_011EA,C16004_011MA,C16004_012MA,C16004_012EA,C16004_013EA,C16004_013MA,C16004_014EA,C16004_014MA,C16004_015EA,C16004_015MA,C16004_016EA,C16004_016MA,C16004_017MA,C16004_017EA,C16004_018MA,C16004_018EA,C16004_019EA,C16004_019MA,C16004_020EA,C16004_020MA,C16004_021EA,C16004_021MA,C16004_022EA,C16004_022MA,C16004_023MA,C16004_023EA,C16004_024EA,C16004_024MA,C16004_025EA,C16004_025MA,C16004_026EA,C16004_026MA,C16004_027EA,C16004_027MA,C16004_028MA,C16004_028EA,C16004_029MA,C16004_029EA,C16004_030EA,C16004_030MA,C16004_031EA,C16004_031MA,C16004_032EA,C16004_032MA,C16004_033MA,C16004_033EA,C16004_034MA,C16004_034EA,C16004_035EA,C16004_035MA,C16004_036EA,C16004_036MA,C16004_037EA,C16004_037MA,C16004_038MA,C16004_038EA,C16004_039MA,C16004_039EA,C16004_040MA,C16004_040EA,C16004_041EA,C16004_041MA,C16004_042EA,C16004_042MA,C16004_043MA,C16004_043EA,state
0400000US13,9774156,5384,1859542,5539,1563681,10191,213874,7661,172638,8076,41236,4564,30477,4371,26655,3895,3822,1218,31211,3624,23375,2870,7836,2037,20299,4924,15997,4073,4302,2151,6512764,4714,5526918,13950,544057,9165,274396,10378,269661,8709,184209,10410,135645,8295,48564,5346,182008,7234,98650,6208,83358,5677,75572,7522,52892,6447,22680,4019,1401850,4011,1307339,5322,33587,2882,15409,2333,18178,2038,31369,3578,17130,2432,14239,2780,24226,2319,6300,1440,17926,1992,5329,1489,3472,1149,1857,1004,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1337965,223,216424,456,180237,3775,4224,1282,3635,1158,589,477,2292,988,2015,964,277,198,28919,3608,18590,2913,10329,1893,752,622,752,622,0,187,867791,783,629804,10025,24241,3261,17533,2616,6708,1550,9933,1921,7987,1456,1946,1042,197943,8720,107149,6355,90794,6655,5870,1839,5471,1749,399,277,253750,730,183044,4287,1803,631,1519,588,284,273,2707,889,2361,871,346,244,64600,3892,23814,2276,40786,3123,1596,808,1436,785,160,186,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1600717,1915,327059,2257,290459,4409,29955,3614,24467,3501,5488,1533,1769,893,1352,763,417,458,2669,992,2426,981,243,284,2207,1250,1833,1213,374,293,1011064,2117,890247,5810,88138,4018,49314,4215,38824,3401,12463,2052,10381,1859,2082,816,13759,2346,9944,2130,3815,1258,6457,1988,3927,1216,2530,1607,262594,1827,249703,2130,7943,1377,3902,1161,4041,1132,2819,1084,1660,618,1159,732,1214,574,441,334,773,494,915,397,647,360,268,199,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12034675,2622,2127742,2982,1605104,11294,369426,8211,314046,8138,55380,4511,86809,6317,76424,5907,10385,2052,38666,2923,30257,2825,8409,1662,27737,4420,22075,3964,5662,1956,7959338,3703,5968866,18492,1147308,11417,658321,13053,488987,12095,487698,12812,328401,9504,159297,8185,255092,6665,154882,6693,100210,5322,100374,9274,65445,6296,34929,5410,1947595,2898,1635320,5800,120471,3235,34038,2634,86433,3524,121409,5507,56930,3839,64479,4697,57994,3260,22198,2086,35796,3331,12401,1811,5065,1176,7336,1451,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6247266,2273,1154479,3228,1029188,6776,77057,4122,61616,4200,15441,2060,23523,2766,15841,2217,7682,1531,18335,3522,14680,2945,3655,1497,6376,2380,5223,2169,1153,601,4068901,4097,3685089,11244,201634,6996,110630,7337,91004,5950,89561,5986,67394,5162,22167,2841,69789,3935,38903,3342,30886,3403,22828,4410,13814,2788,9014,3260,1023886,3135,980320,4011,18123,2000,9832,1462,8291,1726,18108,2462,10686,1873,7422,1745,5536,1059,2169,846,3367,912,1799,687,1245,577,554,367,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2947088,2385,531727,2905,480412,3949,30821,2736,26553,2668,4268,1047,10082,1935,8251,1627,1831,701,7070,1612,3930,1202,3140,1208,3342,1151,2751,1078,591,460,1890737,2617,1720179,7230,80953,4421,37441,2726,43512,3638,33582,4215,22972,3338,10610,2229,41698,3404,20057,2550,21641,3044,14325,2912,9070,2158,5255,1541,524624,1649,508538,1735,4234,1030,2053,675,2181,707,7063,1489,4473,890,2590,1222,3638,899,1423,535,2215,707,1151,578,670,444,481,398,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2720074,2410,519526,2979,447967,4479,56004,3524,47213,3317,8791,1677,6457,1722,5321,1570,1136,595,7331,1276,5853,1218,1478,559,1767,1068,888,522,879,777,1753097,2830,1523685,6452,144375,5099,77783,4066,66592,3856,30768,3689,21559,2839,9209,2028,41531,3688,21926,2825,19605,2885,12738,2245,8615,1920,4123,1194,447451,1997,424208,2226,11510,1193,5414,958,6096,1220,6594,1311,4277,991,2317,809,4769,973,1468,593,3301,785,370,267,205,154,165,218,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4177833,2604,738248,3606,692355,5744,21493,2402,13527,2053,7966,1665,13209,3557,10637,3360,2572,1263,5654,1684,4128,1526,1526,619,5537,1601,4019,1407,1518,909,2730537,3512,2555486,7748,80828,3764,40711,3130,40117,3589,48507,5950,31712,3865,16795,3726,29087,2896,14046,1963,15041,2458,16629,2961,9267,2020,7362,2100,709048,2390,694091,3031,4217,862,2068,659,2149,590,6265,1198,4021,1008,2244,839,3109,688,1090,412,2019,568,1366,1184,1136,1161,230,216,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4378120,3181,803029,3524,754020,5836,33230,2699,24788,2748,8442,1595,8238,2375,7084,2283,1154,723,5923,1317,4404,1155,1519,679,1618,681,1474,675,144,180,2878980,3085,2641141,8579,126924,5651,58140,5382,68784,5101,58732,4311,49027,3739,9705,1843,41421,2852,20321,2337,21100,2656,10762,2667,7713,2269,3049,1351,696111,2645,628642,3925,10619,1314,6031,1195,4588,926,49901,3050,41121,3085,8780,1396,6651,1199,1715,712,4936,1097,298,235,102,136,196,198,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1271517,1099,189812,1286,181376,2123,2486,941,1383,706,1103,649,3475,1228,3033,1177,442,265,1073,592,875,596,198,160,1402,846,1223,828,179,175,814964,1411,770522,3564,7446,1228,5845,1093,1601,660,25747,2740,20827,2705,4920,1102,7114,1205,4191,949,2923,802,4135,1220,2686,910,1449,608,266741,1072,245237,2238,1428,614,1098,536,330,338,18311,1898,14451,1824,3860,856,989,422,241,184,748,414,776,399,457,253,319,328,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
