GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002MA,B13002I_002EA,B13002I_003EA,B13002I_003MA,B13002I_004EA,B13002I_004MA,B13002I_005EA,B13002I_005MA,B13002I_006EA,B13002I_006MA,B13002I_007MA,B13002I_007EA,state
0400000US01,49795,2168,2918,1022,2400,944,518,333,46877,2324,24422,2567,22455,2268,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14195,935,1220,792,1070,769,150,177,12975,1045,5757,940,7218,1158,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,583998,2134,35990,2981,19447,2754,16543,2174,548008,3319,217413,6661,330595,6760,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,58406,1776,4567,1288,2921,957,1646,872,53839,2199,24730,2059,29109,2371,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4144574,4407,221324,8485,126751,5862,94573,6326,3923250,10224,1568138,17911,2355112,18827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,319737,1958,19192,2575,10965,2019,8227,1598,300545,3359,129561,5004,170984,5777,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,159574,1413,8218,2012,4451,1168,3767,1345,151356,2453,49440,3104,101916,3762,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23627,537,1198,672,765,492,433,391,22429,843,9929,1299,12500,1170,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21476,573,914,442,440,364,474,294,20562,699,7055,1157,13507,1176,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1370410,4746,72384,5987,43288,3830,29096,4704,1298026,8117,553482,11858,744544,12408,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,260943,4400,18031,2356,12535,2130,5496,1459,242912,4385,120729,4723,122183,4729,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,37161,522,3140,823,2800,828,340,223,34021,925,13938,1547,20083,1498,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,55216,1691,3103,1048,2501,905,602,369,52113,2005,22399,2213,29714,1991,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,587870,3084,27792,2746,16186,2034,11606,1945,560078,3843,234077,6665,326001,6423,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,121887,2188,7562,1563,3848,1233,3714,1032,114325,2653,47161,2803,67164,2988,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,48567,1873,3740,1037,2526,810,1214,500,44827,1807,18100,1791,26727,2172,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,88943,1790,5551,978,3896,903,1655,619,83392,2075,42654,2614,40738,2711,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,36886,1938,1448,565,838,409,610,375,35438,2048,16123,1572,19315,1981,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,60160,2273,3991,1281,2224,948,1767,741,56169,2660,25693,2247,30476,2701,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5377,668,471,331,240,207,231,258,4906,698,2273,603,2633,673,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,157547,1833,9478,1522,5545,1165,3933,1040,148069,2116,69452,3298,78617,3560,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,226993,1364,12676,2071,5980,1239,6696,1647,214317,2429,69164,4244,145153,4588,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,131046,2122,8008,1640,4816,1251,3192,966,123038,2720,48344,2538,74694,2927,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,76948,1700,3527,964,2051,736,1476,661,73421,1957,30416,2070,43005,2502,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20949,1616,1205,738,571,585,634,435,19744,1862,8687,1329,11057,1918,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,64824,2143,4239,927,2438,727,1801,543,60585,2244,26142,2183,34443,2407,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,9715,998,501,350,368,304,133,191,9214,1092,4395,938,4819,1061,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,50147,1661,4399,1232,2751,845,1648,724,45748,2086,20786,2012,24962,2160,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,231987,1512,14172,1849,8627,1486,5545,1235,217815,2158,92626,3573,125189,3900,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
