GEO_ID,B17020C_001E,B17020C_001M,B17020C_002E,B17020C_002M,B17020C_003E,B17020C_003M,B17020C_004E,B17020C_004M,B17020C_005E,B17020C_005M,B17020C_006E,B17020C_006M,B17020C_007E,B17020C_007M,B17020C_008E,B17020C_008M,B17020C_009E,B17020C_009M,B17020C_010E,B17020C_010M,B17020C_011E,B17020C_011M,B17020C_012E,B17020C_012M,B17020C_013E,B17020C_013M,B17020C_014E,B17020C_014M,B17020C_015E,B17020C_015M,B17020C_016E,B17020C_016M,B17020C_017E,B17020C_017M,NAME,B17020C_001EA,B17020C_001MA,B17020C_002MA,B17020C_002EA,B17020C_003MA,B17020C_003EA,B17020C_004MA,B17020C_004EA,B17020C_005MA,B17020C_005EA,B17020C_006EA,B17020C_006MA,B17020C_007EA,B17020C_007MA,B17020C_008MA,B17020C_008EA,B17020C_009MA,B17020C_009EA,B17020C_010MA,B17020C_010EA,B17020C_011EA,B17020C_011MA,B17020C_012EA,B17020C_012MA,B17020C_013EA,B17020C_013MA,B17020C_014MA,B17020C_014EA,B17020C_015MA,B17020C_015EA,B17020C_016EA,B17020C_016MA,B17020C_017EA,B17020C_017MA,state
0400000US01,24387,3032,3798,1365,82,89,40,63,404,431,2679,1156,498,351,0,200,95,155,20589,2602,701,403,736,402,1322,596,13118,2242,3945,979,635,396,132,177,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,105516,4825,25064,2513,3651,565,3288,819,2594,485,13413,1390,1834,404,240,98,44,35,80452,4554,8234,1696,7587,1088,7574,1012,44743,2272,9350,1011,2477,519,487,224,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,308321,8912,108044,8350,15019,2227,14657,2376,11495,1657,55450,4474,8411,1165,2341,476,671,243,200277,9270,13439,2317,16907,1921,19332,2260,119862,5341,23575,1748,5088,878,2074,665,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18373,2450,4713,1282,609,469,787,594,162,173,2939,833,188,215,28,47,0,201,13660,2255,674,512,989,683,1108,585,8217,1547,2004,657,536,572,132,134,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,305224,12657,59653,6504,6417,1832,7082,1754,5698,1449,33402,3741,5255,1167,1504,512,295,297,245571,11750,15998,2788,17718,2353,20203,2387,141586,7248,38225,2921,7938,1345,3903,955,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,52555,4344,9014,1913,413,250,230,160,546,328,6027,1563,1521,687,74,98,203,255,43541,3974,1981,707,2083,636,4888,1116,26386,2881,6707,1218,1136,519,360,284,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,10448,2309,1830,982,411,424,0,207,0,207,1024,586,361,310,0,207,34,53,8618,2112,328,354,866,433,1354,552,4060,1195,1632,613,378,328,0,207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,61061,7035,10116,2105,928,617,657,390,529,411,5458,1505,2134,872,276,243,134,166,50945,6337,4048,1426,2254,702,4762,1789,28594,4375,8425,1324,2359,865,503,317,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
