GEO_ID,B18107_001E,B18107_001M,B18107_002E,B18107_002M,B18107_003E,B18107_003M,B18107_004E,B18107_004M,B18107_005E,B18107_005M,B18107_006E,B18107_006M,B18107_007E,B18107_007M,B18107_008E,B18107_008M,B18107_009E,B18107_009M,B18107_010E,B18107_010M,B18107_011E,B18107_011M,B18107_012E,B18107_012M,B18107_013E,B18107_013M,B18107_014E,B18107_014M,B18107_015E,B18107_015M,B18107_016E,B18107_016M,B18107_017E,B18107_017M,B18107_018E,B18107_018M,B18107_019E,B18107_019M,B18107_020E,B18107_020M,B18107_021E,B18107_021M,B18107_022E,B18107_022M,B18107_023E,B18107_023M,B18107_024E,B18107_024M,B18107_025E,B18107_025M,B18107_026E,B18107_026M,B18107_027E,B18107_027M,NAME,B18107_001MA,B18107_001EA,B18107_002EA,B18107_002MA,B18107_003EA,B18107_003MA,B18107_004MA,B18107_004EA,B18107_005MA,B18107_005EA,B18107_006MA,B18107_006EA,B18107_007MA,B18107_007EA,B18107_008EA,B18107_008MA,B18107_009MA,B18107_009EA,B18107_010EA,B18107_010MA,B18107_011MA,B18107_011EA,B18107_012MA,B18107_012EA,B18107_013EA,B18107_013MA,B18107_014EA,B18107_014MA,B18107_015EA,B18107_015MA,B18107_016EA,B18107_016MA,B18107_017MA,B18107_017EA,B18107_018MA,B18107_018EA,B18107_019EA,B18107_019MA,B18107_020MA,B18107_020EA,B18107_021EA,B18107_021MA,B18107_022MA,B18107_022EA,B18107_023MA,B18107_023EA,B18107_024EA,B18107_024MA,B18107_025EA,B18107_025MA,B18107_026EA,B18107_026MA,B18107_027MA,B18107_027EA,state
0400000US01,3701067,2610,1742003,3599,520215,3663,19356,2938,500859,4869,880682,3743,54266,3800,826416,5202,218704,2414,20043,2254,198661,3051,122402,1564,25314,2396,97088,2598,1959064,3527,551807,4093,16636,2104,535171,4414,965447,4483,63576,3735,901871,5530,256376,2450,27398,2745,228978,3368,185434,2029,61260,2850,124174,3063,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,531356,2202,272346,2200,90812,2297,3411,1006,87401,2422,140572,1986,5319,1388,135253,2353,29319,854,1708,644,27611,1017,11643,556,2218,586,9425,763,259010,1329,84410,1463,1956,882,82454,1564,134050,1486,5335,1399,128715,2091,27107,802,1950,604,25157,1070,13443,590,3825,791,9618,890,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5278030,2464,2567217,2884,801629,3267,23578,3128,778051,3955,1217760,3046,48800,3934,1168960,5071,325812,1317,19307,1970,306505,2226,222016,1374,36163,2800,185853,2939,2710813,2321,776961,2401,18767,2381,758194,3708,1292658,2213,60419,4062,1232239,4726,370320,1497,26774,2731,343546,3183,270874,1364,67785,3659,203089,3847,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2242815,2257,1077755,3083,328497,3191,14143,2166,314354,4078,533566,3046,35160,3121,498406,4175,134649,2156,12314,1670,122335,2890,81043,1222,14579,1524,66464,1931,1165060,2892,326258,3131,10185,1680,316073,3386,574175,3255,40244,3322,533931,4453,153140,1870,17156,1974,135984,2539,111487,1662,33525,2518,77962,2638,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30004230,5801,14647533,6173,4873764,6552,113068,6645,4760696,8969,7369434,5871,246724,8105,7122710,9516,1468783,2641,102086,4603,1366697,5468,935552,2759,198252,7820,737300,7911,15356697,4684,4732202,3883,89829,5508,4642373,7301,7618752,4575,293905,9335,7324847,10127,1699022,3522,168970,6136,1530052,6568,1306721,3392,428883,8601,877838,8625,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4253992,3506,2102544,3807,686806,3519,12540,1851,674266,3940,1067828,3179,32752,3042,1035076,3970,227526,1732,11920,1688,215606,2431,120384,1522,19722,2044,100662,1979,2151448,2407,660085,2798,14710,2079,645375,3204,1080502,2392,38126,3246,1042376,4129,249596,1977,15440,2073,234156,2907,161265,1927,39749,2651,121516,3125,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2795593,1476,1337829,2484,392743,2384,9107,1612,383636,2799,692210,2364,19963,2101,672247,3066,156934,1003,6771,1273,150163,1580,95942,1109,18349,1864,77593,2221,1457764,1886,388799,1681,9149,1610,379650,2255,742355,1820,25532,2909,716823,3122,179212,1333,14046,2195,165166,2522,147398,1444,38230,2773,109168,2867,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,743351,1053,350686,1030,102435,1419,2106,955,100329,1555,172625,1520,5811,1124,166814,1999,47492,714,2137,730,45355,1036,28134,688,4037,813,24097,1111,392665,783,107213,1070,2671,689,104542,1235,191947,1212,9325,1402,182622,1751,55971,477,3022,821,52949,924,37534,650,9620,1485,27914,1537,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559436,823,258266,762,106974,777,1907,859,105067,1085,118653,816,4210,895,114443,1312,19989,540,1922,769,18067,882,12650,484,2741,687,9909,795,301170,697,126518,291,1202,554,125316,666,125807,493,5670,1361,120137,1386,27099,384,3065,1039,24034,1146,21746,523,6677,976,15069,1066,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16487490,4366,7892809,5095,2175658,6071,64093,4885,2111565,6852,3844548,6580,154217,7173,3690331,9264,1072077,3869,60429,4233,1011648,5193,800526,3282,130714,6574,669812,6660,8594681,4351,2181121,4995,47984,4599,2133137,6146,4139420,5790,186027,8236,3953393,10314,1254343,3374,81255,4587,1173088,5355,1019797,3470,262612,8663,757185,8581,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
