GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002MA,B11004_002EA,B11004_003MA,B11004_003EA,B11004_004EA,B11004_004MA,B11004_005EA,B11004_005MA,B11004_006EA,B11004_006MA,B11004_007MA,B11004_007EA,B11004_008MA,B11004_008EA,B11004_009MA,B11004_009EA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013MA,B11004_013EA,B11004_014MA,B11004_014EA,B11004_015MA,B11004_015EA,B11004_016EA,B11004_016MA,B11004_017EA,B11004_017MA,B11004_018EA,B11004_018MA,B11004_019MA,B11004_019EA,B11004_020MA,B11004_020EA,state
0400000US19,794614,8064,634509,7761,251851,5936,56978,3331,59571,2916,135302,4748,382658,6005,160105,5270,52144,3634,35905,3196,8724,1497,6061,1281,21120,2491,16239,1722,107961,3853,75924,3422,16630,1922,15578,1939,43716,2768,32037,2813,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,733649,7787,572393,7725,241756,6071,54741,3516,59109,3870,127906,4678,330637,6819,161256,5788,49987,3183,30827,2667,9279,1787,6248,1217,15300,1967,19160,1824,111269,4756,77658,4821,17016,2198,16184,2140,44458,3576,33611,2525,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1129828,12032,837553,11380,338033,8387,77890,3680,72692,4397,187451,5838,499520,8803,292275,6768,81524,4522,47930,3739,12633,1918,6238,1313,29059,2804,33594,2870,210751,5362,137602,4703,31545,2944,27079,2680,78978,3969,73149,3726,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1107245,13193,744011,12091,298511,8394,66984,4618,62634,4275,168893,6358,445500,8332,363234,8597,87339,5575,49099,4113,13378,2299,8071,1879,27650,3052,38240,3708,275895,7194,180461,6279,34748,3504,38884,3702,106829,4853,95434,4755,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,330106,6496,263878,6107,86024,3602,22155,2405,14477,1542,49392,2712,177854,4707,66228,4015,21476,2206,13837,1853,3682,1007,1693,583,8462,1516,7639,987,44752,3130,27490,2502,5215,1070,3676,881,18599,1967,17262,1929,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1469830,12332,1052297,12891,455687,9052,110200,4729,94323,5495,251164,6590,596610,8678,417533,9593,104699,5657,54816,4672,12252,2198,10945,2012,31619,3313,49883,3659,312834,7716,183323,6618,32636,3261,33725,3122,116962,5483,129511,5564,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1652214,13374,1223401,12617,496480,9372,124126,5621,86843,5216,285511,7709,726921,11252,428813,11958,111658,6700,52657,4404,14792,2346,6409,1630,31456,3693,59001,4379,317155,9631,187999,6623,34826,3286,34668,3463,118505,5388,129156,6672,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2518003,14120,1856750,14500,707481,8353,156943,5437,143295,5499,407243,7246,1149269,11516,661253,9626,189558,5628,107336,4750,29367,2667,16234,1951,61735,3500,82222,4049,471695,9633,288085,7667,60579,3997,54876,3759,172630,6021,183610,6531,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1388742,11141,1106647,10063,458148,6360,106592,4006,101244,3966,250312,4868,648499,7708,282095,6944,89316,4570,56422,3407,12082,1682,10029,1362,34311,2847,32894,2382,192779,5813,131477,5566,27786,2806,24089,2655,79602,3911,61302,3252,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,716451,10880,482684,10811,192854,6626,36289,3144,45228,3561,111337,5309,289830,7358,233767,7452,54881,3853,29764,3371,7324,1590,4743,1336,17697,2472,25117,2383,178886,6347,119915,5645,22743,2392,26079,2868,71093,5135,58971,3546,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
