GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001EA,B13002A_001MA,B13002A_002MA,B13002A_002EA,B13002A_003MA,B13002A_003EA,B13002A_004EA,B13002A_004MA,B13002A_005EA,B13002A_005MA,B13002A_006EA,B13002A_006MA,B13002A_007EA,B13002A_007MA,state
0400000US01,733581,3698,35255,2552,26397,2521,8858,1719,698326,4326,344569,7577,353757,7710,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,107596,1563,5026,1235,4575,1246,451,296,102570,1783,52387,2541,50183,2944,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1185727,9918,61714,3836,40561,2840,21153,2616,1124013,9950,477151,10111,646862,10883,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,506127,3829,26874,2656,18876,2183,7998,1623,479253,4276,240874,6921,238379,7142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5334614,25709,261013,8763,182029,6180,78984,5823,5073601,26899,2149166,22125,2924435,24060,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1119961,6189,56945,3439,43525,2929,13420,2061,1063016,6591,490525,7818,572491,9558,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,585909,5211,23568,2530,17585,1768,5983,1521,562341,5663,224375,6226,337966,6349,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,139070,1719,5797,1255,4102,1040,1695,684,133273,2067,55442,2774,77831,3149,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,97112,1458,3874,786,3634,766,240,212,93238,1615,27510,1916,65728,2233,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3279371,12309,154557,7434,101195,5671,53362,5482,3124814,14536,1348224,18573,1776590,19351,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1409413,7219,74349,4691,56016,3829,18333,2813,1335064,7644,662147,11877,672917,13252,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
