GEO_ID,C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,NAME,C27001H_001MA,C27001H_001EA,C27001H_002MA,C27001H_002EA,C27001H_003EA,C27001H_003MA,C27001H_004EA,C27001H_004MA,C27001H_005EA,C27001H_005MA,C27001H_006MA,C27001H_006EA,C27001H_007MA,C27001H_007EA,C27001H_008MA,C27001H_008EA,C27001H_009MA,C27001H_009EA,C27001H_010EA,C27001H_010MA,state
0400000US01,3148898,3842,680789,3402,663618,4463,17171,2661,1859098,4765,1637026,11487,222072,11090,609011,1757,607978,1868,1033,511,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,435077,1913,94472,1007,89292,1437,5180,1261,280012,1899,243398,3935,36614,3677,60593,333,60432,359,161,107,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3792585,5252,677852,3802,642357,5357,35495,4324,2161999,4487,1963800,9531,198199,8350,952734,856,950628,1065,2106,771,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2136043,2793,473326,2837,457316,3372,16010,2691,1248502,2983,1133988,6784,114514,5859,414215,968,413748,977,467,263,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14421122,8504,2454323,5617,2398802,9024,55521,5861,8878388,8341,8383346,15339,495042,12611,3088411,3293,3076407,3746,12004,2035,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3763148,4450,752984,3456,727987,4777,24997,3001,2378732,4756,2207940,7439,170792,6390,631432,1115,629810,1258,1622,694,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2360024,3704,440317,2887,432532,3615,7785,1580,1431441,3506,1365416,5844,66025,5285,488266,930,487050,1192,1216,614,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,590142,1214,108557,963,105544,1709,3013,1331,345860,1280,327392,2919,18468,2713,135725,684,135587,695,138,123,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250685,1574,30307,1380,29924,1465,383,326,192257,1445,187656,1780,4601,1473,28121,287,27979,340,142,170,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11141479,8898,1859054,5803,1742660,10038,116394,8490,6230118,7732,5311035,22312,919083,22562,3052307,2749,3036732,3658,15575,2643,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5403301,5848,1170752,5355,1109482,8024,61270,5442,3260387,6779,2802246,15869,458141,13894,972162,1569,969049,1962,3113,985,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,283473,1973,44338,932,43242,1134,1096,532,172357,1842,161872,2516,10485,1735,66778,398,66617,428,161,125,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1391299,2002,352857,2287,339765,3980,13092,2984,795994,3050,694747,6495,101247,5787,242448,894,241930,960,518,363,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7740892,5446,1577380,4100,1541327,5739,36053,4167,4726635,5829,4447221,12078,279414,10602,1436877,2420,1431134,2736,5743,1521,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5207314,2950,1188609,3688,1118645,7024,69964,6260,3127589,3792,2843654,10680,283935,10292,891116,1371,887917,1709,3199,1014,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
