GEO_ID,B13012_001E,B13012_001M,B13012_002E,B13012_002M,B13012_003E,B13012_003M,B13012_004E,B13012_004M,B13012_005E,B13012_005M,B13012_006E,B13012_006M,B13012_007E,B13012_007M,B13012_008E,B13012_008M,B13012_009E,B13012_009M,B13012_010E,B13012_010M,B13012_011E,B13012_011M,B13012_012E,B13012_012M,B13012_013E,B13012_013M,B13012_014E,B13012_014M,B13012_015E,B13012_015M,NAME,B13012_001EA,B13012_001MA,B13012_002MA,B13012_002EA,B13012_003MA,B13012_003EA,B13012_004MA,B13012_004EA,B13012_005EA,B13012_005MA,B13012_006EA,B13012_006MA,B13012_007EA,B13012_007MA,B13012_008MA,B13012_008EA,B13012_009EA,B13012_009MA,B13012_010EA,B13012_010MA,B13012_011EA,B13012_011MA,B13012_012MA,B13012_012EA,B13012_013MA,B13012_013EA,B13012_014MA,B13012_014EA,B13012_015EA,B13012_015MA,state
0400000US01,1112003,4867,58836,3624,33729,3048,21264,2619,12465,1636,25107,2933,16120,2394,8987,1940,1053167,6233,449684,8618,319970,8483,129714,5224,603483,9872,392660,8947,210823,8038,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165820,2004,9961,1681,7877,1630,3777,942,4100,1103,2084,578,943,308,1141,529,155859,2440,75558,3504,58324,3451,17234,2016,80301,3578,60649,3062,19652,1903,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1556508,4365,88177,4432,56007,3425,31848,2547,24159,2543,32170,3207,21359,2710,10811,1801,1468331,6131,617691,11586,437104,9004,180587,8985,850640,11634,610461,11665,240179,7968,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666950,3975,40856,3689,25275,2851,15254,2141,10021,1926,15581,2346,9572,1763,6009,1505,626094,5007,297944,7184,219384,7041,78560,4179,328150,8455,222777,7445,105373,5708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9440827,12354,468382,11315,318341,8345,184831,6810,133510,6365,150041,7619,91033,5163,59008,4853,8972445,18579,3850761,28777,2706261,24534,1144500,20279,5121684,27684,3577084,29656,1544600,18384,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1323669,4834,70623,3863,52458,3438,33599,2712,18859,2153,18165,2352,11414,1594,6751,1576,1253046,5824,582606,8774,439859,8526,142747,7063,670440,9180,516945,10202,153495,7167,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,804108,3413,33995,3315,23763,2377,17326,1858,6437,1410,10232,2029,7460,1535,2772,1037,770113,5021,302633,6560,237011,6318,65622,4675,467480,6933,351208,7824,116272,5302,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212744,1802,9580,1613,6113,1293,3140,879,2973,1036,3467,1027,2621,808,846,515,203164,2260,78497,3540,57316,3060,21181,2216,124667,3870,84900,3926,39767,3318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,207114,1280,9007,1357,5198,1055,3983,896,1215,613,3809,1150,2319,808,1490,768,198107,1847,50529,3033,42469,2706,8060,1635,147578,3248,115229,4147,32349,2974,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4544171,10667,230774,8912,139974,6819,84599,5270,55375,4577,90800,7002,58873,5223,31927,4237,4313397,14607,1772992,22798,1315696,20039,457296,11816,2540405,22604,1803351,20699,737054,15872,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
