GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002MA,B20004_002EA,B20004_003MA,B20004_003EA,B20004_004MA,B20004_004EA,B20004_005EA,B20004_005MA,B20004_006EA,B20004_006MA,B20004_007MA,B20004_007EA,B20004_008MA,B20004_008EA,B20004_009EA,B20004_009MA,B20004_010MA,B20004_010EA,B20004_011EA,B20004_011MA,B20004_012EA,B20004_012MA,B20004_013MA,B20004_013EA,B20004_014MA,B20004_014EA,B20004_015MA,B20004_015EA,B20004_016EA,B20004_016MA,B20004_017EA,B20004_017MA,B20004_018MA,B20004_018EA,state
0400000US01,35578,396,21601,794,29440,923,32057,379,49520,1446,57213,1439,42330,668,25787,1217,35915,764,41440,858,62626,2850,77436,5112,29400,705,15778,648,21671,572,26824,624,39320,1607,51494,598,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45018,1497,24222,4739,35868,1417,41758,1260,56914,3307,75748,2568,51352,1151,27211,2657,41536,1679,51169,1990,67437,5636,90028,8314,36909,1096,20130,3766,28778,1905,34947,3185,46115,2587,70662,2569,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36923,288,22121,395,28821,780,35802,463,51197,517,65573,1317,41275,359,25742,690,32269,698,41321,588,62280,1755,80236,2298,32249,309,17976,1069,24030,904,31308,382,42884,1517,54235,2122,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34062,671,23439,1161,29023,1026,31916,536,46483,952,60011,3019,40188,501,26435,1062,34029,1589,40119,1868,60496,2206,72016,5142,29191,847,20178,1041,22364,728,27613,890,38345,2098,52031,1395,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41122,112,22648,291,30918,181,38296,498,60940,240,85555,717,46625,237,26876,220,35362,339,45303,441,71972,546,101525,335,35640,197,17580,379,25482,321,32019,199,51180,329,72229,473,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42324,255,26069,881,32385,761,37835,971,52074,496,67553,1895,50617,301,30979,612,37229,839,46067,669,65419,1418,86844,2962,36448,357,19923,1344,27251,779,31309,562,43320,1560,55136,1334,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48506,892,25393,1033,34473,1116,42231,995,61520,944,80966,1169,55454,808,28196,2473,41739,833,51511,687,75824,1800,100687,1073,40595,597,19824,1716,28665,1699,35392,1152,51038,955,67389,2409,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41815,699,26364,994,32626,2147,36577,1776,57157,3029,73360,3772,47463,1776,26856,934,38779,3209,41848,3205,63198,5058,83220,10960,37662,2098,21068,5459,29555,2515,31986,1217,50891,3030,67032,5192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61641,828,26686,2593,30469,2400,41297,1133,65056,3395,91724,2334,65586,1694,30200,2982,31617,3305,42168,2886,71849,2785,100135,3830,58165,3322,20744,2253,28005,3923,40101,5838,57652,4381,86728,4212,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33638,383,21666,308,26826,239,32230,227,45651,506,60959,573,38104,557,25115,479,30974,257,37346,454,55077,1099,74579,2809,30184,223,17066,419,22462,297,29167,756,40107,392,51758,464,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
