GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001EA,B15002G_001MA,B15002G_002MA,B15002G_002EA,B15002G_003MA,B15002G_003EA,B15002G_004MA,B15002G_004EA,B15002G_005EA,B15002G_005MA,B15002G_006EA,B15002G_006MA,B15002G_007EA,B15002G_007MA,B15002G_008MA,B15002G_008EA,B15002G_009MA,B15002G_009EA,B15002G_010EA,B15002G_010MA,B15002G_011MA,B15002G_011EA,B15002G_012EA,B15002G_012MA,B15002G_013MA,B15002G_013EA,B15002G_014MA,B15002G_014EA,B15002G_015EA,B15002G_015MA,B15002G_016EA,B15002G_016MA,B15002G_017EA,B15002G_017MA,B15002G_018EA,B15002G_018MA,B15002G_019MA,B15002G_019EA,state
0400000US01,37570,3566,16785,2073,888,569,1699,557,3270,1073,1211,483,3264,1081,1720,692,2755,813,1978,641,20785,2236,1027,535,1634,688,3355,1147,1159,535,5924,1314,2086,717,2883,838,2717,880,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26693,2828,13916,1812,292,369,1208,612,2471,727,1428,778,5248,1077,794,421,1777,712,698,357,12777,1701,290,303,441,207,2132,605,1185,591,3602,1022,1528,658,2376,810,1223,712,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109772,5895,54555,3897,2473,899,4613,1041,10175,2031,3158,723,14299,2280,5121,1199,8935,1709,5781,1392,55217,3981,2090,754,4641,1001,9523,1546,2528,964,13911,1820,6682,1588,10379,1545,5463,1132,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37583,3215,19168,2173,734,367,2123,778,5050,1317,1491,633,5175,914,1473,598,2372,830,750,421,18415,1958,502,290,1542,575,4255,1012,1324,611,4862,1092,2078,709,2767,980,1085,512,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,881679,18190,440328,12127,19536,2481,28874,3083,73593,5424,17239,2555,118876,5922,38713,3679,95163,5209,48334,3143,441351,10634,23218,2493,23035,2368,63682,4325,11206,1462,112840,4842,45799,3870,106430,5340,55141,3475,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,89192,5543,43793,3726,1803,1061,2722,1176,6274,1206,2316,880,11568,2162,3635,1082,9957,1761,5518,1080,45399,3437,1692,724,2393,885,5423,1144,976,405,12093,1838,5550,1118,11783,1719,5489,910,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,45285,4072,21974,2562,863,381,2001,703,6425,1726,1541,756,4478,1140,1249,590,3354,1019,2063,805,23311,2587,1489,606,1632,715,4485,1099,696,392,5565,1213,2533,964,3305,946,3606,1032,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10662,1943,6299,1503,51,66,406,301,2023,1032,125,154,1757,729,662,487,793,400,482,358,4363,1084,28,47,413,293,1284,583,314,419,780,484,621,368,473,289,450,325,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11613,2501,5353,1470,61,102,474,522,600,470,134,164,722,413,295,311,1904,746,1163,538,6260,1642,126,150,358,469,263,218,0,208,453,311,0,208,2044,837,3016,866,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,249957,13212,121011,7963,8301,1849,9135,2164,25082,3370,5984,1455,24628,2904,11518,2229,24229,3409,12134,1931,128946,7947,7185,1325,9071,1912,22341,2708,4233,1113,25791,3217,16544,2822,29556,3092,14225,2374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,110660,6694,50987,3955,3206,909,2855,849,9346,1788,4287,1415,10642,1899,4147,1027,11000,2047,5504,1314,59673,4799,3158,1064,3751,1074,8229,1712,2341,920,12813,2096,6513,1651,12916,2297,9952,1949,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,172029,7469,86614,4199,459,264,3938,1074,31250,2798,2786,907,21445,2289,8525,1223,12386,1723,5825,1194,85415,4610,2019,779,3366,867,26863,3198,3262,953,18665,1768,9769,1506,14658,1470,6813,1408,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20537,2786,10959,1974,310,214,860,529,1800,775,941,462,3591,1302,947,548,2009,904,501,342,9578,1686,182,224,391,352,978,438,469,334,2939,944,1273,647,2473,820,873,533,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
