GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001EA,C21001H_001MA,C21001H_002EA,C21001H_002MA,C21001H_003EA,C21001H_003MA,C21001H_004EA,C21001H_004MA,C21001H_005EA,C21001H_005MA,C21001H_006EA,C21001H_006MA,C21001H_007EA,C21001H_007MA,C21001H_008MA,C21001H_008EA,C21001H_009MA,C21001H_009EA,C21001H_010EA,C21001H_010MA,C21001H_011EA,C21001H_011MA,C21001H_012EA,C21001H_012MA,C21001H_013MA,C21001H_013EA,C21001H_014MA,C21001H_014EA,C21001H_015EA,C21001H_015MA,state
0400000US01,2549064,2869,1227622,1917,951637,1782,104877,4910,846760,5062,275985,660,119679,4123,156306,4017,1321442,1515,973780,1251,13422,2062,960358,2395,347662,582,4828,1050,342834,1180,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,347766,1472,182345,1330,150730,1351,27015,2125,123715,2362,31615,155,16516,1391,15099,1375,165421,581,135569,576,4661,1227,130908,1183,29852,178,852,410,29000,392,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3189085,3528,1562567,1877,1113770,1827,135620,5786,978150,6139,448797,279,209519,5155,239278,5126,1626518,2220,1113547,2228,23925,3085,1089622,3611,512971,220,9069,1451,503902,1466,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1725000,1601,835586,1094,643798,1112,74799,4274,568999,4202,191788,437,87581,3061,104207,3137,889414,882,652587,839,6942,1189,645645,1580,236827,239,2848,842,233979,842,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12233398,7258,6059939,4885,4631082,4706,347925,8577,4283157,9288,1428857,1141,572276,8049,856581,8172,6173459,5012,4458314,4870,49926,3344,4408388,6142,1715145,1209,18989,1866,1696156,2193,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3087663,3400,1531723,2696,1235333,2715,136975,5010,1098358,5503,296390,339,134928,3205,161462,3253,1555940,1418,1208411,1413,24298,2179,1184113,2511,347529,340,6114,1215,341415,1267,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1979090,2443,951700,1458,729600,1442,43182,3346,686418,3321,222100,182,91383,3236,130717,3249,1027390,1306,742476,1307,5073,1040,737403,1599,284914,147,2425,769,282489,770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,494809,1002,235826,779,173204,721,15047,1871,158157,2076,62622,271,26514,1817,36108,1755,258983,492,183145,368,2188,767,180957,809,75838,316,712,325,75126,470,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224396,829,111329,516,97738,516,5029,1217,92709,1165,13591,208,4225,838,9366,838,113067,552,98198,524,1002,412,97196,677,14869,125,471,342,14398,377,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9506306,7165,4612038,4963,3178974,4257,371556,10354,2807418,11052,1433064,1433,665893,10056,767171,10152,4894268,3749,3227721,3389,65032,4552,3162689,6024,1666547,1069,27215,2953,1639332,3112,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4358520,3754,2108620,3206,1665290,3163,165794,6819,1499496,7622,443330,252,196796,5232,246534,5202,2249900,1669,1701376,1607,23170,3242,1678206,3376,548524,445,7264,1257,541260,1281,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,243558,1802,123907,1559,89203,1558,17394,1683,71809,2045,34704,27,14960,1368,19744,1372,119651,827,86757,865,4285,973,82472,1327,32894,190,618,312,32276,371,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1072020,1724,529799,1285,413608,1123,41687,3531,371921,3578,116191,521,53107,2596,63084,2537,542221,1078,412209,1045,6448,1300,405761,1734,130012,252,1170,414,128842,441,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6339958,3744,3081444,2850,2426765,2840,164877,6039,2261888,6310,654679,339,263464,5852,391215,5900,3258514,1814,2424684,1742,21904,2095,2402780,2697,833830,332,7235,1144,826595,1196,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4156836,1899,2020200,1508,1612860,1327,142721,5882,1470139,5981,407340,409,168581,4456,238759,4441,2136636,1078,1621382,1071,17361,1950,1604021,2167,515254,242,4856,959,510398,1024,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2128395,1777,1040865,1359,815953,1146,63402,3105,752551,3392,224912,412,95792,3296,129120,3322,1087530,693,807208,675,7668,1047,799540,1267,280322,180,2775,717,277547,723,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1725637,1825,839130,1561,658137,1531,61483,3844,596654,4246,180993,156,76632,2238,104361,2226,886507,603,663365,555,8243,1378,655122,1507,223142,201,2515,723,220627,805,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2966649,2568,1432735,2043,1141856,2030,98176,5061,1043680,4839,290879,232,115311,4012,175568,4023,1533914,986,1169126,937,13097,1822,1156029,2243,364788,257,4512,895,360276,945,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2166205,2607,1052204,1563,832320,1563,65852,4604,766468,4708,219884,218,87897,3805,131987,3819,1114001,1813,841896,1622,9366,2093,832530,2338,272105,486,2185,628,269920,793,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1021995,895,493874,721,375792,718,39906,2896,335886,2907,118082,31,53430,1938,64652,1941,528121,444,386541,445,5311,1056,381230,1172,141580,38,2073,667,139507,670,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2485125,3316,1198687,2675,932747,2601,96653,4692,836094,4606,265940,356,113432,3499,152508,3483,1286438,1403,955581,1409,18433,2140,937148,2695,330857,276,4055,764,326802,830,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4067983,5934,1944701,3168,1527822,3119,93281,4249,1434541,5282,416879,512,159243,5128,257636,5116,2123282,3518,1581464,3257,11762,1523,1569702,3402,541818,951,4835,1009,536983,1333,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6016614,1888,2946850,1104,2305610,1087,176103,5718,2129507,5419,641240,198,262199,5211,379041,5211,3069764,1145,2290738,1143,22503,1937,2268235,2334,779026,237,7072,984,771954,1004,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3554416,1384,1748609,870,1383267,874,101888,4845,1281379,5022,365342,111,162773,3566,202569,3543,1805807,798,1365318,720,12977,1332,1352341,1508,440489,200,3727,741,436762,755,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1332665,1245,643496,1200,497790,1276,47238,3449,450552,3774,145706,517,57618,2913,88088,2999,689169,547,504985,903,7091,1699,497894,1924,184184,646,1371,513,182813,899,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
