GEO_ID,C17023_001E,C17023_001M,C17023_002E,C17023_002M,C17023_003E,C17023_003M,C17023_004E,C17023_004M,C17023_005E,C17023_005M,C17023_006E,C17023_006M,C17023_007E,C17023_007M,C17023_008E,C17023_008M,C17023_009E,C17023_009M,C17023_010E,C17023_010M,C17023_011E,C17023_011M,C17023_012E,C17023_012M,C17023_013E,C17023_013M,C17023_014E,C17023_014M,C17023_015E,C17023_015M,C17023_016E,C17023_016M,C17023_017E,C17023_017M,C17023_018E,C17023_018M,C17023_019E,C17023_019M,C17023_020E,C17023_020M,C17023_021E,C17023_021M,C17023_022E,C17023_022M,C17023_023E,C17023_023M,NAME,C17023_001EA,C17023_001MA,C17023_002MA,C17023_002EA,C17023_003EA,C17023_003MA,C17023_004EA,C17023_004MA,C17023_005MA,C17023_005EA,C17023_006EA,C17023_006MA,C17023_007MA,C17023_007EA,C17023_008EA,C17023_008MA,C17023_009EA,C17023_009MA,C17023_010EA,C17023_010MA,C17023_011MA,C17023_011EA,C17023_012EA,C17023_012MA,C17023_013EA,C17023_013MA,C17023_014EA,C17023_014MA,C17023_015EA,C17023_015MA,C17023_016MA,C17023_016EA,C17023_017EA,C17023_017MA,C17023_018EA,C17023_018MA,C17023_019EA,C17023_019MA,C17023_020MA,C17023_020EA,C17023_021EA,C17023_021MA,C17023_022MA,C17023_022EA,C17023_023EA,C17023_023MA,state
0400000US01,1203689,13513,154370,6386,46628,2879,24892,2324,21736,2456,107742,5689,12997,1904,5803,1350,7194,1575,94745,5195,24996,2674,69749,4969,1049319,13531,810346,11402,536657,9272,273689,7747,238973,8210,64559,3977,40220,3322,24339,2656,174414,6972,100784,5387,73630,5196,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5212,876,1982,398,3230,852,7176,1230,2056,670,322,87,1734,667,5120,1123,924,301,4196,1071,155013,3917,118613,4050,66420,2733,52193,2987,36400,2549,12946,1688,6530,1268,6416,1173,23454,2079,11051,1443,12403,1956,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,74404,4198,35680,2629,38724,3266,101658,5296,21609,2410,8341,1805,13268,1885,80049,4515,20416,2282,59633,4222,1476263,14537,1132114,14104,735883,10981,396231,9781,344149,9644,116465,6113,64959,4133,51506,4429,227684,7610,124390,5328,103294,5838,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31694,2922,14406,1706,17288,2359,56196,3862,8966,1471,3273,900,5693,1168,47230,3488,11849,1811,35381,3213,666809,11484,521158,9536,334847,6539,186311,6662,145651,6741,44835,3793,23449,2460,21386,2897,100816,5019,54825,3778,45991,3673,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,373259,9802,147214,5854,226045,7505,484808,12165,98151,5701,38523,3377,59628,4239,386657,9764,98040,5579,288617,8966,8052550,26039,6073706,28866,3556337,22988,2517369,21436,1978844,20951,675061,15412,399835,11877,275226,9019,1303783,17677,790837,14296,512946,12297,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,38461,3259,18060,1959,20401,2689,53499,4065,9483,1794,3944,1170,5539,1377,44016,3823,11061,1871,32955,3365,1274847,10110,1023853,11173,615504,9334,408349,8308,250994,6370,91058,4575,44550,4179,46508,3401,159936,5822,84928,4176,75008,4036,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,17623,1988,9284,1609,8339,1347,38133,3858,5613,1375,1859,725,3754,1056,32520,3518,7806,1516,24714,3156,821537,8644,631938,8173,391953,6731,239985,5519,189599,7241,55704,3805,31469,3170,24235,2715,133895,5727,73839,4839,60056,3831,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,9611,1790,5243,1314,4368,1207,12054,1765,2402,945,926,682,1476,660,9652,1519,2931,970,6721,1205,214130,5465,167336,5179,113645,4133,53691,3485,46794,3453,14114,1743,7593,1335,6521,1341,32680,3052,17673,2010,15007,2140,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2406,868,1149,579,1257,685,13523,1678,1628,658,754,516,874,413,11895,1619,4042,922,7853,1445,103428,3668,68170,3209,42427,2701,25743,1987,35258,2731,8363,1370,5358,1170,3005,846,26895,2298,17529,1994,9366,1521,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,213722,7908,118617,6061,95105,5571,285307,9019,50716,3727,19919,2310,30797,3286,234591,8437,63757,4362,170834,7616,4444477,28838,3374573,27825,2305887,19361,1068686,19060,1069904,19401,326912,10597,189841,8292,137071,8017,742992,15642,444167,11699,298825,10287,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
