GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001MA,B25081_001EA,B25081_002EA,B25081_002MA,B25081_003EA,B25081_003MA,B25081_004MA,B25081_004EA,B25081_005EA,B25081_005MA,B25081_006MA,B25081_006EA,B25081_007MA,B25081_007EA,B25081_008EA,B25081_008MA,state
0400000US01,1253199,12678,706185,12254,75725,4032,19035,2526,56690,3270,1302,422,629158,11571,547014,10244,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,102297,3493,8092,1447,2222,765,5870,1221,353,212,93852,3908,57047,2852,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,1064351,11053,98283,4455,23164,2313,75119,3509,3130,909,962938,11554,587970,9396,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,416168,10084,25376,2219,8099,1174,17277,1837,1413,569,389379,10022,336231,7826,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,5026144,24796,684653,12171,140742,5940,543911,10368,27618,2757,4313873,26037,2098946,18787,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,994409,10836,136833,4903,27999,2274,108834,4590,4241,1106,853335,11058,400415,7760,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,611242,8820,109972,4740,18569,2040,91403,4183,4291,1114,496979,8567,286992,5911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,164071,5348,23980,1951,4619,918,19361,1852,683,361,139408,4763,89877,3601,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,90270,3334,14860,1514,2097,475,12763,1389,537,286,74873,3340,28535,2032,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,2850011,25547,316132,8069,67785,4144,248347,7176,10636,1783,2523243,24293,2160176,20634,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2354922,19925,1529558,18602,169535,7055,45894,3886,123641,5787,5329,1309,1354694,17691,825364,11595,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,268078,4714,172214,4524,31629,2338,4291,980,27338,2203,1532,489,139053,4650,95864,3693,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,435493,6933,280297,6541,32866,3127,10403,1667,22463,2484,684,408,246747,6356,155196,5564,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3182232,18239,2007439,17715,256830,6595,48123,2990,208707,5610,8440,1597,1742169,17878,1174793,12243,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1765500,14956,1156805,14021,142016,5038,27640,2598,114376,4543,4978,1345,1009811,13777,608695,10157,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,900362,9741,554182,8106,74009,3613,18342,2043,55667,3067,3264,690,476909,8253,346180,7299,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,743508,8948,438620,8776,44446,2817,8637,1443,35809,2951,1497,539,392677,8097,304888,6701,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1146668,12735,667936,11058,86783,3844,15489,1747,71294,3575,2821,789,578332,10456,478732,9559,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1132229,12824,596545,11143,48683,3422,12609,1669,36074,2707,1955,731,545907,11439,535684,8994,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
