GEO_ID,B18102_001E,B18102_001M,B18102_002E,B18102_002M,B18102_003E,B18102_003M,B18102_004E,B18102_004M,B18102_005E,B18102_005M,B18102_006E,B18102_006M,B18102_007E,B18102_007M,B18102_008E,B18102_008M,B18102_009E,B18102_009M,B18102_010E,B18102_010M,B18102_011E,B18102_011M,B18102_012E,B18102_012M,B18102_013E,B18102_013M,B18102_014E,B18102_014M,B18102_015E,B18102_015M,B18102_016E,B18102_016M,B18102_017E,B18102_017M,B18102_018E,B18102_018M,B18102_019E,B18102_019M,B18102_020E,B18102_020M,B18102_021E,B18102_021M,B18102_022E,B18102_022M,B18102_023E,B18102_023M,B18102_024E,B18102_024M,B18102_025E,B18102_025M,B18102_026E,B18102_026M,B18102_027E,B18102_027M,B18102_028E,B18102_028M,B18102_029E,B18102_029M,B18102_030E,B18102_030M,B18102_031E,B18102_031M,B18102_032E,B18102_032M,B18102_033E,B18102_033M,B18102_034E,B18102_034M,B18102_035E,B18102_035M,B18102_036E,B18102_036M,B18102_037E,B18102_037M,B18102_038E,B18102_038M,B18102_039E,B18102_039M,NAME,B18102_001EA,B18102_001MA,B18102_002EA,B18102_002MA,B18102_003EA,B18102_003MA,B18102_004EA,B18102_004MA,B18102_005MA,B18102_005EA,B18102_006MA,B18102_006EA,B18102_007EA,B18102_007MA,B18102_008MA,B18102_008EA,B18102_009EA,B18102_009MA,B18102_010MA,B18102_010EA,B18102_011MA,B18102_011EA,B18102_012EA,B18102_012MA,B18102_013EA,B18102_013MA,B18102_014EA,B18102_014MA,B18102_015EA,B18102_015MA,B18102_016MA,B18102_016EA,B18102_017MA,B18102_017EA,B18102_018MA,B18102_018EA,B18102_019MA,B18102_019EA,B18102_020EA,B18102_020MA,B18102_021MA,B18102_021EA,B18102_022MA,B18102_022EA,B18102_023MA,B18102_023EA,B18102_024MA,B18102_024EA,B18102_025EA,B18102_025MA,B18102_026EA,B18102_026MA,B18102_027MA,B18102_027EA,B18102_028MA,B18102_028EA,B18102_029MA,B18102_029EA,B18102_030MA,B18102_030EA,B18102_031EA,B18102_031MA,B18102_032MA,B18102_032EA,B18102_033MA,B18102_033EA,B18102_034MA,B18102_034EA,B18102_035MA,B18102_035EA,B18102_036EA,B18102_036MA,B18102_037EA,B18102_037MA,B18102_038EA,B18102_038MA,B18102_039MA,B18102_039EA,state
0400000US30,1036245,559,516864,2153,31592,1010,213,266,31379,984,84162,1520,420,242,83742,1544,115478,1303,1839,780,113639,1518,196176,1866,11227,1622,184949,2361,56707,639,10140,1117,46567,1225,32749,937,11528,1246,21221,1347,519381,2172,29813,1009,0,174,29813,1009,83261,1534,892,479,82369,1537,110365,1475,822,539,109543,1643,200419,1720,3857,832,196562,1889,56167,792,2704,692,53463,1020,39356,693,8174,1159,31182,1283,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1891453,931,942886,2799,67921,1423,127,145,67794,1402,175219,1891,1314,670,173905,2059,220836,2077,2471,690,218365,2224,349608,2093,13759,1569,335849,2419,80363,1016,13369,1433,66994,1622,48939,913,15199,1156,33740,1445,948567,2827,63723,1403,40,48,63683,1399,166521,1811,769,484,165752,1918,216864,1736,1458,620,215406,1816,348464,1790,7232,1145,341232,2131,86203,841,5173,837,81030,1257,66792,907,11714,1356,55078,1564,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2962236,1424,1477770,2694,94073,1375,410,393,93663,1448,256913,1463,1070,523,255843,1444,339294,1839,4947,1110,334347,1919,572032,2096,20808,2462,551224,3114,137509,1258,21384,2296,116125,2416,77949,776,19874,1786,58075,1809,1484466,2711,89982,1241,570,428,89412,1256,242166,1418,909,444,241257,1426,331973,1789,2883,935,329090,2005,581319,1953,13558,2004,567761,2916,147484,850,8326,1344,139158,1524,91542,721,17374,2127,74168,2236,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1325016,952,654960,2444,33146,711,225,204,32921,723,100039,1308,990,622,99049,1511,144400,1822,1102,608,143298,1930,272444,1759,10780,1849,261664,2370,68294,700,8814,1229,59480,1435,36637,649,11285,1433,25352,1412,670056,2278,30377,835,69,111,30308,840,94211,1163,429,322,93782,1190,141228,1522,1197,736,140031,1706,281792,1615,5229,1123,276563,1915,72515,867,4631,899,67884,1092,49933,846,11100,1708,38833,1922,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8902432,1561,4327369,3265,264596,1615,1249,620,263347,1668,741495,2307,2356,837,739139,2466,971103,2825,5833,1303,965270,2913,1755778,2920,33268,3490,1722510,3642,361658,1769,27192,2522,334466,2757,232739,2061,48398,2786,184341,3373,4575063,2882,255765,1679,571,435,255194,1670,711902,1754,2877,917,709025,1961,956329,1769,4853,1090,951476,1888,1868063,2053,23630,2557,1844433,3375,429944,1836,16075,2088,413869,2765,353060,2008,55378,3381,297682,3518,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,2054301,1433,1007766,4136,64752,2391,865,639,63887,2519,183309,2482,1815,709,181494,2643,233689,2796,2577,786,231112,2861,368876,3363,21267,2244,347609,3587,98092,1469,15351,1616,82741,2173,59048,1219,21759,2364,37289,2327,1046535,3992,61675,2588,849,565,60826,2533,179066,2360,1486,757,177580,2343,231760,2010,2815,1076,228945,2309,386333,2556,10916,1985,375417,2763,112183,1591,8802,1458,103381,2210,75518,1425,18338,2036,57180,2306,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,19608066,2106,9476188,5651,593162,2656,2747,854,590415,2645,1521330,3437,8865,1753,1512465,3803,2350252,4519,18500,2536,2331752,5175,3692600,4856,85292,3907,3607308,6252,803469,2204,66245,3927,737224,4170,515375,1999,113321,4938,402054,5413,10131878,5438,564435,2690,3049,994,561386,2668,1464305,3400,7149,1454,1457156,3545,2385306,3782,12301,1982,2373005,3939,3970144,3895,59679,3929,3910465,5463,958355,2671,42541,3418,915814,4038,789333,2843,127779,4884,661554,5556,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,10070781,3392,4844279,7906,305467,4414,1536,965,303931,4531,870222,4945,3705,1161,866517,5063,1086514,6056,14405,2794,1072109,6321,1882594,6405,63778,4870,1818816,7575,448940,3100,61094,3749,387846,4664,250542,2131,71221,3249,179321,3618,5226502,7234,295637,4009,840,578,294797,3924,826243,4498,4030,1108,822213,4483,1144986,6011,8783,1701,1136203,5301,2069857,5843,43625,3575,2026232,6977,530018,3692,34556,2790,495462,4285,359761,2678,70758,3775,289003,4207,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,738177,1431,377790,2426,27657,1237,186,198,27471,1234,61302,1595,624,290,60678,1603,103668,2130,696,347,102972,2144,136112,1883,6539,1148,129573,2165,30287,380,4368,685,25919,760,18764,340,5711,760,13053,802,360387,2049,25145,1039,0,161,25145,1039,58757,1694,217,213,58540,1751,89909,1786,424,220,89485,1808,129031,1609,2025,632,127006,1513,30484,821,1262,350,29222,916,27061,522,4987,798,22074,967,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,11485078,1447,5600497,6227,354428,3006,1783,778,352645,3048,973864,3303,8140,1573,965724,3733,1276615,4722,12494,2176,1264121,4628,2170730,4843,79950,4254,2090780,6635,513843,2014,63569,3532,450274,3904,311017,2079,85125,3460,225892,3512,5884581,5958,340702,2431,736,575,339966,2489,929058,3406,6661,1467,922397,3481,1281333,3575,10335,1750,1270998,3964,2288160,4206,52123,3651,2236037,5549,587343,2663,32578,2595,554765,3529,457985,3172,84920,4436,373065,4613,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
