C07001_043M,C07001_044E,C07001_044M,C07001_045E,C07001_045M,C07001_046E,C07001_046M,C07001_047E,C07001_047M,C07001_048E,C07001_048M,C07001_049E,C07001_049M,C07001_050E,C07001_050M,C07001_051E,C07001_051M,C07001_052E,C07001_052M,C07001_053E,C07001_053M,C07001_054E,C07001_054M,C07001_055E,C07001_055M,C07001_056E,C07001_056M,C07001_057E,C07001_057M,C07001_058E,C07001_058M,C07001_059E,C07001_059M,C07001_060E,C07001_060M,GEO_ID,C07001_001E,C07001_001M,C07001_002E,C07001_002M,C07001_003E,C07001_003M,C07001_004E,C07001_004M,C07001_005E,C07001_005M,C07001_006E,C07001_006M,C07001_007E,C07001_007M,C07001_008E,C07001_008M,C07001_009E,C07001_009M,C07001_010E,C07001_010M,C07001_011E,C07001_011M,C07001_012E,C07001_012M,C07001_013E,C07001_013M,C07001_014E,C07001_014M,C07001_015E,C07001_015M,C07001_016E,C07001_016M,C07001_017E,C07001_017M,C07001_018E,C07001_018M,C07001_019E,C07001_019M,C07001_020E,C07001_020M,C07001_021E,C07001_021M,C07001_022E,C07001_022M,C07001_023E,C07001_023M,C07001_024E,C07001_024M,C07001_025E,C07001_025M,C07001_026E,C07001_026M,C07001_027E,C07001_027M,C07001_028E,C07001_028M,C07001_029E,C07001_029M,C07001_030E,C07001_030M,C07001_031E,C07001_031M,C07001_032E,C07001_032M,C07001_033E,C07001_033M,C07001_034E,C07001_034M,C07001_035E,C07001_035M,C07001_036E,C07001_036M,C07001_037E,C07001_037M,C07001_038E,C07001_038M,C07001_039E,C07001_039M,C07001_040E,C07001_040M,C07001_041E,C07001_041M,C07001_042E,C07001_042M,C07001_043E,C07001_043MA,C07001_044EA,C07001_044MA,C07001_045EA,C07001_045MA,C07001_046EA,C07001_046MA,C07001_047MA,C07001_047EA,C07001_048MA,C07001_048EA,C07001_049MA,C07001_049EA,C07001_050EA,C07001_050MA,C07001_051EA,C07001_051MA,C07001_052MA,C07001_052EA,C07001_053MA,C07001_053EA,C07001_054MA,C07001_054EA,C07001_055EA,C07001_055MA,C07001_056EA,C07001_056MA,C07001_057EA,C07001_057MA,C07001_058MA,C07001_058EA,C07001_059MA,C07001_059EA,C07001_060MA,C07001_060EA,NAME,C07001_001EA,C07001_001MA,C07001_002EA,C07001_002MA,C07001_003MA,C07001_003EA,C07001_004MA,C07001_004EA,C07001_005MA,C07001_005EA,C07001_006EA,C07001_006MA,C07001_007EA,C07001_007MA,C07001_008MA,C07001_008EA,C07001_009MA,C07001_009EA,C07001_010MA,C07001_010EA,C07001_011EA,C07001_011MA,C07001_012EA,C07001_012MA,C07001_013MA,C07001_013EA,C07001_014MA,C07001_014EA,C07001_015MA,C07001_015EA,C07001_016MA,C07001_016EA,C07001_017EA,C07001_017MA,C07001_018EA,C07001_018MA,C07001_019EA,C07001_019MA,C07001_020EA,C07001_020MA,C07001_021MA,C07001_021EA,C07001_022EA,C07001_022MA,C07001_023MA,C07001_023EA,C07001_024MA,C07001_024EA,C07001_025MA,C07001_025EA,C07001_026MA,C07001_026EA,C07001_027MA,C07001_027EA,C07001_028EA,C07001_028MA,C07001_029EA,C07001_029MA,C07001_030EA,C07001_030MA,C07001_031MA,C07001_031EA,C07001_032MA,C07001_032EA,C07001_033MA,C07001_033EA,C07001_034MA,C07001_034EA,C07001_035MA,C07001_035EA,C07001_036MA,C07001_036EA,C07001_037MA,C07001_037EA,C07001_038EA,C07001_038MA,C07001_039EA,C07001_039MA,C07001_040EA,C07001_040MA,C07001_041MA,C07001_041EA,C07001_042MA,C07001_042EA,C07001_043EA,state
3359,24530,2454,24466,3478,13362,2174,10204,1831,10609,1461,3558,976,2249,722,13667,2273,708,497,1727,605,2119,738,2731,888,2355,1252,1340,621,1008,449,964,547,715,443,0400000US01,4819343,3710,233493,3845,805164,2907,471079,5556,628878,5391,596006,4975,630330,5020,651177,2788,480913,3308,322303,2424,4158224,20321,188696,4323,693494,8156,345122,8813,490028,9438,509746,6888,568942,6577,602316,4803,457160,4142,302720,3131,387796,17237,30243,3204,74452,6357,62109,5346,79514,5670,50949,5146,35923,3614,28304,3419,14691,2124,11611,1959,147853,8260,7424,1476,19088,2897,37199,3703,32139,3209,19594,2620,13921,2254,8940,1977,4540,1010,5008,1615,111803,8786,6422,1365,16403,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1397,6733,1450,7997,1515,3820,1226,2834,965,1793,563,349,244,404,289,6703,2197,544,410,1225,732,1106,770,1811,852,1151,630,155,185,663,565,48,81,0,153,0400000US02,730874,1438,43998,1487,132262,851,73053,2182,118149,2355,97124,2737,89052,2406,94195,1291,56838,1340,26203,900,595804,9147,32365,2026,110800,3298,49100,2660,81680,3578,78697,3170,77910,2570,86511,1651,53779,1629,24962,918,81244,8051,6513,1398,14705,2918,12778,2096,22825,2979,11956,2425,6008,1406,3992,1005,1977,844,490,368,16924,2747,1797,843,2042,682,3336,1055,3836,1061,1500,445,2145,923,1236,626,685,406,347,308,30199,4584,2779,1227,3490,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4484,43248,4260,48847,4014,30307,3862,23188,3216,34409,4245,23717,2422,13967,2029,45322,5364,2409,784,5206,1490,7239,1871,10232,2278,4786,1371,3519,1194,5623,1560,4890,1247,1418,568,0400000US04,6935358,3888,354129,3975,1197687,1702,672180,2391,953327,3874,859457,3277,850441,3004,847287,1453,701165,1746,499685,1863,5717189,24333,271077,5800,1014617,9259,460001,8567,688805,9839,714798,7372,734457,6570,743599,6715,633408,5303,456427,3960,782513,20899,58492,4825,132125,8104,132377,7630,177470,8075,93368,5124,78176,4923,53380,4846,32664,3205,24461,3134,128607,9918,8716,2220,15130,3085,29315,3200,27973,3306,16198,2378,11101,1713,10276,1795,6486,1914,3412,1216,261727,11986,13435,2744,30609,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2689,17910,2480,14284,2298,9958,2073,7897,1698,7040,1363,4816,976,1153,586,8958,2034,311,317,1520,668,1666,680,1883,937,1290,886,515,448,561,354,726,329,486,388,0400000US05,2968395,3103,150756,3484,521793,2863,287448,4285,382786,5275,370996,4281,375887,3898,381705,2381,291595,2927,205429,1859,2509717,16654,119747,4233,447993,6584,191766,6458,291152,6536,312038,6181,334416,4907,350268,3502,271021,3313,191316,2324,253819,13710,18960,2629,48242,6041,45871,4186,52956,4878,32442,4057,20667,2479,16382,2140,10018,1537,8281,1391,116490,8062,7302,1724,12121,2032,30235,3447,22511,2598,15268,2210,12392,2309,7454,1396,5014,1161,4193,911,79411,7492,4436,1037,11917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6414,112349,5871,152694,6635,67092,5408,40316,3963,31534,3585,20732,2493,14296,2254,318752,16837,17612,2669,46287,5463,46515,4425,85536,6142,43280,5188,26207,3964,25234,2554,18373,2401,9708,1797,0400000US06,39085984,10045,2009756,10267,6596961,4022,3799994,5436,6018225,6521,5232877,5306,5159747,5266,4763607,3694,3198555,3468,2306262,3150,34009331,68358,1694094,14620,5887305,22351,2934498,17743,4711442,22636,4527091,17908,4682103,16637,4404072,12217,3010721,8882,2158005,7596,3153923,52596,210550,8944,496026,17235,469576,15671,790796,17440,449441,14910,316695,10611,220124,9763,106653,5962,94062,5701,1080847,29010,59173,5331,111552,9868,237056,8595,277757,10199,145973,8356,94426,6574,82643,6047,42076,3954,30191,3160,523131,20053,28327,3884,55791,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
4419,47950,4404,62291,5357,31033,3565,19829,2501,14965,1985,7387,1509,4013,1102,34438,5150,1226,550,5016,1755,7986,1722,7328,1465,5580,1673,2419,907,2650,1120,1301,647,932,511,0400000US08,5542282,3414,267721,3796,929766,2406,522727,3703,867170,4547,762156,3967,714756,3742,704287,2084,481344,2345,292355,2023,4546729,22932,212149,4633,794499,8180,326451,7664,601207,8855,625089,7653,629202,6701,638554,4991,451658,3151,267920,2849,456750,17287,29178,2837,72947,5587,83077,5975,114954,6298,64009,4814,39868,4186,28097,3199,11565,1589,13055,1950,277432,11203,13563,2279,29444,3824,57263,4250,81390,4959,36445,3443,23438,2955,20021,2625,9433,1542,6435,1332,226933,11475,11605,1601,27860,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2019,19775,2515,25050,3351,8502,1616,6966,1699,4484,1192,2873,1066,2750,1087,24580,4479,1066,630,4035,1686,3932,1255,5360,1508,3966,1484,2557,863,1695,733,1379,740,590,375,0400000US09,3556297,2701,150307,2854,560084,1205,352052,1664,444141,2581,421380,1995,515325,2301,511914,1357,339078,1559,262016,1151,3136666,16246,125233,3563,502299,5348,276798,5791,341250,5656,368166,4795,472565,4173,483162,3212,322867,2558,244326,2916,243216,12272,15859,2252,38549,4400,34789,3596,56308,4950,31838,3255,25244,2838,18506,2409,9838,1681,12285,2086,68510,6358,3137,1249,7288,1793,16758,2774,16173,2139,8908,1673,7993,1767,4067,978,2121,860,2065,937,83325,6561,5012,1239,7913,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1321,9438,1785,7766,1965,4050,1208,2848,912,4480,1003,2632,684,1609,644,4014,1272,20,34,171,197,1000,542,359,300,197,171,157,137,875,634,422,358,813,415,0400000US10,952449,1698,45417,1791,149406,450,83940,1284,130949,2190,111068,1834,124532,1461,133920,841,104358,830,68859,843,830905,8792,37602,2417,132750,2727,59930,3305,106056,3560,96655,2833,113695,2658,122151,2107,98361,1336,63705,1264,68559,6552,5394,1489,10603,2312,11685,2623,14207,2171,9096,1566,6772,1478,5981,1761,2427,839,2394,726,10439,3028,573,479,2001,1149,1887,684,2561,1203,1070,1113,1060,629,433,386,516,287,338,373,38532,4552,1828,779,3881,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1202,20646,2534,20354,2600,5367,1413,2190,754,2138,782,1392,698,837,461,10341,2210,646,593,343,345,2295,750,4439,1216,1220,651,699,380,699,576,0,208,0,208,0400000US11,684810,1664,35903,1648,79533,173,74760,213,162354,236,102128,330,76277,312,69863,6,48189,533,35803,627,554225,7670,31385,1943,72273,1877,40672,2840,114169,3607,86883,2161,68151,1505,63272,1428,43875,1161,33545,938,64013,6510,2819,1273,4663,1558,11147,2361,23392,2831,8658,1423,5237,1210,3754,1136,2922,980,1421,591,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,0,208,56231,4393,1053,580,2254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
5489,75234,5614,102413,7785,62055,5120,61820,4435,75863,5781,64812,5074,39341,4189,249166,15822,12463,2473,44016,5876,27274,3301,45953,4745,43747,4967,23028,3540,21492,3565,21712,3454,9481,1862,0400000US12,20772371,8045,917293,9292,3071458,4585,1763443,7379,2707837,8752,2535767,7857,2761337,6965,2800004,5304,2344869,4757,1870363,4275,17554348,46036,736096,12277,2611024,16012,1320400,15290,2048995,16211,2110116,15075,2403940,13942,2484164,11821,2128996,11092,1710617,7991,1746306,41479,109914,7434,282777,14221,218321,10605,363829,12205,231720,11327,203574,8820,158830,8997,91366,6459,85975,4948,656075,21858,32579,3849,74944,6668,122214,6867,146647,9338,88129,6595,68975,7513,59655,5656,37983,3431,24949,3652,566476,18973,26241,4324,58697,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
