GEO_ID,B11009_001E,B11009_001M,B11009_002E,B11009_002M,B11009_003E,B11009_003M,B11009_004E,B11009_004M,B11009_005E,B11009_005M,B11009_006E,B11009_006M,B11009_007E,B11009_007M,NAME,B11009_001MA,B11009_001EA,B11009_002EA,B11009_002MA,B11009_003MA,B11009_003EA,B11009_004MA,B11009_004EA,B11009_005MA,B11009_005EA,B11009_006EA,B11009_006MA,B11009_007EA,B11009_007MA,state
0400000US01,1841665,12421,75931,4581,1875,603,39307,3244,1787,729,32962,3550,1765734,12371,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,19698,2356,75,93,8878,1495,215,158,10530,1806,231043,3635,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,178117,6198,4524,982,82671,4459,6134,1207,84788,4511,2374855,11209,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,64250,3988,1032,583,31073,3173,1415,588,30730,2987,1088832,8086,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,857754,14054,28944,2172,416417,10234,20487,2308,391906,9622,12147343,22841,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,134291,5165,5235,1375,62537,3311,4192,1059,62327,3893,2004916,9557,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,84762,5132,2164,748,39954,3856,1906,638,40738,2931,1272000,6907,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,22332,2630,527,266,9994,1755,704,426,11107,1777,335605,4382,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,17363,1734,2994,715,7361,1169,586,254,6422,1123,264112,3877,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,500417,13406,14820,1539,240977,9170,10810,1664,233810,8112,7189547,24048,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3745074,16431,196032,7801,6271,1190,93378,5686,6103,1413,90280,5637,3549042,19097,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,458078,4221,25229,2524,956,455,10506,1825,796,439,12971,1516,432849,4576,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,625135,5980,32919,2863,414,364,16815,2089,466,315,15224,1921,592216,6174,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4808672,14430,278956,8068,8260,1356,135374,5578,4695,976,130627,6245,4529716,14614,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2557299,10669,170509,6239,3369,877,85588,5229,4428,1176,77124,4926,2386790,10597,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1257505,6773,86360,4442,1391,643,45974,3062,1860,649,37135,3051,1171145,7378,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
