GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001MA,B19126_001EA,B19126_002MA,B19126_002EA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005MA,B19126_005EA,B19126_006MA,B19126_006EA,B19126_007EA,B19126_007MA,B19126_008EA,B19126_008MA,B19126_009EA,B19126_009MA,B19126_010MA,B19126_010EA,B19126_011MA,B19126_011EA,state
0400000US01,61512,726,76606,1236,84734,2275,72015,1209,31501,877,42782,2932,37067,3034,47379,3638,28528,1450,21201,1187,37613,1720,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86831,2820,101562,2545,100499,5023,102628,3731,52137,3412,63172,6235,53554,9761,70059,7960,48332,7359,35232,6312,57760,7778,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,67886,759,80427,982,85782,2131,76984,1101,41077,921,47631,2478,40952,1949,52698,2702,38167,1580,29359,1764,50572,1710,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57421,1216,69790,1582,75914,2210,65948,1465,32237,1002,41482,3335,36002,3740,47231,3292,29957,1282,24804,1586,37822,2644,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,82009,339,99515,624,101026,483,97911,770,48211,670,56609,1134,47637,1710,64177,1599,44150,741,31567,574,57520,927,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,84918,1121,97433,1170,101844,1245,94343,1751,48952,1242,61700,2390,55273,6621,67122,5260,44365,1750,34937,2266,54912,2767,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,93870,1823,112411,1769,122525,3968,106268,2041,47882,2257,62120,6816,51455,4636,71044,5757,44133,1696,32837,2178,57332,3752,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77082,2857,90405,2095,98600,5739,87100,3027,42252,3569,49499,5402,43812,8215,52166,4531,37371,5341,31075,1791,55084,5270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,106528,4406,170210,9916,187764,11935,157478,8209,46773,6288,66630,15307,53924,18125,79833,19886,42416,8386,23528,3913,59297,10794,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,64003,508,76248,447,82041,1006,73518,702,39687,623,46863,1281,40370,1001,53466,1728,36814,573,27874,957,46721,1282,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,67983,976,83573,1193,90104,1887,80086,1064,36987,751,49730,1953,41006,1947,56354,3664,33788,970,27467,1205,42280,1380,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,91460,1555,101560,2534,103541,4665,100431,3012,61150,3069,73897,5066,56772,10751,82129,8360,53533,3083,35901,6164,70698,7380,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,64178,1252,70842,1832,75263,3130,68280,2076,35540,2053,50028,5688,36034,6436,62858,3484,31439,1574,25962,1758,41668,6136,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,79168,702,94675,863,100936,782,90604,806,42289,753,51804,1150,41843,2064,62182,2599,38916,1311,28327,1662,51497,1392,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,68085,763,80624,560,89198,1529,75202,943,36821,931,48852,2584,42814,3864,53347,2617,33060,1234,25639,1224,45408,1844,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,75076,976,85309,995,94591,1896,79315,1403,39057,1411,46596,2687,43368,3147,56123,7797,35771,1485,28924,2562,48165,2991,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,72057,917,82913,1309,88524,1955,79591,1725,38841,1852,50537,2609,45309,3211,55650,4143,34371,2496,26926,1115,46447,1904,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,61593,809,74078,1122,83847,1964,68055,1236,33665,1336,42061,1948,37434,4585,48641,4086,30208,1169,22994,1613,39735,1939,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,60510,868,78706,1773,91725,2330,71739,1513,29898,1082,42594,3256,40511,3560,47154,4090,26725,875,20951,986,37122,2998,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,72177,1780,80702,1923,92172,3260,75030,1697,41876,1668,47785,6215,40392,3006,57555,7194,40609,2347,29838,3628,51934,3511,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,98393,858,117255,1533,125988,2230,111616,1503,56189,1712,66746,3658,52355,5913,79301,6232,52458,1860,38867,1969,65824,2285,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
