GEO_ID,C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,NAME,C27001A_001EA,C27001A_001MA,C27001A_002MA,C27001A_002EA,C27001A_003EA,C27001A_003MA,C27001A_004EA,C27001A_004MA,C27001A_005MA,C27001A_005EA,C27001A_006MA,C27001A_006EA,C27001A_007EA,C27001A_007MA,C27001A_008EA,C27001A_008MA,C27001A_009EA,C27001A_009MA,C27001A_010MA,C27001A_010EA,state
0400000US01,3267947,7672,728644,5379,709192,6104,19452,2740,1923990,6125,1677163,12891,246827,11803,615313,2124,614196,2151,1117,517,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459917,3458,103579,1947,97730,2161,5849,1260,294814,2437,256294,4197,38520,3716,61524,553,61363,573,161,107,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5373114,25124,1233049,13896,1146991,13888,86058,7538,3071000,14683,2678700,16321,392300,11993,1069065,2804,1063688,2978,5377,1332,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2255030,7223,520041,5256,500197,5376,19844,3142,1315830,4949,1180071,7478,135759,6497,419159,1580,418343,1525,816,419,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22897505,67659,5195158,30177,5038637,31367,156521,9856,13939322,41704,12634893,39615,1304429,21300,3763025,10227,3736972,10449,26053,3120,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4646996,13930,1064362,8004,1018383,9578,45979,4730,2891714,8561,2609553,10185,282161,9761,690920,2605,687306,2663,3614,1377,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2687935,12719,542776,6178,527887,6571,14889,3072,1633560,8684,1531439,9983,102121,8076,511599,2605,509921,2755,1678,750,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,653996,4133,132998,2647,127433,2804,5565,1850,382120,2900,353157,4272,28963,3680,138878,908,138538,927,340,226,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281457,4755,38434,2378,38051,2449,383,326,212879,3238,207245,3275,5634,1552,30144,840,29797,868,347,351,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15581781,33220,2973779,14808,2759857,17694,213922,11887,8990754,22170,7348128,35936,1642626,30804,3617248,7535,3583700,8050,33548,4104,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6029383,19789,1409679,10271,1311923,12135,97756,7235,3622810,13729,3009417,18089,613393,16294,996894,2861,991854,3075,5040,1418,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,325117,4798,57714,2826,56544,2929,1170,551,197633,3244,184698,3804,12935,2365,69770,724,69609,740,161,125,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
