GEO_ID,C27001_001E,C27001_001M,C27001_002E,C27001_002M,C27001_003E,C27001_003M,C27001_004E,C27001_004M,C27001_005E,C27001_005M,C27001_006E,C27001_006M,C27001_007E,C27001_007M,C27001_008E,C27001_008M,C27001_009E,C27001_009M,C27001_010E,C27001_010M,C27001_011E,C27001_011M,C27001_012E,C27001_012M,C27001_013E,C27001_013M,C27001_014E,C27001_014M,C27001_015E,C27001_015M,C27001_016E,C27001_016M,C27001_017E,C27001_017M,C27001_018E,C27001_018M,C27001_019E,C27001_019M,C27001_020E,C27001_020M,C27001_021E,C27001_021M,NAME,C27001_001EA,C27001_001MA,C27001_002EA,C27001_002MA,C27001_003MA,C27001_003EA,C27001_004MA,C27001_004EA,C27001_005EA,C27001_005MA,C27001_006EA,C27001_006MA,C27001_007EA,C27001_007MA,C27001_008MA,C27001_008EA,C27001_009MA,C27001_009EA,C27001_010EA,C27001_010MA,C27001_011MA,C27001_011EA,C27001_012EA,C27001_012MA,C27001_013EA,C27001_013MA,C27001_014MA,C27001_014EA,C27001_015MA,C27001_015EA,C27001_016EA,C27001_016MA,C27001_017EA,C27001_017MA,C27001_018EA,C27001_018MA,C27001_019MA,C27001_019EA,C27001_020MA,C27001_020EA,C27001_021EA,C27001_021MA,state
0400000US01,4793512,2005,2300832,5674,596872,6090,577669,7016,19203,2781,1362854,4533,1141981,10241,220873,9966,341106,2341,339086,2327,2020,699,2492680,5724,572617,5779,555771,5992,16846,2783,1478253,5740,1289334,10487,188919,8262,441810,2129,440745,2189,1065,499,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,99960,2241,91796,2279,8164,1500,225192,2474,178359,3828,46833,3647,40962,697,40564,677,398,202,350064,2412,94423,2035,83865,2905,10558,2208,215091,1690,183832,2936,31259,2707,40550,840,39966,893,584,357,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,880537,4315,813334,6367,67203,5816,1968862,4663,1661379,10749,307483,9324,547828,1407,543372,1958,4456,1146,3510894,3887,848903,3593,782962,7025,65941,4966,2020797,3707,1776205,8446,244592,8666,641194,1474,636079,1768,5115,1194,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,387964,4417,368981,5443,18983,2979,838765,3166,726512,6911,112253,6009,215692,2050,215069,1980,623,399,1506884,4657,363830,4000,349413,4479,14417,2534,878427,3532,793525,6118,84902,4867,264627,2089,264003,2052,624,364,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,4880853,9401,4724492,10942,156361,7421,11982631,10162,10569831,23408,1412800,21409,2404335,3306,2378233,4224,26102,2509,19779016,6604,4686620,8614,4542349,11412,144271,7863,12086653,8516,11061070,18817,1025583,17308,3005743,4174,2974271,5344,31472,3342,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,684900,3979,653652,5017,31248,3460,1715478,3981,1514813,8577,200665,7818,347910,1649,345026,1925,2884,898,2765782,3756,649335,4154,623100,4967,26235,3319,1705586,3003,1555348,5927,150238,6063,410861,1605,408054,1740,2807,1207,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,406892,2742,393928,3836,12964,2390,1057211,3129,957882,6353,99329,6284,252876,1105,251070,1269,1806,856,1819543,2573,385989,2926,374597,4118,11392,2740,1106944,3169,1040876,6517,66068,5341,326610,1546,324373,1899,2237,1021,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,111791,1667,107183,2104,4608,1552,267044,1766,242620,3151,24424,2741,75626,668,75168,719,458,375,492798,1502,106682,1441,103645,1534,3037,1121,292611,1410,275039,2903,17572,2545,93505,702,92361,879,1144,619,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,66097,923,65038,1226,1059,648,222199,1191,206253,3254,15946,2970,32639,367,32535,371,104,136,362873,800,67538,1265,67022,1353,516,430,246490,1254,238490,1881,8000,1653,48845,453,48459,574,386,355,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,2266960,7051,2097101,11545,169859,9452,5886588,8016,4640508,27166,1246080,26350,1872603,3983,1852380,5085,20223,2856,10652553,6437,2183483,7531,2028482,10280,155001,9305,6194930,6660,5139051,20143,1055879,19352,2274140,3678,2245035,5013,29105,3426,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10241594,3158,4921118,8847,1355168,7631,1254788,9701,100380,6930,2969603,8067,2355691,15305,613912,14495,596347,2766,592476,2913,3871,1355,5320476,8017,1315709,8186,1216460,11083,99249,7233,3228978,6404,2677611,15491,551367,14805,775789,3089,769392,3503,6397,1658,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1373202,2427,671429,2782,165276,1492,162570,1562,2706,970,393147,2505,368993,3671,24154,2715,113006,690,112422,820,584,411,701773,1666,155673,1477,151341,1757,4332,1185,409679,1676,389330,3188,20349,2740,136421,856,135719,974,702,395,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1695273,1260,846431,2702,243008,2581,231786,3683,11222,2263,481054,3212,402676,5161,78378,4284,122369,1302,122105,1315,264,292,848842,2797,228731,2451,218316,2989,10415,1777,483942,3101,412581,6106,71361,5310,136169,1474,135796,1407,373,300,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12620126,1888,6173024,4831,1567510,5020,1519973,6096,47537,4420,3780427,5262,3358007,13321,422420,12848,825087,2607,817065,3275,8022,1711,6447102,4671,1501908,4833,1460096,6111,41812,3896,3888807,5441,3559425,12881,329382,11476,1056387,2578,1046303,3052,10084,1728,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6568434,898,3223272,5239,861532,5408,809467,7240,52065,4858,1923624,5306,1693375,9032,230249,8338,438116,2424,434981,2543,3135,1104,3345162,5188,808885,5046,755165,6524,53720,4735,1986730,5022,1792045,9058,194685,7683,549547,2637,547002,2841,2545,890,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3102179,690,1537348,3690,397302,3739,384870,4098,12432,2001,914884,3653,846768,5703,68116,4343,225162,1423,224092,1414,1070,689,1564831,3550,378627,3758,367015,4031,11612,1935,910883,3033,858924,4701,51959,3748,275321,1553,274493,1541,828,417,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
