GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001MA,B08503_001EA,B08503_002EA,B08503_002MA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005MA,B08503_005EA,B08503_006MA,B08503_006EA,B08503_007MA,B08503_007EA,state
0400000US01,41.9,0.3,42.2,0.3,37.3,1.1,37.6,5.7,31.8,4.4,37.6,4.1,47.7,1.5,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39.7,0.3,39.6,0.5,37.4,1.3,34.8,5.4,39.7,2.1,41.8,2.7,47.6,2.8,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40.7,0.2,41.0,0.2,36.9,0.6,35.8,2.4,30.4,2.0,36.9,1.3,48.8,0.7,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.6,0.3,42.1,0.4,36.6,1.0,40.6,8.2,33.4,2.9,43.1,3.5,49.6,2.3,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41.0,0.1,41.2,0.1,39.5,0.3,37.5,0.4,32.9,0.6,36.5,0.6,48.4,0.3,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40.5,0.2,40.8,0.2,36.4,0.6,37.4,1.0,30.2,1.1,35.2,1.3,46.1,0.5,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.4,0.2,45.1,0.2,40.1,1.2,36.1,1.9,30.2,1.4,35.5,3.9,49.6,1.2,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43.5,0.5,43.5,0.6,38.7,2.8,38.6,9.0,32.4,2.9,35.5,6.4,51.0,1.6,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41.8,0.4,44.6,0.7,43.2,1.5,40.3,0.5,31.9,1.0,36.4,1.8,40.7,3.2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42.8,0.1,42.9,0.2,39.5,0.4,40.0,1.8,36.6,1.5,39.0,1.5,48.8,0.6,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.6,0.2,42.1,0.3,37.8,0.6,36.9,1.3,28.0,1.4,37.5,1.3,47.0,0.7,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,41.6,0.3,42.0,0.5,41.6,1.5,40.2,1.9,30.4,3.1,36.9,1.8,50.9,2.0,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40.7,0.4,40.7,0.4,38.5,1.3,40.4,6.5,34.5,6.0,39.1,4.4,49.0,2.3,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42.0,0.2,42.9,0.2,39.4,0.6,36.7,0.5,32.8,1.1,37.6,1.4,47.6,0.5,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41.8,0.2,42.6,0.2,37.1,0.6,35.3,2.3,26.7,1.3,37.0,2.2,46.1,1.0,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41.7,0.2,42.2,0.3,38.2,1.0,31.8,2.5,27.1,2.8,39.6,2.7,46.4,1.1,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,41.2,0.3,41.6,0.3,37.1,0.9,36.2,5.7,28.1,1.4,39.8,3.6,48.1,1.3,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.5,0.2,42.0,0.3,37.3,0.7,36.8,2.9,30.9,3.5,40.0,3.2,47.0,1.3,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.0,0.3,41.4,0.3,36.9,0.9,42.4,2.5,33.7,2.8,39.1,2.0,47.8,1.2,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,44.9,0.4,45.5,0.5,38.3,1.6,44.3,9.9,31.5,1.6,40.8,3.4,51.6,1.5,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,42.5,0.2,43.2,0.3,39.3,0.7,36.1,1.1,32.1,1.4,36.3,1.8,48.7,0.8,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,42.8,0.2,44.9,0.2,38.5,0.8,36.0,0.6,29.6,0.8,34.0,1.3,48.0,0.6,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,42.4,0.1,43.1,0.2,36.7,0.8,33.0,2.1,29.5,1.2,36.7,1.9,47.8,0.8,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41.7,0.2,42.3,0.2,38.0,0.6,37.2,1.1,32.1,1.6,36.9,3.1,47.3,0.9,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,41.7,0.3,42.1,0.4,38.8,1.1,41.4,8.9,34.5,3.3,35.6,4.2,47.7,3.2,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,41.6,0.3,41.9,0.3,37.6,0.7,36.3,3.4,31.9,2.7,39.2,2.5,47.7,0.9,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,42.5,0.4,42.5,0.5,38.9,1.5,49.6,7.9,38.1,1.5,40.6,5.3,50.0,2.0,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,41.3,0.3,41.5,0.3,38.0,1.1,48.9,5.4,33.8,4.0,42.8,5.5,48.0,1.1,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,41.2,0.3,41.6,0.3,38.1,1.2,36.8,1.6,36.3,3.1,35.4,1.8,46.3,1.3,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,44.7,0.4,45.4,0.4,38.3,1.6,38.3,27.5,27.9,4.2,42.2,4.5,49.3,1.2,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,44.2,0.2,44.9,0.2,40.2,0.9,39.4,0.8,37.0,1.1,37.9,1.5,49.4,0.7,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,41.2,0.4,41.3,0.5,38.2,1.1,36.2,4.9,38.8,7.1,38.5,3.7,49.4,2.2,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,42.2,0.2,44.8,0.2,41.3,0.6,39.0,0.2,36.6,0.5,39.7,0.8,48.1,0.5,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,42.0,0.2,42.4,0.2,37.7,0.7,34.6,1.3,28.3,1.1,39.1,2.0,47.1,0.7,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,39.7,0.5,40.1,0.4,36.8,1.8,33.3,10.8,30.8,1.2,40.1,5.3,46.2,4.1,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,42.2,0.2,42.8,0.2,36.3,0.6,37.3,1.6,28.6,1.3,35.3,1.4,47.9,0.8,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,40.7,0.2,41.2,0.3,36.3,1.1,37.2,3.1,29.6,2.3,39.1,3.1,46.9,0.9,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
