GEO_ID,C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,NAME,C21001G_001MA,C21001G_001EA,C21001G_002MA,C21001G_002EA,C21001G_003EA,C21001G_003MA,C21001G_004EA,C21001G_004MA,C21001G_005EA,C21001G_005MA,C21001G_006EA,C21001G_006MA,C21001G_007EA,C21001G_007MA,C21001G_008EA,C21001G_008MA,C21001G_009EA,C21001G_009MA,C21001G_010MA,C21001G_010EA,C21001G_011MA,C21001G_011EA,C21001G_012MA,C21001G_012EA,C21001G_013EA,C21001G_013MA,C21001G_014EA,C21001G_014MA,C21001G_015EA,C21001G_015MA,state
0400000US01,50109,4629,22032,2694,20088,2596,3085,1065,17003,2257,1944,630,607,353,1337,540,28077,3023,24434,2894,1205,773,23229,2940,3643,842,48,82,3595,831,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32994,3492,18059,2130,16621,2072,1926,680,14695,2088,1438,373,848,360,590,277,14935,1934,14004,1879,979,592,13025,1762,931,353,50,84,881,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,141961,8011,70041,5034,63167,4896,5432,1122,57735,4742,6874,1242,3917,901,2957,889,71920,4699,63748,4453,1180,526,62568,4425,8172,1328,435,372,7737,1234,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45617,3424,24120,2413,21691,2313,1593,623,20098,2261,2429,637,1351,548,1078,415,21497,2050,18121,1884,294,268,17827,1893,3376,1055,210,289,3166,1023,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1104629,23456,552109,15018,504559,13644,31821,3048,472738,13301,47550,3444,16350,1985,31200,2904,552520,13046,495536,12592,6182,1346,489354,12777,56984,3128,840,415,56144,3052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,109766,6818,53923,4416,49520,4395,4875,1383,44645,4360,4403,935,1679,627,2724,656,55843,4174,50221,3884,956,464,49265,3889,5622,1086,166,198,5456,1042,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61777,5472,29951,3308,28084,3199,1243,527,26841,3101,1867,611,338,226,1529,563,31826,3544,29329,3480,348,236,28981,3444,2497,758,0,207,2497,758,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14568,2507,8012,1898,7628,1906,993,426,6635,1853,384,218,147,120,237,187,6556,1433,5772,1412,28,47,5744,1401,784,445,0,198,784,445,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,13700,2555,6391,1572,5954,1523,237,238,5717,1566,437,361,161,263,276,266,7309,1731,6594,1573,73,89,6521,1553,715,620,0,208,715,620,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,311908,14677,154108,9564,138691,9107,14706,2339,123985,8539,15417,2029,5025,1132,10392,1679,157800,9419,134510,8107,3678,1653,130832,7754,23290,2781,800,629,22490,2655,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,142684,7627,63076,4165,58184,4038,5820,1296,52364,3974,4892,1014,1978,738,2914,769,79608,5744,71898,5538,1900,760,69998,5427,7710,1592,282,363,7428,1588,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,204589,8874,102194,5152,92535,4778,8246,1342,84289,4816,9659,1283,4178,791,5481,977,102395,5363,86378,4744,1928,729,84450,4681,16017,1644,41,34,15976,1642,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,27772,3094,15174,2313,13760,2113,1119,719,12641,1964,1414,648,682,449,732,408,12598,1705,11585,1727,226,202,11359,1693,1013,492,0,201,1013,492,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,174066,8339,84380,5651,77897,5423,5348,1310,72549,5130,6483,1159,2542,593,3941,980,89686,5427,81357,5098,1458,609,79899,5048,8329,1291,292,231,8037,1286,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
