GEO_ID,B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,NAME,B01001G_001MA,B01001G_001EA,B01001G_002EA,B01001G_002MA,B01001G_003EA,B01001G_003MA,B01001G_004EA,B01001G_004MA,B01001G_005MA,B01001G_005EA,B01001G_006MA,B01001G_006EA,B01001G_007EA,B01001G_007MA,B01001G_008EA,B01001G_008MA,B01001G_009EA,B01001G_009MA,B01001G_010MA,B01001G_010EA,B01001G_011MA,B01001G_011EA,B01001G_012MA,B01001G_012EA,B01001G_013EA,B01001G_013MA,B01001G_014EA,B01001G_014MA,B01001G_015EA,B01001G_015MA,B01001G_016MA,B01001G_016EA,B01001G_017MA,B01001G_017EA,B01001G_018EA,B01001G_018MA,B01001G_019EA,B01001G_019MA,B01001G_020EA,B01001G_020MA,B01001G_021MA,B01001G_021EA,B01001G_022MA,B01001G_022EA,B01001G_023MA,B01001G_023EA,B01001G_024EA,B01001G_024MA,B01001G_025EA,B01001G_025MA,B01001G_026EA,B01001G_026MA,B01001G_027MA,B01001G_027EA,B01001G_028MA,B01001G_028EA,B01001G_029EA,B01001G_029MA,B01001G_030EA,B01001G_030MA,B01001G_031EA,B01001G_031MA,state
0400000US01,93584,6810,45443,3518,6705,1259,7099,1646,5560,1450,3816,1026,1964,787,3514,1490,2035,736,2164,1010,5166,1450,2653,934,2823,750,1737,597,140,110,67,111,48141,4386,7381,1854,4999,1257,4278,823,3178,815,2019,850,5501,1845,2989,993,1778,813,4845,1141,3731,914,3799,1077,2327,659,1157,507,159,115,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,63390,5290,33097,3281,3379,936,4330,1133,3606,996,2921,915,2048,760,2897,1068,2392,857,2888,810,4154,953,1768,550,1276,585,899,299,533,256,6,10,30293,3120,4034,917,5686,1330,3563,876,2023,794,1123,548,1087,500,2687,747,1648,699,3675,979,1986,881,1850,570,702,317,210,126,19,31,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,266401,12035,133248,7225,18119,2273,18788,2855,16416,2408,9348,1568,5920,1289,10102,1786,10574,1792,8252,1339,12637,1966,9489,1503,6729,1242,4775,1144,1656,517,443,253,133153,6656,18645,2361,17911,2307,15489,2336,8926,1394,5363,1099,11602,2053,9714,1807,7164,1535,13623,1907,8775,1503,7769,1120,4219,1082,2848,901,1105,448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85169,5704,42980,3557,5828,1493,4698,1436,5051,1327,2743,853,1641,700,3851,1284,3122,1021,2623,857,4342,1401,3803,916,2849,855,1971,605,356,236,102,107,42189,3962,5385,1360,6815,1654,6191,1614,2301,867,1311,469,1771,707,2481,909,1849,851,4178,1040,3239,977,3292,761,2315,910,632,326,429,291,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1938077,38582,974830,23384,135024,6526,117551,6485,105996,5039,58808,4093,34948,3195,82175,5385,83086,4846,63750,3957,107908,6063,77420,4849,60614,4043,30862,3043,12532,1681,4156,1102,963247,21140,130612,6971,121174,6545,101970,5882,54811,3571,32642,2443,80687,4829,79125,5490,62898,4205,100934,4864,77520,4031,63890,3822,35112,2773,16418,1842,5454,1160,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,193591,10824,97700,6650,12463,2050,13894,2025,10455,1774,5263,1229,3206,989,8626,1712,7217,1716,7428,1392,13305,2151,6934,1317,4506,941,3146,804,1026,389,231,217,95891,6472,12329,1901,10236,2088,11515,1881,5475,1182,2598,1023,8339,1402,7314,1167,8654,1631,10122,1534,7905,1365,5782,1030,3937,925,1101,435,584,478,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,117503,7644,59557,4490,8088,1616,7398,1320,8684,1459,5002,1390,3099,1187,5312,1463,4405,1285,2679,957,5051,1292,5233,1144,2739,997,1360,499,211,187,296,281,57946,5261,7513,1578,7104,1648,7146,1444,4350,1061,2445,1060,6077,1517,3498,1118,2393,925,5063,1269,5289,1361,4571,1049,1456,543,585,373,456,424,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29224,3620,15714,2493,2263,746,2324,710,2229,999,886,589,339,268,1374,743,1463,1049,1221,594,1348,664,1143,468,740,516,281,197,103,92,0,198,13510,2085,2747,1135,1620,692,1509,660,1078,580,1186,618,1007,524,981,506,177,173,1280,595,715,402,426,238,398,287,386,283,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20609,3240,9813,1754,1471,740,869,459,554,367,356,249,416,338,794,399,1090,570,593,384,574,322,2045,958,614,319,163,218,274,299,0,208,10796,2176,1285,654,1159,637,742,511,281,271,379,288,690,329,1426,721,1119,548,1847,753,590,394,563,345,279,270,304,460,132,157,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,553886,21776,276600,13731,34489,4038,39253,4075,29721,3622,17614,2663,10289,2246,24223,3248,19195,3259,12820,2124,31320,3529,23351,2688,18908,3043,9592,1413,4268,1031,1557,831,277286,12985,36427,3737,32554,3482,32583,3442,17452,2292,9424,1799,19900,3069,18101,2841,14794,2310,29421,3171,24727,3101,18613,2329,14816,2552,6923,1444,1551,517,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
