GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001MA,C01001G_001EA,C01001G_002EA,C01001G_002MA,C01001G_003MA,C01001G_003EA,C01001G_004MA,C01001G_004EA,C01001G_005MA,C01001G_005EA,C01001G_006EA,C01001G_006MA,C01001G_007MA,C01001G_007EA,C01001G_008MA,C01001G_008EA,C01001G_009MA,C01001G_009EA,state
0400000US01,93584,6810,45443,3518,23180,2334,20319,2603,1944,630,48141,4386,19836,2911,24662,2864,3643,842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,63390,5290,33097,3281,14236,2225,17423,2191,1438,373,30293,3120,15306,2036,14056,1888,931,353,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,266401,12035,133248,7225,62671,5120,63703,4902,6874,1242,133153,6656,60971,4296,64010,4481,8172,1328,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85169,5704,42980,3557,18320,2523,22231,2431,2429,637,42189,3962,20692,2892,18121,1884,3376,1055,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1938077,38582,974830,23384,417379,13871,509901,13475,47550,3444,963247,21140,408567,12912,497696,12671,56984,3128,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,193591,10824,97700,6650,42075,3996,51222,4532,4403,935,95891,6472,39555,4050,50714,3855,5622,1086,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,117503,7644,59557,4490,29172,2667,28518,3252,1867,611,57946,5261,26113,2991,29336,3483,2497,758,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29224,3620,15714,2493,7702,1357,7628,1906,384,218,13510,2085,6954,1682,5772,1412,784,445,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20609,3240,9813,1754,3250,953,6126,1558,437,361,10796,2176,3467,1116,6614,1576,715,620,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,553886,21776,276600,13731,121077,8102,140106,9079,15417,2029,277286,12985,119016,6825,134980,8066,23290,2781,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,286165,15074,139279,8629,73840,6733,60547,4041,4892,1014,146886,9474,66840,5682,72336,5529,7710,1592,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,331992,12399,167926,7228,63641,3716,94626,4732,9659,1283,164066,6782,61193,3385,86856,4741,16017,1644,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52711,6054,29824,4078,14650,2519,13760,2113,1414,648,22887,2666,10289,1924,11585,1727,1013,492,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,335471,13189,169542,8242,84510,5146,78549,5468,6483,1159,165929,7908,76199,5156,81401,5095,8329,1291,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,177031,8148,86546,4703,44278,3223,39977,2962,2291,584,90485,5788,45361,3910,40290,3285,4834,1279,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
