GEO_ID,C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,NAME,C05009_001EA,C05009_001MA,C05009_002EA,C05009_002MA,C05009_003MA,C05009_003EA,C05009_004MA,C05009_004EA,C05009_005MA,C05009_005EA,C05009_006EA,C05009_006MA,C05009_007EA,C05009_007MA,C05009_008MA,C05009_008EA,C05009_009MA,C05009_009EA,C05009_010MA,C05009_010EA,C05009_011EA,C05009_011MA,C05009_012EA,C05009_012MA,C05009_013EA,C05009_013MA,C05009_014MA,C05009_014EA,C05009_015MA,C05009_015EA,state
0400000US01,1018842,5129,323597,5669,321201,5542,2396,848,298082,6434,25515,2827,24251,2808,1264,682,695245,6538,683335,6625,11910,2273,635441,6732,59804,4252,50400,4014,9404,2022,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,172645,2126,60763,2408,60191,2443,572,426,52462,2370,8301,1559,7820,1547,481,411,111882,2460,108213,2648,3669,1134,96673,3101,15209,2088,11832,1787,3377,1126,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1532662,7662,488517,5188,480424,5452,8093,1668,363878,7794,124639,7852,116605,7270,8034,1665,1044145,7472,1008507,7934,35638,4211,727419,12279,316726,12675,282706,12018,34020,4169,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,663663,4415,215615,4637,214488,4671,1127,608,189887,5361,25728,2940,24745,2957,983,560,448048,4671,441340,4813,6708,1660,398305,5136,49743,3988,44334,4170,5409,1467,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8636131,16233,2824448,12078,2759861,12898,64587,4554,1620494,17397,1203954,19216,1142167,18314,61787,4490,5811683,15977,5493569,18439,318114,11564,2877759,26648,2933924,25737,2626745,26642,307179,11208,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1202723,5307,384808,4649,377383,4944,7425,1527,305593,6599,79215,5234,72736,5008,6479,1463,817915,5762,785170,7209,32745,4010,619346,8994,198569,8168,172096,8784,26473,3852,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,714184,3142,210300,3312,206120,3471,4180,1348,150923,4461,59377,3597,55300,3301,4077,1329,503884,3797,478853,5262,25031,3443,368113,7586,135771,7169,113560,7029,22211,3558,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,189011,2931,61245,2350,60403,2336,842,565,47137,2528,14108,2124,13275,2098,833,565,127766,3162,122600,3379,5166,1910,96930,3901,30836,3548,26267,3208,4569,1846,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,115684,2794,48988,1959,47295,2136,1693,834,34707,2310,14281,2306,12588,2300,1693,834,66696,2450,64381,2665,2315,778,48844,2577,17852,2289,15848,2262,2004,801,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3980211,12944,1287270,10058,1251662,10816,35608,4079,852989,13877,434281,12524,399879,12399,34402,4169,2692941,13600,2494854,15555,198087,10124,1735972,18894,956969,19578,766803,19229,190166,9979,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2372178,10081,747105,9552,739126,9396,7979,1930,582690,10465,164415,7283,157227,7062,7188,1847,1625073,9960,1572339,11079,52734,5364,1261588,12776,363485,10547,316404,9779,47081,5091,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,283254,3265,101987,2460,100174,2672,1813,770,75549,3541,26438,2824,24891,2717,1547,725,181267,3013,172664,3025,8603,1680,126772,4199,54495,4153,46619,3798,7876,1603,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,426375,3050,134263,3611,132581,3550,1682,1048,114937,4036,19326,2923,17795,2564,1531,1032,292112,3975,286608,4171,5504,1860,255183,5187,36929,4676,31890,4184,5039,1876,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2775962,7077,882170,8229,870227,8415,11943,1921,654772,9112,227398,9059,215816,9032,11582,1918,1893792,9442,1827808,9892,65984,4275,1355967,14003,537825,11625,477645,10881,60180,4144,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1482780,6433,482644,5797,477805,5860,4839,1922,424880,6371,57764,5527,53544,4992,4220,1835,1000136,7560,974850,8047,25286,2718,883851,9628,116285,8015,95498,7658,20787,2813,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,699868,3693,231076,3846,228198,3753,2878,1067,200183,3977,30893,2967,28144,2903,2749,1048,468792,4370,457777,4056,11015,2287,420305,4435,48487,4370,39905,3753,8582,1979,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,678431,4742,229831,4448,227386,4637,2445,964,195787,3990,34044,3124,31842,2980,2202,941,448600,5415,438662,5673,9938,1826,376685,5566,71915,4344,62930,4350,8985,1739,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,935471,5262,309582,5012,307536,4826,2046,732,285102,5231,24480,2914,22704,2821,1776,683,625889,5518,613030,6341,12859,2212,580547,7084,45342,4118,36439,3807,8903,1889,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1034342,6482,344904,5229,342850,5301,2054,803,314719,5493,30185,3042,28178,2939,2007,815,689438,7693,678517,8215,10921,1659,645156,7963,44282,3764,34500,3650,9782,1631,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,240802,2435,74035,2138,73761,2103,274,294,69269,1978,4766,1040,4492,989,274,294,166767,2879,164129,2861,2638,851,154646,3077,12121,2114,10213,2211,1908,761,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1287559,5069,419914,5039,410443,5192,9471,1779,288375,5759,131539,5430,122515,5206,9024,1781,867645,7242,814953,7689,52692,4727,620152,9751,247493,8226,198416,7933,49077,4791,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1314811,5085,420216,5384,408243,5705,11973,2122,288318,7748,131898,6543,120307,6492,11591,2065,894595,6975,838507,8024,56088,5270,641856,9821,252739,8957,203149,8269,49590,5100,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2064224,7226,656743,5789,646743,5611,10000,1824,562164,7111,94579,6173,85154,6046,9425,1861,1407481,7276,1360922,9152,46559,4615,1214599,10811,192882,8008,154266,7801,38616,4450,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1242714,4595,413673,4953,405671,4607,8002,1825,327208,5109,86465,5009,79293,4533,7172,1863,829041,5927,790393,7149,38648,4114,667276,8086,161765,6298,131884,6178,29881,3559,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
