GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001EA,B27001I_001MA,B27001I_002EA,B27001I_002MA,B27001I_003MA,B27001I_003EA,B27001I_004MA,B27001I_004EA,B27001I_005MA,B27001I_005EA,B27001I_006EA,B27001I_006MA,B27001I_007EA,B27001I_007MA,B27001I_008MA,B27001I_008EA,B27001I_009MA,B27001I_009EA,B27001I_010MA,B27001I_010EA,B27001I_011EA,B27001I_011MA,B27001I_012EA,B27001I_012MA,B27001I_013EA,B27001I_013MA,B27001I_014MA,B27001I_014EA,B27001I_015MA,B27001I_015EA,B27001I_016MA,B27001I_016EA,B27001I_017EA,B27001I_017MA,B27001I_018EA,B27001I_018MA,B27001I_019MA,B27001I_019EA,B27001I_020MA,B27001I_020EA,B27001I_021MA,B27001I_021EA,B27001I_022EA,B27001I_022MA,B27001I_023EA,B27001I_023MA,B27001I_024EA,B27001I_024MA,B27001I_025MA,B27001I_025EA,B27001I_026MA,B27001I_026EA,B27001I_027MA,B27001I_027EA,B27001I_028EA,B27001I_028MA,state
0400000US01,198665,2218,27567,2241,26355,2185,1212,643,56741,2660,52428,3094,4313,1314,23693,3225,14968,2830,8725,2195,28915,3260,12848,2090,16067,2801,28592,2804,13635,2640,14957,2201,15557,2672,10034,2143,5523,1438,9422,1254,7964,1185,1458,625,5623,1329,5338,1277,285,331,2555,863,2359,804,196,197,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48224,1139,6883,809,5743,1236,1140,1280,11945,914,10320,1452,1625,1129,5698,1105,5069,1045,629,353,6909,1153,5906,1108,1003,585,7449,1340,6184,1246,1265,852,4327,1175,3955,1090,372,275,2394,703,2010,594,384,259,2101,816,2040,820,61,122,518,260,518,260,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2160825,2666,228981,2998,213881,3882,15100,2689,533770,3846,475852,6625,57918,5697,266136,4482,206861,6333,59275,4867,289847,4825,223967,5662,65880,4329,288600,2630,220328,5454,68272,5226,237336,2192,183939,4864,53397,4713,168186,981,140894,2747,27292,2839,93480,1064,90425,1437,3055,967,54489,1052,53182,1216,1307,577,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,222081,1473,30399,2002,28716,2114,1683,930,62455,2578,55515,3042,6940,1821,27230,2132,19928,2043,7302,1515,29104,2919,19036,2703,10068,2132,30088,2369,18701,2633,11387,2300,23135,2513,14962,2156,8173,1872,11288,1492,8330,1465,2958,1214,6685,1590,6494,1545,191,251,1697,664,1539,661,158,242,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15315902,5173,1515553,7307,1472860,7441,42693,4440,3456112,9890,3312556,11840,143556,7936,1836736,11531,1563870,13266,272866,11327,2160027,10792,1770953,14543,389074,11877,2138904,3150,1711810,12442,427094,12240,1848960,2328,1538842,10580,310118,10156,1275428,1920,1119493,7377,155935,7113,661509,2012,641088,3203,20421,2713,422673,1909,413819,2306,8854,1749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1188460,1726,121140,2559,115412,2809,5728,1544,294563,3345,274179,4786,20384,3514,138971,3839,115546,4404,23425,3189,167704,4153,127416,5078,40288,4571,167646,2372,123287,4697,44359,4032,129864,2461,103513,3199,26351,3365,89487,1305,77203,2672,12284,2243,50260,1424,48209,1369,2051,1079,28825,1100,28144,1289,681,719,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,572394,858,55617,1625,52520,2120,3097,1329,133467,2326,126235,3319,7232,2136,67203,2833,56593,3031,10610,2000,81946,2514,61557,3417,20389,2376,85372,1380,65802,3443,19570,2862,69376,1410,58106,2304,11270,2027,44407,850,39940,1416,4467,1322,22740,842,21931,1142,809,655,12266,706,11762,856,504,556,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88756,275,10677,744,9257,1063,1420,945,23261,1164,21991,1443,1270,909,9550,1154,7233,1145,2317,967,12254,1190,7973,1648,4281,1325,14069,1290,9697,1327,4372,1651,9169,1172,7542,1003,1627,984,5524,571,4972,706,552,558,3200,615,2845,741,355,293,1052,486,976,464,76,132,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75470,400,8963,803,8963,803,0,208,13088,1012,12967,976,121,210,7363,979,6708,1046,655,503,15277,789,12586,1184,2691,957,12879,293,9879,1237,3000,1255,7964,262,7482,506,482,461,5530,5,5213,307,317,306,2783,331,2578,443,205,309,1623,332,1623,332,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5319667,2875,426504,4541,398294,5332,28210,4707,958309,6512,863820,10644,94489,7709,510536,8003,368835,11150,141701,8572,695669,7775,474150,9851,221519,10092,807255,4634,580180,10253,227075,10358,745487,3732,560512,8524,184975,8490,544968,2671,437230,7749,107738,7426,349735,3250,336188,4115,13547,2530,281204,3157,274735,3043,6469,1532,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,982805,3529,120844,3896,108543,3832,12301,2694,263575,4698,212882,7019,50693,5190,105887,3641,60203,3598,45684,3765,131718,4656,63254,4771,68464,4625,160212,4533,76124,4414,84088,4711,105974,4108,64453,4358,41521,4249,58865,2575,41010,3559,17855,2847,23492,2212,20252,2302,3240,1548,12238,1805,11637,1859,601,449,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140968,1383,23922,1017,23761,974,161,259,33960,1213,33535,1352,425,335,14358,1391,13280,1431,1078,571,21323,1529,19103,1581,2220,792,17924,1532,16984,1445,940,680,11854,1186,11400,1170,454,331,9968,408,9017,601,951,500,5031,492,4981,493,50,85,2628,535,2628,535,0,187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,210231,923,27070,2081,26215,2103,855,753,59437,2424,54776,2653,4661,1721,24712,2363,16716,1903,7996,2046,28132,2281,18186,2250,9946,2128,25457,2294,16830,2318,8627,1810,22378,2167,14086,2283,8292,1817,14699,1445,11055,1659,3644,984,6518,1164,6399,1092,119,201,1828,826,1828,826,0,201,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
