B06001_016M,B06001_017E,B06001_017M,B06001_018E,B06001_018M,B06001_019E,B06001_019M,B06001_020E,B06001_020M,B06001_021E,B06001_021M,B06001_022E,B06001_022M,B06001_023E,B06001_023M,B06001_024E,B06001_024M,B06001_025E,B06001_025M,B06001_026E,B06001_026M,B06001_027E,B06001_027M,B06001_028E,B06001_028M,B06001_029E,B06001_029M,B06001_030E,B06001_030M,B06001_031E,B06001_031M,B06001_032E,B06001_032M,B06001_033E,B06001_033M,B06001_034E,B06001_034M,B06001_035E,B06001_035M,B06001_036E,B06001_036M,B06001_037E,B06001_037M,B06001_038E,B06001_038M,B06001_039E,B06001_039M,B06001_040E,B06001_040M,B06001_041E,B06001_041M,B06001_042E,B06001_042M,B06001_043E,B06001_043M,B06001_044E,B06001_044M,B06001_045E,B06001_045M,B06001_046E,B06001_046M,B06001_047E,B06001_047M,B06001_048E,B06001_048M,B06001_049E,B06001_049M,B06001_050E,B06001_050M,B06001_051E,B06001_051M,B06001_052E,B06001_052M,B06001_053E,B06001_053M,B06001_054E,B06001_054M,B06001_055E,B06001_055M,B06001_056E,B06001_056M,B06001_057E,B06001_057M,B06001_058E,B06001_058M,B06001_059E,B06001_059M,B06001_060E,B06001_060M,GEO_ID,B06001_001E,B06001_001M,B06001_002E,B06001_002M,B06001_003E,B06001_003M,B06001_004E,B06001_004M,B06001_005E,B06001_005M,B06001_006E,B06001_006M,B06001_007E,B06001_007M,B06001_008E,B06001_008M,B06001_009E,B06001_009M,B06001_010E,B06001_010M,B06001_011E,B06001_011M,B06001_012E,B06001_012M,B06001_013E,B06001_013M,B06001_014E,B06001_014M,B06001_015E,B06001_015M,B06001_016E,B06001_016MA,B06001_017EA,B06001_017MA,B06001_018MA,B06001_018EA,B06001_019MA,B06001_019EA,B06001_020MA,B06001_020EA,B06001_021EA,B06001_021MA,B06001_022EA,B06001_022MA,B06001_023EA,B06001_023MA,B06001_024MA,B06001_024EA,B06001_025MA,B06001_025EA,B06001_026EA,B06001_026MA,B06001_027EA,B06001_027MA,B06001_028EA,B06001_028MA,B06001_029MA,B06001_029EA,B06001_030MA,B06001_030EA,B06001_031EA,B06001_031MA,B06001_032EA,B06001_032MA,B06001_033EA,B06001_033MA,B06001_034EA,B06001_034MA,B06001_035MA,B06001_035EA,B06001_036EA,B06001_036MA,B06001_037EA,B06001_037MA,B06001_038EA,B06001_038MA,B06001_039EA,B06001_039MA,B06001_040MA,B06001_040EA,B06001_041MA,B06001_041EA,B06001_042EA,B06001_042MA,B06001_043EA,B06001_043MA,B06001_044EA,B06001_044MA,B06001_045EA,B06001_045MA,B06001_046MA,B06001_046EA,B06001_047EA,B06001_047MA,B06001_048EA,B06001_048MA,B06001_049EA,B06001_049MA,B06001_050EA,B06001_050MA,B06001_051MA,B06001_051EA,B06001_052MA,B06001_052EA,B06001_053EA,B06001_053MA,B06001_054EA,B06001_054MA,B06001_055EA,B06001_055MA,B06001_056EA,B06001_056MA,B06001_057MA,B06001_057EA,B06001_058EA,B06001_058MA,B06001_059EA,B06001_059MA,B06001_060EA,B06001_060MA,NAME,B06001_001MA,B06001_001EA,B06001_002MA,B06001_002EA,B06001_003EA,B06001_003MA,B06001_004EA,B06001_004MA,B06001_005EA,B06001_005MA,B06001_006MA,B06001_006EA,B06001_007MA,B06001_007EA,B06001_008MA,B06001_008EA,B06001_009EA,B06001_009MA,B06001_010EA,B06001_010MA,B06001_011MA,B06001_011EA,B06001_012MA,B06001_012EA,B06001_013MA,B06001_013EA,B06001_014EA,B06001_014MA,B06001_015EA,B06001_015MA,B06001_016EA,state
7098,416653,7784,383931,7368,388384,6042,206515,6743,86985,4766,123678,5328,326275,5014,229718,4666,1252638,19344,30742,2985,131096,7668,113298,5989,170370,7226,166251,6293,205513,5989,109138,4931,39702,3117,60940,3809,139950,4890,85638,3913,45661,3519,1672,835,5464,1318,4189,1324,7969,1503,7026,1357,7724,1317,5084,1123,1246,540,1701,1075,2927,1066,659,450,169066,6916,1761,653,14242,2456,17433,2581,33886,3492,38798,3531,28709,2843,9075,1592,3204,1103,3909,782,11761,1591,6288,1415,0400000US01,4874747,-555555555,288897,2856,805164,2907,471079,5556,628878,5391,596006,4975,630330,5020,329812,7545,131137,5943,190228,6459,480913,3308,322303,2424,3407382,20320,254722,4131,654362,8388,336159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2750,51244,2831,34260,2822,21499,1675,10615,1334,3639,804,4911,876,9089,1054,4218,599,348023,8698,9156,1835,31498,3372,27899,2523,53814,3442,46919,2928,55204,2027,31425,1687,14943,1636,17164,1793,41579,1641,18422,1029,19529,3111,663,436,2730,884,2714,1115,4004,1426,3628,1385,2243,768,1605,665,594,397,660,434,657,280,31,39,58187,4466,452,410,4454,1254,4087,1146,9087,1650,12317,2145,10106,1309,5358,969,1140,372,2141,618,5513,1198,3532,690,0400000US02,739795,-555555555,52919,844,132262,851,73053,2182,118149,2355,97124,2737,89052,2406,49003,2184,20316,1843,24876,1665,56838,1340,26203,900,314056,8570,42648,2025,93580,3925,38353,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
7977,392191,9814,262313,8548,188445,6328,86319,4077,29781,2350,39074,3098,83291,4633,48767,2982,3204995,26394,46726,4245,239293,9332,222061,7211,384670,10305,387300,9063,462988,7312,270751,7565,107764,4291,167987,4916,525742,5011,389713,3977,102238,7499,3362,1093,15716,2843,10559,2829,17775,2344,17039,3074,15618,2403,7114,1382,2451,764,3674,898,5101,1034,3829,1045,924900,18307,7141,1489,40497,4662,65597,5190,158691,7586,192805,6975,183390,6643,69673,4349,26413,2699,36286,3222,87031,4386,57376,3760,0400000US04,7016270,-555555555,435041,1331,1197687,1702,672180,2391,953327,3874,859457,3277,850441,3004,433857,7736,166409,4906,247021,6376,701165,1746,499685,1863,2784137,27901,377812,4436,902181,9787,373963,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
5842,214645,5906,204971,5123,196484,5306,96448,4692,37859,2847,58017,4034,160697,4728,121297,3528,1017615,16092,23565,2450,117888,6114,93680,5392,131779,5778,126782,5294,150555,4968,87964,4584,36105,2813,47871,4024,120872,4600,80554,3159,24659,3479,1461,798,2260,707,3846,1196,5256,1441,4459,1515,2692,743,2387,832,223,214,573,438,1227,524,275,351,140078,5172,1067,604,7727,1701,12878,2087,31106,3256,34784,2544,26156,2577,7573,1551,2630,715,4055,969,8799,1836,3303,986,0400000US05,3004279,-555555555,186640,2636,521793,2863,287448,4285,382786,5275,370996,4281,375887,3898,194372,5457,76817,3993,110516,5698,291595,2927,205429,1859,1821927,15268,160547,3520,393918,5849,177044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
17467,3561552,21345,2232067,17939,1929523,18334,947515,15498,347098,8469,471217,11085,1036015,13022,560625,9437,6365215,41438,97046,5779,388668,12895,358112,10236,752729,14873,754797,12594,877993,14766,565308,12668,237608,7247,357901,8405,1039557,12639,935496,10561,551652,13868,27149,3262,92651,5751,53711,4061,90285,5037,77706,4473,78724,4665,39078,3328,13516,2026,21105,2282,36571,2856,21156,2186,10653414,47294,54364,4200,366985,12041,537934,13194,1613659,17747,2168307,16822,2273507,17266,943854,14024,352375,9618,467032,10380,1086412,11165,788985,9425,0400000US06,39536653,-555555555,2460425,3179,6596961,4022,3799994,5436,6018225,6521,5232877,5306,5159747,5266,2495755,17637,950597,15563,1317255,14801,3198555,3468,2306262,3150,21966372,49266,2281866,7452,5748657,17729,2850237,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
8380,315748,9585,232456,7673,198878,6894,104805,4598,37978,2748,54226,3649,122493,4745,74630,3549,2606254,24756,39272,4304,209867,8542,201828,6478,431169,9990,386081,7505,398205,6423,221551,4982,86445,4368,123079,4266,317350,5304,191407,4083,89910,5481,2247,813,15875,2911,10571,1973,14360,2285,15528,2047,14071,1783,5575,1314,2540,774,3347,873,4085,964,1711,504,550768,12818,5648,1444,38066,4359,42704,3892,105893,5092,128091,6016,103602,5093,35697,3040,11846,1975,17198,2450,37416,2919,24607,2121,0400000US08,5607154,-555555555,332593,2114,929766,2406,522727,3703,867170,4547,762156,3967,714756,3742,367628,6646,138809,5743,197850,5923,481344,2345,292355,2023,2360222,24413,285426,4517,665958,10223,267624,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4786,232886,6166,183570,6124,239710,6050,130658,5180,49125,3135,64321,4131,147820,4204,110107,3602,981721,15300,19844,2472,94585,6632,94200,4394,106700,5262,107457,5481,155644,5711,84569,4218,33268,2390,52398,3786,129033,4328,104023,3547,131616,7091,2829,945,16126,3232,11408,2142,17315,2478,20121,2390,21426,2384,10594,1551,4041,1084,5829,1344,13928,1713,7999,1201,530245,12137,3320,1285,28119,3505,37494,3414,87240,4515,110232,5102,98545,4683,42202,3418,14159,2269,20750,2807,48297,3108,39887,3171,0400000US09,3588184,-555555555,182194,1224,560084,1205,352052,1664,444141,2581,421380,1995,515325,2301,268023,6235,100593,4644,143298,6303,339078,1559,262016,1151,1944602,17728,156201,3153,421254,8005,208950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2786,61775,3581,40936,3137,43659,2971,23950,2409,8928,1472,11539,2051,26292,2162,17466,1772,432801,10638,8925,1789,42092,3076,39314,2772,44743,3165,45816,2951,62739,3206,35437,3575,15460,1971,23067,2285,69563,2432,45645,1855,15109,2567,550,624,1888,819,1248,757,2610,1062,2182,776,2377,807,930,462,895,468,556,333,1255,611,618,365,98493,6244,1479,957,5477,1959,6289,1266,21821,2430,22134,2120,15757,2091,6812,1222,2643,705,3703,1047,7248,1310,5130,1180,0400000US10,961939,-555555555,54907,341,149406,450,83940,1284,130949,2190,111068,1834,124532,1461,67129,2945,27926,2255,38865,2679,104358,830,68859,843,415536,10605,43953,2170,99949,3344,37089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2477,39843,2835,25531,2150,26691,2029,15073,2065,5523,1359,7264,1236,14714,1491,8866,1412,317612,7890,7577,2031,14765,2296,42941,1961,92635,3219,49091,2748,32360,2235,13176,1665,6322,1165,9412,1449,26403,1593,22930,1562,15134,2816,490,347,1674,638,1657,689,3904,1436,2923,915,2423,904,787,441,340,227,213,244,623,375,100,162,101860,5844,1964,1044,3345,991,9084,1900,25972,2810,24583,2315,14803,1925,6544,1186,2136,732,3073,994,6449,988,3907,769,0400000US11,693972,-555555555,45065,115,79533,173,74760,213,162354,236,102128,330,76277,312,35580,2513,14321,1820,19962,1672,48189,533,35803,627,259366,8016,35034,2106,59749,2261,21078,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
16795,1131301,18226,700235,13494,595703,13796,289925,11496,101782,5504,126120,6439,285257,7508,175095,7598,8270242,46196,100094,6926,563093,15973,453264,13173,864318,14632,899530,12264,1207707,15423,728369,13276,305460,8253,442447,9018,1479946,11077,1226014,8408,788744,26278,17271,2982,102268,9993,73370,6176,111424,8294,133775,8230,118074,6146,56863,3932,19122,2478,25379,2943,76544,4785,54654,4641,4379341,36643,28338,3621,222533,11134,263337,10619,600794,17827,802227,13068,839853,14057,381390,9971,136094,7151,187053,7918,503122,9860,414600,6908,0400000US12,20984400,-555555555,1129322,4120,3071458,4585,1763443,7379,2707837,8752,2535767,7857,2761337,6965,1456547,16118,562458,12316,780999,13644,2344869,4757,1870363,4275,7546073,47932,983619,7825,2183564,20296,973472,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
