GEO_ID,C18131_001E,C18131_001M,C18131_002E,C18131_002M,C18131_003E,C18131_003M,C18131_004E,C18131_004M,C18131_005E,C18131_005M,C18131_006E,C18131_006M,C18131_007E,C18131_007M,C18131_008E,C18131_008M,C18131_009E,C18131_009M,C18131_010E,C18131_010M,C18131_011E,C18131_011M,C18131_012E,C18131_012M,C18131_013E,C18131_013M,C18131_014E,C18131_014M,C18131_015E,C18131_015M,C18131_016E,C18131_016M,NAME,C18131_001MA,C18131_001EA,C18131_002MA,C18131_002EA,C18131_003EA,C18131_003MA,C18131_004EA,C18131_004MA,C18131_005EA,C18131_005MA,C18131_006MA,C18131_006EA,C18131_007MA,C18131_007EA,C18131_008EA,C18131_008MA,C18131_009EA,C18131_009MA,C18131_010EA,C18131_010MA,C18131_011MA,C18131_011EA,C18131_012MA,C18131_012EA,C18131_013EA,C18131_013MA,C18131_014EA,C18131_014MA,C18131_015EA,C18131_015MA,C18131_016MA,C18131_016EA,state
0400000US01,4740475,3228,352069,17765,62266,4852,289803,16517,450494,17096,119781,5752,330713,15771,480032,18326,109705,6716,370327,16904,484463,21400,88384,4976,396079,19967,2973417,29571,406308,11864,2567109,29310,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,709548,2461,41036,3678,6279,1379,34757,3121,38841,6202,7228,1475,31613,5760,51712,5666,9642,1498,42070,5513,54873,6869,8535,1723,46338,6032,523086,9996,58342,4117,464744,10192,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6841639,4503,468888,19143,72543,5915,396345,17022,549968,23802,92639,5967,457329,21499,663419,28157,104457,6303,558962,25326,668741,27136,98696,6489,570045,24501,4490623,35861,528358,12622,3962265,34923,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2911683,3113,199669,12396,42938,3090,156731,11189,278696,11917,76356,5607,202340,11494,337490,13675,86995,6462,250495,12375,328108,17732,63985,4777,264123,16127,1767720,21990,257896,8501,1509824,22380,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38718989,10195,2250085,45607,295591,10754,1954494,42692,2908058,53989,480893,13071,2427165,48714,3398225,63444,495763,13958,2902462,56596,3435252,63812,421259,14166,3013993,59957,26727369,95291,2441474,27109,24285895,92310,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5458913,4153,261149,12546,45137,4628,216012,10684,302901,15079,59376,4257,243525,13944,377253,17745,64769,5101,312484,16525,455148,18972,58350,4358,396798,16877,4062462,24847,372313,8050,3690149,24273,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3477454,1756,160158,10781,28548,3078,131610,9831,173821,11619,38916,4115,134905,10621,216263,14769,40813,4196,175450,12556,231295,14513,37977,3689,193318,13288,2695917,22698,243319,7416,2452598,22543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,932232,1691,64617,5498,6744,1501,57873,5062,62232,7642,10785,1974,51447,7176,70741,8804,10936,2114,59805,8373,68465,8114,9028,1938,59437,7532,666177,13474,69421,4031,596756,14161,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,658491,842,59021,6123,13326,2536,45695,5477,50899,6200,12875,2363,38024,5361,39290,5558,9453,1944,29837,4645,40586,6492,7857,2175,32729,5968,468695,9287,46374,3767,422321,9307,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20530378,6648,1277799,38608,211595,10632,1066204,35658,1610773,41700,328657,11762,1282116,35802,2054732,43148,363775,12698,1690957,39991,2173737,38923,330685,12324,1843052,35866,13413337,66197,1570672,20732,11842665,69828,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
