GEO_ID,B27023_001E,B27023_001M,B27023_002E,B27023_002M,B27023_003E,B27023_003M,B27023_004E,B27023_004M,B27023_005E,B27023_005M,B27023_006E,B27023_006M,B27023_007E,B27023_007M,B27023_008E,B27023_008M,B27023_009E,B27023_009M,B27023_010E,B27023_010M,B27023_011E,B27023_011M,B27023_012E,B27023_012M,B27023_013E,B27023_013M,B27023_014E,B27023_014M,B27023_015E,B27023_015M,NAME,B27023_001EA,B27023_001MA,B27023_002MA,B27023_002EA,B27023_003EA,B27023_003MA,B27023_004MA,B27023_004EA,B27023_005EA,B27023_005MA,B27023_006EA,B27023_006MA,B27023_007MA,B27023_007EA,B27023_008EA,B27023_008MA,B27023_009MA,B27023_009EA,B27023_010MA,B27023_010EA,B27023_011MA,B27023_011EA,B27023_012EA,B27023_012MA,B27023_013MA,B27023_013EA,B27023_014MA,B27023_014EA,B27023_015MA,B27023_015EA,state
0400000US01,456429,8213,226085,5035,79085,5258,67446,5237,11639,2040,147000,5542,92137,4769,54863,4265,230344,6195,105669,6119,88777,5616,16892,2403,124675,5481,75240,4537,49435,4141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,65653,3415,33050,2664,9455,1673,6694,1596,2761,994,23595,2382,14154,2120,9441,1584,32603,1550,11334,1529,8445,1259,2889,868,21269,1598,10900,1294,10369,1355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,658720,6992,333965,5668,120585,5461,93737,4992,26848,3134,213380,6250,131435,5505,81945,4791,324755,4964,129882,5277,94732,5316,35150,3020,194873,5979,106957,5463,87916,5784,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,278804,5302,141415,3978,47939,4111,38864,3880,9075,1479,93476,4732,57972,4318,35504,3140,137389,3437,52354,3662,39520,2976,12834,2059,85035,4094,49965,3903,35070,3745,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3829960,16518,1946447,12636,855425,14622,612665,12507,242760,9643,1091022,16228,662558,15852,428464,12131,1883513,12504,945345,13214,651702,11231,293643,9194,938168,14488,556093,12464,382075,9368,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,516261,8275,263630,5590,98984,5186,79692,4528,19292,2774,164646,5451,112309,5616,52337,4370,252631,4755,104368,5386,83294,4397,21074,2468,148263,6120,97615,5092,50648,3566,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,336766,5274,168094,3738,76822,4109,63842,4015,12980,1968,91272,4759,61459,4324,29813,3144,168672,3590,88608,4181,72019,4071,16589,2085,80064,3972,52936,3419,27128,2969,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81383,3166,39026,2163,15102,1733,13368,1755,1734,557,23924,2268,18244,2139,5680,1537,42357,1944,21573,1998,19612,1967,1961,782,20784,2228,14069,2143,6715,1507,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,82616,2441,37247,1846,16011,1915,14106,1840,1905,844,21236,1990,13286,1878,7950,1709,45369,1865,23034,2191,20154,2178,2880,845,22335,2424,17202,2653,5133,1358,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1762279,14003,893939,9738,360848,11195,281103,9625,79745,6470,533091,13232,334407,10833,198684,9664,868340,9975,402689,10192,309218,9605,93471,7022,465651,10789,277564,9498,188087,8020,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,969328,9884,480924,8165,174669,7705,139825,6353,34844,4803,306255,9642,196285,8532,109970,6344,488404,6884,212433,7688,171737,6654,40696,4158,275971,9839,172688,9120,103283,6499,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,108840,2815,53933,2128,19951,2008,17343,1948,2608,830,33982,2632,27487,2520,6495,1293,54907,2050,21658,2244,17794,2166,3864,1140,33249,2509,24242,2235,9007,1652,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,153693,4594,79923,3084,28977,2590,25194,2606,3783,1212,50946,3287,35781,3138,15165,2111,73770,2740,28128,2774,23747,2623,4381,1235,45642,3018,30918,2847,14724,2100,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1176832,8898,589816,5768,233974,7233,190643,5654,43331,4196,355842,7956,244939,7785,110903,6043,587016,6657,268084,7996,211934,7097,56150,4113,318932,9430,204493,8437,114439,6144,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
