GEO_ID,B05014_001E,B05014_001M,B05014_002E,B05014_002M,B05014_003E,B05014_003M,B05014_004E,B05014_004M,B05014_005E,B05014_005M,B05014_006E,B05014_006M,B05014_007E,B05014_007M,B05014_008E,B05014_008M,B05014_009E,B05014_009M,B05014_010E,B05014_010M,B05014_011E,B05014_011M,B05014_012E,B05014_012M,B05014_013E,B05014_013M,B05014_014E,B05014_014M,B05014_015E,B05014_015M,B05014_016E,B05014_016M,B05014_017E,B05014_017M,B05014_018E,B05014_018M,B05014_019E,B05014_019M,NAME,B05014_001EA,B05014_001MA,B05014_002EA,B05014_002MA,B05014_003EA,B05014_003MA,B05014_004MA,B05014_004EA,B05014_005EA,B05014_005MA,B05014_006EA,B05014_006MA,B05014_007EA,B05014_007MA,B05014_008EA,B05014_008MA,B05014_009MA,B05014_009EA,B05014_010MA,B05014_010EA,B05014_011EA,B05014_011MA,B05014_012EA,B05014_012MA,B05014_013EA,B05014_013MA,B05014_014EA,B05014_014MA,B05014_015MA,B05014_015EA,B05014_016EA,B05014_016MA,B05014_017EA,B05014_017MA,B05014_018EA,B05014_018MA,B05014_019EA,B05014_019MA,state
0400000US01,169066,6916,84457,3965,2531,966,7347,1617,14873,2072,21630,2417,17147,2203,10680,1676,6677,1227,3572,900,84609,4335,2432,902,8931,2041,11626,1946,17073,2079,18806,2390,10828,1651,7259,1170,7654,1428,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58187,4466,25803,2816,750,494,1668,779,3678,951,5423,1296,4040,940,5043,1126,3375,855,1826,492,32384,2765,1261,773,2001,747,4027,1033,7094,1618,5149,915,5727,849,3223,854,3902,838,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,924900,18307,440125,10570,6767,1378,25190,2903,60534,5073,90754,5022,91909,4680,73135,4127,52092,3620,39744,2732,484775,11757,8340,1925,23016,3009,63445,4475,87771,4629,104196,4461,82737,3875,58788,3933,56482,3210,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,140078,5172,72181,4028,1440,648,4916,1213,12672,1699,20037,2526,15574,2053,8930,1461,6049,1280,2563,678,67897,3190,1039,573,4787,1223,10043,1676,16908,1843,16967,1915,7978,1486,6210,971,3965,1162,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10653414,47294,5113242,31847,76603,5227,205512,9322,564817,12822,979915,12262,1113660,14739,994226,12175,671037,11587,507472,8063,5540172,28026,72253,5432,197732,7172,535588,12007,985118,12866,1193014,13309,1040172,12376,780595,11170,735700,10983,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,550768,12818,273806,7511,7634,2078,18384,2643,45825,4324,59984,3592,60567,4085,41438,3155,23597,2223,16377,1560,276962,8607,9426,1756,18500,2498,34996,3505,59057,3720,64304,4018,39586,2507,26385,2795,24708,2265,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,530245,12137,252265,7337,5681,1246,14919,2206,33769,2827,51843,3965,50692,3323,43143,2873,29581,2400,22637,1853,277980,7970,5218,1378,15563,2466,32192,3201,51066,3867,58210,4058,44856,3162,34059,2834,36816,2920,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,98493,6244,46799,3634,1065,568,2946,1609,6312,1073,10902,1548,10349,1564,6454,1340,5756,1315,3015,681,51694,3912,2117,1046,2206,685,7891,1507,13125,1433,8810,1589,7592,1061,5912,1248,4041,1183,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101860,5844,50217,3078,1844,780,1501,588,8001,1304,14645,1816,10879,1907,6626,1133,4326,1141,2395,682,51643,3959,1946,1170,1605,590,10381,1995,14200,1684,8547,1633,6120,1135,5007,972,3837,723,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4379341,36643,2048935,20602,45692,4078,109070,5918,232318,10702,346893,11355,411097,12015,373955,8433,270974,7616,258936,6192,2330406,24578,42954,4246,113170,7395,235662,9506,371681,10003,433854,9378,422126,9265,331019,8850,379940,7673,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1065968,19136,534704,11986,9504,2306,33472,3510,82192,5543,129401,6081,116327,4850,88525,4996,49630,4395,25653,2728,531264,10995,11063,1714,30129,4576,68937,4444,124088,6085,123649,5517,83713,4491,49736,3343,39949,3352,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,265565,10755,109141,6289,1944,662,5641,1242,10958,1742,17394,2282,21334,2309,20547,1885,16427,1889,14896,1522,156424,6377,1877,770,5270,1220,13246,2283,26167,2617,26821,2286,29576,2185,24799,2260,28668,2567,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
