GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,B25096_018E,B25096_018M,B25096_019E,B25096_019M,B25096_020E,B25096_020M,B25096_021E,B25096_021M,NAME,B25096_001MA,B25096_001EA,B25096_002MA,B25096_002EA,B25096_003MA,B25096_003EA,B25096_004MA,B25096_004EA,B25096_005MA,B25096_005EA,B25096_006MA,B25096_006EA,B25096_007EA,B25096_007MA,B25096_008MA,B25096_008EA,B25096_009MA,B25096_009EA,B25096_010MA,B25096_010EA,B25096_011MA,B25096_011EA,B25096_012EA,B25096_012MA,B25096_013MA,B25096_013EA,B25096_014MA,B25096_014EA,B25096_015MA,B25096_015EA,B25096_016EA,B25096_016MA,B25096_017EA,B25096_017MA,B25096_018EA,B25096_018MA,B25096_019EA,B25096_019MA,B25096_020MA,B25096_020EA,B25096_021EA,B25096_021MA,state
0400000US01,1253199,12678,706185,12254,45154,3645,134584,5490,149796,6383,126805,5499,136728,5548,81925,4149,21023,2138,5464,955,4706,839,547014,10244,122083,5090,128272,6018,84049,4703,74238,4486,72841,3452,43786,3103,13831,1782,3313,784,4601,1113,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,102297,3493,2324,815,1966,644,6431,1345,12750,1541,31905,2432,37285,2372,7595,1107,1480,485,561,270,57047,2852,9023,1447,5017,709,3943,616,5453,894,12632,1261,15913,1507,3632,879,693,343,741,461,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,1064351,11053,25820,2546,58155,3526,120734,5724,198301,6177,299577,8175,253759,7028,70881,3977,21698,2614,15426,1802,587970,9396,97701,4244,69221,3904,72637,3942,75418,3942,119038,4872,100688,4039,31101,2450,10631,1396,11535,1577,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,416168,10084,29303,2847,92956,5235,100540,4596,75938,4201,69647,4101,36118,3193,7160,1192,2800,764,1706,671,336231,7826,73207,3439,87401,4222,57386,3728,45061,3448,42110,3050,19829,2209,6408,1061,2500,715,2329,763,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,5026144,24796,48868,3308,55518,4034,99211,5244,180055,6270,555494,10579,1430771,14667,1234904,15147,658249,10085,763074,10422,2098946,18787,141448,6128,100036,4872,85117,4772,94830,4965,226423,8218,481884,8604,430830,7500,230251,5719,308127,8036,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,994409,10836,14253,2284,20445,2361,38749,2893,73587,4202,214804,6435,399935,7802,156075,5099,45543,2649,31018,2026,400415,7760,33012,2396,21725,2087,21385,2028,31935,2734,78012,3581,122779,5568,59177,3224,16693,1552,15697,1721,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,611242,8820,7102,1073,16388,1838,53101,3356,98344,4531,165467,4938,165248,5708,55349,3140,21382,2006,28861,2304,286992,5911,9016,1281,11619,1563,27721,2560,45641,2889,76981,3395,70740,2743,23059,2412,8880,1408,13335,1388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,164071,5348,3254,818,3448,920,10570,1320,27515,2411,58541,3899,46527,3257,9708,1412,2696,708,1812,533,89877,3601,9131,1401,6237,1090,7493,1361,11778,1616,24160,2178,21952,2069,6382,944,912,351,1832,589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,90270,3334,1358,656,505,391,445,302,917,487,8696,1358,23000,2306,23233,1939,16598,1712,15518,1772,28535,2032,136,131,644,477,26,43,1001,460,3104,1011,7352,1100,5255,1016,4536,899,6481,1107,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,2850011,25547,85497,5073,230743,6948,363701,9975,483986,10687,758224,14764,637495,12957,176490,6023,53938,3600,59937,2972,2160176,20634,277558,8008,326831,9666,259898,8803,299344,8679,414353,9638,351317,9009,115977,5027,48533,3029,66365,3386,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2354922,19925,1529558,18602,59335,4445,177595,7993,275714,9405,293084,9306,330469,10126,261768,7539,86970,4435,24851,2455,19772,2423,825364,11595,134673,5413,167238,6630,122650,5700,119392,5326,125397,5856,98699,4676,34154,2396,9607,1489,13554,1782,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,268078,4714,172214,4524,867,377,748,270,2268,782,3089,808,12870,1603,37900,2541,55281,3119,32032,2128,27159,2054,95864,3693,1215,531,2734,950,2715,751,2314,781,8912,1305,19743,1839,27059,2124,16549,1358,14623,1573,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,435493,6933,280297,6541,5943,1261,17401,2205,43795,3722,59738,3523,78388,4376,59278,3644,10403,1482,3083,923,2268,614,155196,5564,17091,1709,16211,1827,21248,2050,26585,2174,37040,2743,25467,2604,7103,1433,2241,724,2210,715,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3182232,18239,2007439,17715,70274,3811,257803,6452,307793,7628,322561,7705,458379,9726,396784,8448,119236,4845,40911,2364,33698,2467,1174793,12243,126033,4758,193900,5518,175594,5625,177286,5695,230551,5552,175897,4626,53213,3326,19331,2117,22988,2203,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1765500,14956,1156805,14021,53907,3487,251649,6794,284426,8564,217395,7481,193535,6122,117779,5110,25648,2563,6028,930,6438,1175,608695,10157,93937,4707,151663,5641,118292,5119,93678,4201,82800,4569,46107,3842,13153,1974,4276,955,4789,928,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,900362,9741,554182,8106,26956,2169,108643,4166,121829,4799,101151,4276,108623,4047,69138,3283,12656,1523,3119,801,2067,515,346180,7299,50337,3167,79450,3557,66150,3053,57626,3050,54306,3376,27159,2016,6572,1046,1894,536,2686,681,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,743508,8948,438620,8776,25079,2421,84493,4198,80835,3932,80734,4312,89771,4338,58500,2713,13406,1619,3268,756,2534,610,304888,6701,56441,2849,70411,3136,52622,3132,43847,3029,44393,2673,27202,2281,6226,1070,1657,451,2089,533,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1146668,12735,667936,11058,39667,2982,116039,5202,160927,6209,128939,5425,124946,4895,71167,3708,16490,1872,5753,1270,4008,826,478732,9559,104949,5133,111549,4615,81362,4184,65827,3779,62163,3532,36729,2178,8768,1229,3793,910,3592,872,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1132229,12824,596545,11143,30229,3710,75408,4200,109645,5659,128165,6301,142061,5587,79048,4270,21302,2294,5401,1420,5286,1109,535684,8994,100701,4196,108420,5600,79379,4743,85480,4635,92176,4229,47688,3284,11793,1679,4926,1136,5121,1007,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
