GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001EA,B12002G_001MA,B12002G_002MA,B12002G_002EA,B12002G_003MA,B12002G_003EA,B12002G_004EA,B12002G_004MA,B12002G_005EA,B12002G_005MA,B12002G_006EA,B12002G_006MA,B12002G_007EA,B12002G_007MA,B12002G_008MA,B12002G_008EA,B12002G_009MA,B12002G_009EA,B12002G_010EA,B12002G_010MA,B12002G_011EA,B12002G_011MA,B12002G_012EA,B12002G_012MA,B12002G_013MA,B12002G_013EA,state
0400000US01,57562,4923,26079,3007,13847,2301,8356,1295,701,456,656,396,2519,802,31483,3274,14316,2718,9273,1524,961,523,2271,801,4662,1067,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,38792,4041,21782,2646,14067,2119,5643,1170,225,244,323,231,1524,654,17010,2198,7491,1425,6766,1381,653,516,358,202,1742,651,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161033,8557,79925,5512,46276,4269,22741,2199,1442,743,1249,521,8217,1507,81108,4802,39930,3590,25044,2199,2642,1250,3669,1047,9823,1632,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,51201,3754,27403,2655,11738,2103,10678,1651,909,579,656,329,3422,911,23798,2250,7481,1410,9598,1388,735,418,1866,654,4118,1173,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1225750,26305,616259,16769,340323,11704,211475,7178,9161,1659,7358,1369,47942,4134,609491,14584,294575,10740,212142,7255,12541,1815,26087,2703,64146,4296,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,122699,7551,60888,4883,30533,3710,22164,2185,1056,667,824,405,6311,1632,61811,4240,26871,2773,23625,2759,606,334,2228,642,8481,1515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,71570,5912,35387,3819,20701,3129,11592,2074,139,185,677,457,2278,793,36183,3765,20237,2722,10100,1802,549,494,1515,720,3782,1237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16532,2871,8898,2013,4537,1605,3105,982,71,123,79,96,1106,512,7634,1665,4795,1250,1642,585,140,150,250,184,807,464,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14529,2542,6919,1619,4695,1239,1640,632,51,86,185,231,348,299,7610,1734,4832,1273,1919,785,56,92,125,139,678,416,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,348859,15182,173137,10000,87324,7052,63204,5346,4768,1360,2579,771,15262,2243,175722,9482,74331,5799,57324,4757,6096,1399,12946,1966,25025,3270,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,164959,8651,75177,4668,40893,3705,27073,2628,945,532,597,318,5669,1338,89782,6439,44065,4452,30819,3267,2053,990,2738,944,10107,2194,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,224554,9278,113459,5446,58097,3855,44480,3220,1583,732,1364,580,7935,1216,111095,5595,47407,3512,41092,2839,1920,705,6892,1224,13784,2017,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,32257,3535,17959,2832,8787,1770,6605,1688,326,340,162,148,2079,869,14298,1852,6610,1497,5628,1402,47,78,201,223,1812,678,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,198171,9352,97734,6316,58296,4104,30322,2948,1257,633,1204,694,6655,1652,100437,5520,51573,3627,32687,2824,2248,888,4454,1140,9475,1756,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,99928,5816,48009,3395,29719,3182,13008,1552,423,353,480,358,4379,1166,51919,4002,26406,2906,15175,1834,709,434,3785,1213,5844,1498,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36028,3530,16860,2309,10835,2155,4640,855,74,76,43,56,1268,540,19168,2170,10486,1473,4939,1110,804,508,400,268,2539,926,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,59071,4015,29521,2696,15686,1908,10116,1544,340,225,394,254,2985,924,29550,2876,14859,1814,8873,1786,631,488,1928,626,3259,878,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,55101,4424,27976,2528,16867,2102,7518,1348,354,275,676,367,2561,957,27125,3266,12566,2022,8816,1508,998,592,1611,605,3134,924,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
