GEO_ID,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M,NAME,B14005_001MA,B14005_001EA,B14005_002EA,B14005_002MA,B14005_003EA,B14005_003MA,B14005_004EA,B14005_004MA,B14005_005MA,B14005_005EA,B14005_006MA,B14005_006EA,B14005_007EA,B14005_007MA,B14005_008MA,B14005_008EA,B14005_009EA,B14005_009MA,B14005_010MA,B14005_010EA,B14005_011MA,B14005_011EA,B14005_012EA,B14005_012MA,B14005_013EA,B14005_013MA,B14005_014EA,B14005_014MA,B14005_015EA,B14005_015MA,B14005_016MA,B14005_016EA,B14005_017MA,B14005_017EA,B14005_018EA,B14005_018MA,B14005_019EA,B14005_019MA,B14005_020EA,B14005_020MA,B14005_021MA,B14005_021EA,B14005_022MA,B14005_022EA,B14005_023EA,B14005_023MA,B14005_024EA,B14005_024MA,B14005_025EA,B14005_025MA,B14005_026EA,B14005_026MA,B14005_027MA,B14005_027EA,B14005_028MA,B14005_028EA,B14005_029EA,B14005_029MA,state
0400000US01,270436,6693,136091,3900,111318,3867,23524,2746,6434,1471,81360,3431,24773,2398,17174,1961,9862,1528,1558,817,5754,1459,7599,1619,1603,754,2050,919,3946,1023,134345,5538,115153,5151,29853,2637,5584,1307,79716,4816,19192,2681,13402,1895,6039,1396,1471,767,5892,1592,5790,1921,2119,1228,374,322,3297,1145,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37315,2364,21292,1816,16748,1741,3904,1329,988,488,11856,1343,4544,912,3607,824,2644,770,173,95,790,392,937,397,468,338,102,133,367,189,16023,1656,12536,1496,4139,886,883,457,7514,1080,3487,844,3180,835,2380,828,393,200,407,185,307,165,43,52,36,42,228,145,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,384769,5628,198300,3499,158333,4223,42377,3490,10710,1861,105246,4177,39967,3475,25714,2463,15721,1788,4579,1072,5414,1327,14253,1937,5753,1404,1585,642,6915,1473,186469,3921,160028,4787,47849,3708,13217,2361,98962,4260,26441,3178,20189,2721,12188,2001,2271,1125,5730,1535,6252,1612,1792,588,457,339,4003,1337,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,166700,4898,85596,3706,70338,3221,15589,2108,3697,922,51052,2920,15258,2041,11160,1708,6041,1255,1695,632,3424,1071,4098,914,1316,626,884,449,1898,720,81104,3724,69046,3574,21765,2579,4625,1078,42656,2914,12058,2176,10032,1996,5600,1621,1287,502,3145,1032,2026,739,549,390,121,116,1356,575,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2070389,12492,1062785,8158,903888,8997,167917,5698,46368,2824,689603,9900,158897,5823,124049,5379,68376,4395,17465,2327,38208,3594,34848,2937,10128,1682,5314,1436,19406,2276,1007604,8267,895066,8980,198419,6402,46072,3941,650575,10333,112538,5307,90627,4499,45851,4103,12466,2103,32310,2552,21911,2458,5474,1130,2759,805,13678,2039,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,291818,5735,149459,3883,123649,4320,44414,3155,6903,1383,72332,3711,25810,2655,18114,2057,12385,1681,2373,734,3356,1018,7696,1773,3438,1276,1068,630,3190,951,142359,3487,123027,3645,43759,3198,6159,1372,73109,3805,19332,2497,15339,2088,11438,1754,1203,574,2698,878,3993,1148,1938,979,507,331,1548,615,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,195311,3764,99075,2558,85695,2947,21807,2239,5309,1188,58579,2820,13380,1873,11280,1726,6488,1026,1621,677,3171,1242,2100,862,757,524,462,354,881,482,96236,2859,87977,3119,30066,3084,5110,1030,52801,3249,8259,1440,7056,1383,4340,1084,978,608,1738,645,1203,544,348,306,113,201,742,383,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49378,1873,25179,1483,21959,1806,5853,1107,795,566,15311,1573,3220,917,2373,864,1270,628,306,264,797,562,847,521,160,199,216,349,471,348,24199,1266,21869,1465,5254,1029,1227,658,15388,1562,2330,594,1918,579,1308,605,89,89,521,338,412,219,35,66,53,94,324,204,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30746,1906,13914,1268,11766,1307,1538,649,606,421,9622,1173,2148,825,1427,629,409,337,110,196,908,569,721,513,77,121,177,274,467,432,16832,1387,15719,1425,3548,790,761,417,11410,1457,1113,687,749,496,469,333,244,285,36,63,364,466,0,208,0,208,364,466,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,994511,9647,509276,7482,422716,7231,91751,5725,22511,2946,308454,6830,86560,5394,57124,4946,32888,3446,7098,1749,17138,3018,29436,3751,10813,2683,4581,1566,14042,2127,485235,7429,423563,8332,104847,6079,17862,2367,300854,8380,61672,4416,44227,3888,25155,3082,4395,1109,14677,2555,17445,2173,5748,1372,1567,690,10130,1709,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
