GEO_ID,B22001_001E,B22001_001M,B22001_002E,B22001_002M,B22001_003E,B22001_003M,B22001_004E,B22001_004M,B22001_005E,B22001_005M,B22001_006E,B22001_006M,B22001_007E,B22001_007M,NAME,B22001_001MA,B22001_001EA,B22001_002MA,B22001_002EA,B22001_003EA,B22001_003MA,B22001_004EA,B22001_004MA,B22001_005MA,B22001_005EA,B22001_006MA,B22001_006EA,B22001_007MA,B22001_007EA,state
0400000US01,1841665,12421,258110,8456,80561,4564,177549,6956,1583555,12135,668199,7352,915356,11447,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,27090,2405,8375,1170,18715,2219,223651,3591,77112,2313,146539,3390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,276388,7155,85904,4700,190484,6731,2276584,12691,976533,8442,1300051,11718,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,136635,6209,39255,3016,97380,5754,1016447,10475,416509,5543,599938,8021,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,1155077,20581,331415,7544,823662,17758,11850020,25738,4772610,17438,7077410,25140,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,162490,6163,50895,3475,111595,4819,1976717,10191,699907,7011,1276810,11297,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,163472,6717,66960,4218,96512,5391,1193290,8544,497789,6009,695501,7956,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,37164,2863,12176,1647,24988,2277,320773,4321,142473,2942,178300,4049,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,37115,2767,14619,1612,22496,2075,244360,3761,69580,2339,174780,3786,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,1042265,18658,428616,10759,613649,15603,6647699,23470,3137960,16014,3509739,22159,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3745074,16431,470762,13113,156267,5323,314495,11692,3274312,17372,1191794,9018,2082518,17182,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,458078,4221,48954,3363,24425,2704,24529,2345,409124,5024,196164,3540,212960,5000,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,625135,5980,60914,3977,15502,1742,45412,3731,564221,5594,224727,4153,339494,5232,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4808672,14430,618363,11607,204916,5946,413447,10185,4190309,18770,1656237,9974,2534072,19432,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2557299,10669,237307,8280,62618,3705,174689,6811,2319992,12557,907754,8069,1412238,11523,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1257505,6773,120558,4664,30112,2351,90446,4550,1136947,7231,447048,5337,689899,7189,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1128983,6821,86591,4518,25095,2224,61496,4045,1042392,8879,397492,5340,644900,7815,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1725034,10346,242950,7806,71758,4480,171192,6402,1482084,11874,602832,7225,879252,10590,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737123,11255,285732,7062,86699,4750,199033,7113,1451391,12307,589709,7080,861682,10304,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,540959,6050,69380,3789,26886,2305,42494,3012,471579,5908,216305,3683,255274,5706,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2207343,8135,226673,7172,86435,3956,140238,5595,1980670,9805,780987,7136,1199683,8764,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2604954,9148,305393,9047,125461,4430,179932,7716,2299561,12332,927721,9013,1371840,11353,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3930017,12926,514289,9486,164189,4579,350100,8947,3415728,14900,1435999,6636,1979729,14044,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2162211,7968,168078,5920,53529,2368,114549,5094,1994133,10092,757057,5937,1237076,8949,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
