GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001MA,B19019_001EA,B19019_002MA,B19019_002EA,B19019_003MA,B19019_003EA,B19019_004MA,B19019_004EA,B19019_005EA,B19019_005MA,B19019_006EA,B19019_006MA,B19019_007MA,B19019_007EA,B19019_008MA,B19019_008EA,state
0400000US01,48123,768,24243,655,55624,1080,62829,1927,76093,2595,69814,3334,66509,6747,63569,4998,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,73181,2628,41748,2168,82027,4425,90294,6721,97296,10444,95954,9216,101698,9615,90601,10614,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,56581,516,31148,548,65110,854,72014,1504,79574,2177,73840,3230,68130,4002,75228,5373,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45869,760,22537,645,52678,1294,60102,2196,66541,2298,64525,5021,66295,6281,64090,9984,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,71805,294,37473,553,79260,728,85954,903,95270,1138,85391,1606,83641,1950,96298,2277,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,69117,780,36551,609,77887,1562,86871,1731,101558,1753,93687,3549,92190,6843,92450,4270,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,74168,1345,38338,1337,83843,2339,99596,2960,113421,4445,113745,4630,107066,9377,96600,27419,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,62852,2464,32377,2394,70803,2137,82149,4421,97528,10134,82368,9211,71533,15785,109319,41937,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,82372,2651,56301,2763,117227,7407,108891,7863,134974,14625,130354,52107,81564,31673,89829,29976,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,52594,364,29357,529,60568,444,67294,1028,77994,1594,72062,1446,70172,3171,77389,4201,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,56183,572,30306,560,62988,944,71354,1461,81113,1751,73526,1970,73778,5087,69828,7570,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,77765,1795,36565,1541,79435,2184,93235,3487,105528,5591,103820,8866,114164,10581,161142,14791,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52225,871,27218,1299,58798,1788,65518,2862,71806,5759,68031,2804,73828,10941,79636,8016,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,62992,544,32460,539,71687,622,82925,1675,94975,2033,87846,3325,82968,6605,86324,5566,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,54181,658,28115,634,61047,653,73033,1796,82429,2136,77696,2913,75044,4397,78348,8563,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58570,851,30313,608,66611,1058,75360,2178,90191,1762,90155,4655,74921,8761,82034,8200,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,56422,702,30065,735,64268,1690,74153,2304,81605,3015,85852,5190,80341,7634,78575,11643,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,48375,630,24431,742,54647,943,64838,1995,76328,2815,72736,2863,74870,5727,76136,13219,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46145,634,23499,891,52929,1218,64559,2646,75528,2831,73352,4564,54983,4925,57966,7615,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,56277,1168,25731,1044,64457,1536,79750,3693,93719,3818,78625,6879,82121,11115,80462,21452,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,80776,707,43922,1240,87175,1515,104436,1860,115488,3130,106595,4275,110122,9550,112110,13355,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,77385,907,34847,942,84236,1388,104069,1971,126732,3127,120947,3649,122830,7165,121311,9748,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,54909,440,29132,477,62267,575,73977,1284,87841,1908,81236,2078,72702,3629,66229,2545,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,68388,658,33592,717,75879,1021,92480,1788,107357,2318,101817,2765,91849,5956,89831,8257,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,43529,855,21580,589,51580,1404,57058,2787,64413,5257,66290,5329,56081,4966,65300,4625,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,53578,629,28070,881,60908,736,71663,1101,81871,1796,81210,2464,76753,5218,75187,8709,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,53386,1427,27306,1445,61749,1513,68532,4009,92005,5352,82202,5793,74597,5622,71877,4423,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,59970,1014,31792,661,68497,1537,75280,2344,90618,2509,80307,3850,83526,9814,77718,9843,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,58003,947,32645,1322,63025,1891,71022,2341,82306,3093,75975,3209,88244,5913,80226,4263,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,73381,1694,32792,1765,76353,1658,97063,4209,112962,3389,116051,8836,108688,14015,133797,8694,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,80088,672,37361,971,82953,1252,102200,1765,121424,2398,116083,3898,109827,6365,111985,5150,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,46744,1195,26300,822,55645,1806,60928,2802,68424,4155,62434,5928,64467,10447,66136,17341,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,64894,507,32326,440,73176,796,85193,1403,100008,1862,93344,2796,92363,3461,96513,4987,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,52752,510,27978,662,61515,629,68948,1615,80437,1507,69607,2523,67135,5368,68991,4802,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,61843,1052,31121,1390,71508,2540,85783,7389,101851,3589,89844,8101,79018,4117,64497,20784,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,54021,411,28511,473,62017,576,73463,1440,86365,1319,81173,1827,78592,3567,79243,5663,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,50051,575,25598,487,58302,1014,62984,2122,71435,2106,65621,3123,69819,6682,67062,7564,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,60212,796,30034,789,67368,1307,75609,1923,89458,2856,83408,3931,80323,7972,86643,10870,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,59195,443,27864,440,66659,556,81791,877,95247,1278,91238,1984,87164,3328,81905,3712,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,63870,1861,28849,1969,76831,3622,83306,6100,100521,2994,106357,10650,79939,19852,81506,37920,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,50570,532,26213,567,59340,1337,64491,2305,73876,2873,68806,3508,67012,6961,66361,5635,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,56521,1314,30534,798,65527,2030,78418,3293,87661,4037,87763,8604,85554,9195,61441,11101,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,51340,410,26531,576,58156,846,66582,1305,76311,2015,70252,2779,68533,6444,77265,7862,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,59206,490,31863,327,65563,712,72359,966,82049,1084,71955,1384,73171,2358,73729,3537,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,68358,1229,32854,1624,66556,1053,78681,3165,87400,3536,87746,3271,91515,3344,106875,7369,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,57513,2088,29894,1523,69799,2354,77725,5335,84399,4967,94537,10618,60603,10284,81953,27340,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,71535,544,38050,1063,77685,1143,90988,2109,101120,1512,97022,3667,99916,5741,103083,7722,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,70979,583,36298,768,77359,966,87330,2204,103842,2848,90282,3309,85708,6044,100451,7053,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,43469,1393,22115,590,50930,1291,58443,3113,72820,4788,64578,5692,64985,14746,52547,16241,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,59305,587,30146,548,67271,646,80248,1344,95313,1888,86431,2047,79913,4648,79210,8092,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,60434,1759,30092,1957,68212,2941,80453,3548,88299,5884,87778,15764,80469,8805,74557,28576,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,19343,404,10867,303,20756,508,26338,1133,31251,1351,30239,3463,33528,6450,38931,15227,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
