GEO_ID,C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,NAME,C21001A_001MA,C21001A_001EA,C21001A_002MA,C21001A_002EA,C21001A_003EA,C21001A_003MA,C21001A_004EA,C21001A_004MA,C21001A_005EA,C21001A_005MA,C21001A_006EA,C21001A_006MA,C21001A_007EA,C21001A_007MA,C21001A_008MA,C21001A_008EA,C21001A_009EA,C21001A_009MA,C21001A_010EA,C21001A_010MA,C21001A_011EA,C21001A_011MA,C21001A_012EA,C21001A_012MA,C21001A_013MA,C21001A_013EA,C21001A_014MA,C21001A_014EA,C21001A_015EA,C21001A_015MA,state
0400000US01,2624062,5337,1267049,3658,987930,3343,108692,5139,879238,5759,279119,1249,120434,4147,158685,4103,1357013,3113,1006183,2720,14275,2282,991908,3377,350830,999,5093,1068,345737,1357,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,364032,2186,189878,1722,157813,1702,28161,2154,129652,2622,32065,346,16653,1441,15412,1423,174154,1230,143821,1179,4890,1249,138931,1502,30333,263,852,410,29481,418,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4266138,15781,2096043,8621,1595668,8308,162083,6525,1433585,9916,500375,1509,224114,5169,276261,5137,2170095,8917,1591415,8755,27721,3208,1563694,9156,578680,2131,9578,1498,569102,2656,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1799980,4305,874204,2660,680402,2799,77234,4593,603168,4823,193802,944,87807,3084,105995,3208,925776,2751,686012,2704,7395,1245,678617,2873,239764,752,2923,863,236841,1149,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18178318,46219,8990338,26546,7266987,25285,440949,10273,6826038,29066,1723351,5740,633858,9002,1089493,9667,9187980,26502,7083917,24886,64706,3825,7019211,25421,2104063,6781,20416,1939,2083647,6981,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3686465,9701,1833427,5765,1510707,5652,152002,5462,1358705,7559,322720,1373,143902,3390,178818,3559,1853038,5384,1471072,4848,26916,2367,1444156,5469,381966,1783,6427,1208,375539,1996,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2211292,8496,1063343,5282,831687,5292,47749,3412,783938,5641,231656,1294,93002,3239,138654,3649,1147949,5164,848700,4981,6260,1085,842440,5292,299249,1478,2487,762,296762,1630,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,535707,2940,256784,1978,192631,1970,15798,1998,176833,3020,64153,438,27016,1948,37137,1806,278923,1558,201397,1470,2261,771,199136,1676,77526,497,712,325,76814,611,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247905,3220,121920,2045,107527,1994,5706,1363,101821,2128,14393,385,4344,857,10049,890,125985,1633,109895,1498,1225,434,108670,1475,16090,537,471,342,15619,692,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12927767,24913,6261435,13893,4591018,13785,430977,11881,4160041,16583,1670417,3637,696143,10865,974274,11421,6666332,14565,4664220,12401,74963,4897,4589257,13325,2002112,5079,28059,2990,1974053,6155,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4762484,12149,2319202,7721,1864225,7625,175951,7038,1688274,10809,454977,1600,199587,5362,255390,5391,2443282,6932,1881411,6632,25248,3361,1856163,7172,561871,1639,7381,1269,554490,1945,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,272466,3419,136995,2369,100534,2355,19264,1957,81270,2805,36461,491,16102,1425,20359,1430,135471,1932,101342,1920,4676,965,96666,2090,34129,369,618,312,33511,514,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1156360,5225,573326,2957,454158,2767,43953,3535,410205,4352,119168,962,53608,2653,65560,2740,583034,3179,449736,2963,6859,1308,442877,3348,133298,944,1170,414,132128,1056,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7214342,18033,3528453,10897,2834808,10515,178522,6610,2656286,12063,693645,2198,269619,6114,424026,6027,3685889,9389,2805366,8965,23741,2225,2781625,9325,880523,2286,7430,1165,873093,2562,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4343006,5596,2117250,3862,1703277,3777,146594,5920,1556683,6721,413973,1219,170029,4522,243944,4582,2225756,3791,1703939,3707,18347,1958,1685592,3987,521817,1333,4856,959,516961,1737,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2208023,4180,1082302,2453,855958,2311,64632,3099,791326,4067,226344,567,96115,3304,130229,3394,1125721,2396,842640,2265,7982,1113,834658,2364,283081,712,2775,717,280306,1093,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1878199,5285,914570,3334,728645,3150,66483,4038,662162,5225,185925,785,78115,2320,107810,2370,963629,2738,734495,2832,8539,1424,725956,3453,229134,935,2515,723,226619,1311,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3028595,4657,1466063,3275,1172890,3419,100399,5211,1072491,5730,293173,635,116052,4080,177121,4030,1562532,2527,1195332,2436,13822,1862,1181510,3136,367200,655,4562,898,362638,1083,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
