GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001MA,C17001_001EA,C17001_002MA,C17001_002EA,C17001_003MA,C17001_003EA,C17001_004MA,C17001_004EA,C17001_005EA,C17001_005MA,C17001_006EA,C17001_006MA,C17001_007MA,C17001_007EA,C17001_008MA,C17001_008EA,C17001_009MA,C17001_009EA,C17001_010EA,C17001_010MA,C17001_011EA,C17001_011MA,C17001_012MA,C17001_012EA,C17001_013MA,C17001_013EA,C17001_014MA,C17001_014EA,C17001_015EA,C17001_015MA,C17001_016EA,C17001_016MA,C17001_017EA,C17001_017MA,C17001_018MA,C17001_018EA,C17001_019MA,C17001_019EA,state
0400000US01,4752560,2493,802656,24897,347538,12956,139449,7875,182942,8175,25147,2582,455118,14817,125629,6896,276759,10103,52730,2948,3949904,24843,1941344,13438,412605,8426,1212780,9071,315959,2968,2008560,15316,400959,7724,1218521,10268,389080,2999,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,720472,1555,80012,7303,40894,3907,14152,2575,24224,2345,2518,689,39118,4325,12713,2351,22880,2496,3525,907,640460,7366,331333,4604,77529,3197,215360,2450,38444,923,309127,4959,75679,3037,196423,2848,37025,1315,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6856067,3981,1018935,28419,468950,13761,164800,9916,258082,9210,46068,2835,549985,17566,167499,7448,321031,11048,61455,4244,5837132,28204,2907152,14142,650128,9740,1755264,9554,501760,2978,2929980,17835,618679,7687,1731562,11304,579739,4318,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2916321,2511,478365,17030,216159,9606,81274,5550,117789,6319,17096,1676,262206,9969,75153,5615,155337,5921,31716,2614,2437956,17140,1212412,11036,278710,6011,735106,7121,198596,2630,1225544,9957,261520,5853,731113,6562,232911,2802,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38793027,8845,5160208,71947,2340073,36042,832258,18662,1306920,22766,200895,6673,2820135,43110,786631,20836,1683525,25693,349979,10357,33632819,72987,16842168,36415,3727418,19594,10911310,23081,2203440,6781,16790651,44596,3575084,22777,10559803,26203,2655764,11014,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5483104,3121,564312,17223,257815,10096,75603,5667,159932,6657,22280,2133,306497,10775,73440,6027,196409,7363,36648,3026,4918792,17310,2484404,10296,560878,6301,1597896,7518,325630,2240,2434388,11238,531548,6619,1528627,7913,374213,3411,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3482584,1446,334128,18741,145395,9057,45336,5399,86845,5394,13214,1783,188733,12135,47247,5298,113657,7329,27829,2260,3148456,18868,1550401,9442,330158,5662,980581,5935,239662,2103,1598055,12570,310760,5483,988514,7990,298781,2626,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,934947,1486,126986,9341,54069,4837,17585,3255,31440,2716,5044,1064,72917,5950,19170,3048,44433,3841,9314,1640,807961,9034,396622,4820,83928,3187,242112,2699,70582,1142,411339,5898,78503,3155,248645,3876,84191,1680,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,660642,544,109920,7135,45030,3830,14222,2050,26015,2854,4793,1349,64890,5512,17396,2680,40728,3711,6766,1271,550722,7081,267938,3727,48080,2101,192012,3066,27846,1383,282784,5853,43653,2673,197052,3793,42079,1339,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20569920,5871,2889506,57828,1300570,28864,436416,15894,696631,16762,167523,7444,1588936,33857,403763,13505,929173,21947,256000,9572,17680414,58572,8690714,30410,1669233,17692,5316401,18052,1705080,7929,8989700,35053,1627108,14556,5344452,22102,2018140,10569,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
