GEO_ID,B28009I_001E,B28009I_001M,B28009I_002E,B28009I_002M,B28009I_003E,B28009I_003M,B28009I_004E,B28009I_004M,B28009I_005E,B28009I_005M,B28009I_006E,B28009I_006M,NAME,B28009I_001EA,B28009I_001MA,B28009I_002EA,B28009I_002MA,B28009I_003MA,B28009I_003EA,B28009I_004MA,B28009I_004EA,B28009I_005MA,B28009I_005EA,B28009I_006EA,B28009I_006MA,state
0400000US01,197701,2245,173884,6600,608,628,154262,7951,19014,4326,23817,5813,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49763,639,48818,830,0,153,45217,1733,3601,1482,945,499,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2153947,2930,2032135,10927,3212,2250,1823326,19082,205597,16050,121812,10288,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,221167,1467,201065,4628,281,418,149516,7471,51268,6536,20102,4167,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15228257,6160,14505829,31223,15944,4276,13245600,43088,1244285,36067,722428,29339,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1184450,1810,1119563,7019,1128,608,1013316,13192,105119,10428,64887,6948,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,566186,1265,527419,5530,1369,1060,482330,8666,43720,6543,38767,5448,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88278,357,85497,1582,0,198,75598,3046,9899,2732,2781,1529,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,73455,787,69942,2200,0,208,58857,3971,11085,3751,3513,2184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5294852,4152,5008107,19807,4118,2023,4405307,30499,598682,24901,286745,19780,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,981736,3591,920267,10487,701,644,799644,16676,119922,14450,61469,9687,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,143382,1240,136467,2419,242,389,126653,3630,9572,3591,6915,2162,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,209682,844,200737,2801,151,203,181951,4842,18635,3883,8945,2660,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2175802,2930,2077757,8810,1144,992,1889376,16946,187237,14717,98045,8658,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,451059,1935,413174,6943,1540,1663,372147,8877,39487,6099,37885,6449,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,180698,1516,166263,3575,138,257,143847,4621,22278,3896,14435,3097,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,337138,1372,320972,3764,95,88,283705,6264,37172,5037,16166,3380,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
