GEO_ID,C27008_001E,C27008_001M,C27008_002E,C27008_002M,C27008_003E,C27008_003M,C27008_004E,C27008_004M,C27008_005E,C27008_005M,C27008_006E,C27008_006M,C27008_007E,C27008_007M,C27008_008E,C27008_008M,C27008_009E,C27008_009M,C27008_010E,C27008_010M,C27008_011E,C27008_011M,C27008_012E,C27008_012M,C27008_013E,C27008_013M,C27008_014E,C27008_014M,C27008_015E,C27008_015M,C27008_016E,C27008_016M,C27008_017E,C27008_017M,C27008_018E,C27008_018M,C27008_019E,C27008_019M,C27008_020E,C27008_020M,C27008_021E,C27008_021M,NAME,C27008_001EA,C27008_001MA,C27008_002EA,C27008_002MA,C27008_003MA,C27008_003EA,C27008_004EA,C27008_004MA,C27008_005EA,C27008_005MA,C27008_006EA,C27008_006MA,C27008_007MA,C27008_007EA,C27008_008MA,C27008_008EA,C27008_009MA,C27008_009EA,C27008_010EA,C27008_010MA,C27008_011MA,C27008_011EA,C27008_012EA,C27008_012MA,C27008_013MA,C27008_013EA,C27008_014MA,C27008_014EA,C27008_015EA,C27008_015MA,C27008_016MA,C27008_016EA,C27008_017EA,C27008_017MA,C27008_018EA,C27008_018MA,C27008_019MA,C27008_019EA,C27008_020MA,C27008_020EA,C27008_021MA,C27008_021EA,state
0400000US01,4793512,2005,2300832,5674,596872,6090,19116,2668,577756,6435,1362854,4533,45809,3816,1317045,6751,341106,2341,42590,2762,298516,3554,2492680,5724,572617,5779,16530,2773,556087,6935,1478253,5740,48308,3793,1429945,5871,441810,2129,42968,2692,398842,3542,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,716178,2175,366114,3066,99960,2241,12070,2065,87890,2674,225192,2474,16308,2158,208884,3300,40962,697,5500,919,35462,1158,350064,2412,94423,2035,12054,1943,82369,2262,215091,1690,20104,2485,194987,3026,40550,840,4343,961,36207,1280,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6908121,2138,3397227,4325,880537,4315,18853,2710,861684,5049,1968862,4663,49365,3903,1919497,6072,547828,1407,47266,3140,500562,3445,3510894,3887,848903,3593,20059,2481,828844,3983,2020797,3707,46884,3267,1973913,4933,641194,1474,41802,2886,599392,2699,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2949305,1321,1442421,4762,387964,4417,9778,1956,378186,5139,838765,3166,21219,2643,817546,3891,215692,2050,24952,2415,190740,3162,1506884,4657,363830,4000,8603,1899,355227,4538,878427,3532,21108,2279,857319,4175,264627,2089,22231,2254,242396,2869,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39046835,5485,19267819,7163,4880853,9401,74308,5842,4806545,9863,11982631,10162,142423,6195,11840208,11980,2404335,3306,117631,4579,2286704,5093,19779016,6604,4686620,8614,81447,5570,4605173,10396,12086653,8516,158576,6867,11928077,12012,3005743,4174,104451,4298,2901292,5736,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5514070,3163,2748288,4762,684900,3979,31308,3764,653592,5821,1715478,3981,52284,3884,1663194,5610,347910,1649,30915,2055,316995,2700,2765782,3756,649335,4154,28693,3435,620642,4949,1705586,3003,61159,3770,1644427,4884,410861,1605,31042,1975,379819,2692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536522,1187,1716979,2961,406892,2742,4934,1169,401958,2851,1057211,3129,7860,1360,1049351,3576,252876,1105,8739,1340,244137,1809,1819543,2573,385989,2926,6025,1428,379964,2638,1106944,3169,11158,1596,1095786,3387,326610,1546,7241,1202,319369,1838,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,947259,967,454461,1627,111791,1667,3375,1049,108416,1855,267044,1766,7312,1748,259732,2487,75626,668,6714,1250,68912,1294,492798,1502,106682,1441,4236,1261,102446,1892,292611,1410,7366,1582,285245,2238,93505,702,6410,1107,87095,1260,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,683808,611,320935,868,66097,923,1587,949,64510,1299,222199,1191,4025,1187,218174,1536,32639,367,2452,934,30187,1038,362873,800,67538,1265,2388,972,65150,1489,246490,1254,3264,832,243226,1590,48845,453,1734,719,47111,840,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20678704,3256,10026151,6882,2266960,7051,61586,4941,2205374,7613,5886588,8016,152969,8011,5733619,10853,1872603,3983,155119,6234,1717484,7118,10652553,6437,2183483,7531,69524,6064,2113959,10043,6194930,6660,166628,8564,6028302,11488,2274140,3678,142680,5506,2131460,6589,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
