GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001MA,B19101A_001EA,B19101A_002MA,B19101A_002EA,B19101A_003EA,B19101A_003MA,B19101A_004MA,B19101A_004EA,B19101A_005EA,B19101A_005MA,B19101A_006EA,B19101A_006MA,B19101A_007MA,B19101A_007EA,B19101A_008MA,B19101A_008EA,B19101A_009EA,B19101A_009MA,B19101A_010EA,B19101A_010MA,B19101A_011EA,B19101A_011MA,B19101A_012MA,B19101A_012EA,B19101A_013MA,B19101A_013EA,B19101A_014EA,B19101A_014MA,B19101A_015EA,B19101A_015MA,B19101A_016EA,B19101A_016MA,B19101A_017EA,B19101A_017MA,state
0400000US01,862419,9523,28530,2544,22008,2455,25533,3136,30826,2863,32203,3058,38541,3139,34851,2778,36506,2557,36603,3527,72654,4115,99355,5692,134557,5804,98544,4580,61812,3779,55438,3510,54458,2912,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,119524,3372,2675,753,1652,681,1609,596,2062,872,3217,994,3496,947,3233,818,3310,901,2940,780,8562,1276,11629,1822,18178,1948,16635,1645,12483,1430,14664,1777,13179,1710,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1348074,13234,48897,3803,29998,3009,38024,3947,50462,4384,47892,4004,53857,3739,57539,3837,62107,3930,55770,3909,112451,5383,156036,6448,198469,5895,151156,6759,91458,4745,94675,4124,99283,4588,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,601843,9278,20703,2223,17626,2202,17785,2017,26380,2196,30186,2712,28114,2578,32067,2967,32905,2581,28240,2352,55847,3543,70918,4383,87799,4332,56964,3292,31569,2488,36073,3087,28667,2307,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5527640,20576,159600,6627,117604,5396,143454,6548,173993,7087,170902,7459,188613,7024,182084,5802,193375,6764,173804,6012,352980,10202,507041,10256,713264,12233,620676,12146,438941,9297,580625,11200,810684,13138,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1186550,10088,27812,2641,20015,2035,22532,2474,27311,2733,33353,3014,35445,2927,40947,3907,40541,3013,40766,3605,79535,3251,123903,5365,183437,6237,149793,4766,104733,5076,125094,5100,131333,4408,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,698136,7365,15550,2323,8661,1789,8604,1583,12225,1861,14975,2000,17441,2374,17915,2173,22259,2175,20719,2433,42603,3467,58086,3770,95931,4626,87338,3996,68564,3690,85952,4741,121313,3987,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,173469,4536,5465,1369,3270,939,2885,715,3441,908,5136,1456,7398,1757,6359,1347,6183,1395,5120,1117,12358,1734,21335,2693,26518,2631,20967,2206,13339,1603,17460,2088,16235,1717,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,48707,2099,465,294,103,130,151,180,107,178,119,145,309,240,410,279,283,223,182,139,448,236,1499,589,2754,711,4193,908,4099,895,8655,1245,24930,2000,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3905118,22953,136308,6546,91827,5665,122291,5723,150163,6434,162042,7423,182014,7473,182048,6154,189746,6695,170959,6697,322992,9709,421115,9551,566644,12294,392599,9265,242158,8385,264970,8010,307242,7337,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1590594,12473,45589,3742,30874,2880,42583,3492,52484,4606,56241,4427,61978,4576,62731,4835,67516,4830,57456,4236,118416,5554,174455,6324,234445,7887,178632,6940,122216,5719,135563,5158,149415,5523,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,98502,3783,3537,1006,1093,446,2049,676,2447,768,2267,655,2723,712,1975,627,3325,837,2031,644,6042,1234,9110,1366,16581,2271,13533,1761,7963,1337,11813,1693,12013,1250,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,384590,6997,10929,1576,9295,1659,9059,1614,13285,2001,18328,2006,19668,2278,16489,1752,17690,2000,19096,2246,36550,3019,51499,3978,62706,3905,39346,3132,22755,2578,20525,2547,17370,1840,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2321108,14655,60649,4623,38484,2573,51395,3455,60516,4140,63787,3528,81201,4184,78439,4011,77955,4194,78318,3853,171246,6052,234100,7461,351740,8854,279881,7141,198615,6002,232972,6439,261810,6499,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1440645,10614,43660,3532,30318,2646,34931,2742,47493,3875,46857,3323,62770,3693,62493,3869,66519,3917,58437,3238,131520,4994,176508,5913,241002,7074,164197,5826,98006,4331,94666,4219,81268,4527,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,738325,7439,15716,1629,12369,1492,17209,1715,21961,2032,22575,2281,25986,2050,31740,2404,30991,2195,30009,2633,59197,3388,90841,3812,130416,4294,96833,4278,56447,2994,53147,3106,42888,2918,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,645053,6685,15769,1641,12924,1610,13240,1880,18135,2132,23376,2211,26753,2125,26944,2278,27286,1812,27653,2526,56403,2966,76583,3317,102759,4511,78279,4121,49126,2963,44789,2946,45034,2848,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
