GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001MA,B05004_001EA,B05004_002MA,B05004_002EA,B05004_003MA,B05004_003EA,B05004_004MA,B05004_004EA,B05004_005EA,B05004_005MA,B05004_006MA,B05004_006EA,B05004_007MA,B05004_007EA,B05004_008MA,B05004_008EA,B05004_009MA,B05004_009EA,B05004_010EA,B05004_010MA,B05004_011EA,B05004_011MA,B05004_012MA,B05004_012EA,B05004_013MA,B05004_013EA,B05004_014MA,B05004_014EA,B05004_015MA,B05004_015EA,state
0400000US01,38.9,0.2,37.5,0.2,40.3,0.2,38.9,0.2,37.5,0.2,40.2,0.3,39.4,1.0,37.7,1.3,40.6,0.7,45.9,1.7,45.7,1.4,46.3,2.5,36.1,0.9,35.4,1.2,37.2,1.3,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34.5,0.3,34.0,0.3,34.9,0.3,33.1,0.3,33.0,0.4,33.4,0.5,43.2,2.7,43.0,4.1,43.3,2.7,51.1,2.1,50.6,4.0,51.4,2.1,36.8,2.2,36.3,4.3,36.8,2.3,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,37.7,0.1,36.5,0.2,39.1,0.2,35.8,0.2,34.6,0.2,37.1,0.2,44.9,0.4,43.9,0.6,45.7,0.5,51.2,0.7,50.2,0.8,52.0,1.0,40.1,0.5,39.7,0.7,40.5,0.5,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38.1,0.3,36.7,0.2,39.7,0.3,38.0,0.2,36.5,0.3,39.5,0.3,39.5,0.9,38.5,1.1,41.0,1.5,47.6,1.3,48.3,2.2,47.1,1.8,36.7,1.1,35.9,1.3,37.8,1.7,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36.5,0.2,35.4,0.1,37.8,0.2,30.2,0.2,29.6,0.1,30.9,0.2,47.4,0.1,46.6,0.2,48.2,0.2,53.7,0.2,53.2,0.3,54.2,0.2,40.9,0.2,40.3,0.2,41.7,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36.8,0.2,35.8,0.1,37.8,0.2,35.9,0.1,35.1,0.2,36.9,0.2,41.4,0.5,40.6,0.5,42.2,0.7,47.7,0.7,47.6,1.0,47.8,1.0,37.7,0.6,37.1,0.7,38.4,0.9,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40.9,0.2,39.2,0.2,42.6,0.2,39.5,0.3,37.6,0.3,41.2,0.3,44.9,0.6,43.6,0.8,46.0,0.8,51.6,0.8,52.0,1.0,51.2,1.1,38.6,0.8,37.5,1.0,39.5,1.1,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40.1,0.3,38.5,0.5,41.7,0.5,39.9,0.4,37.9,0.5,42.3,0.6,40.8,0.9,41.9,1.6,40.2,0.7,51.4,1.9,51.7,2.2,50.8,2.9,34.7,1.8,35.9,2.2,33.7,1.9,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34.0,0.2,33.9,0.3,34.1,0.2,32.9,0.3,32.5,0.4,33.2,0.4,38.6,1.3,39.1,1.7,38.0,1.7,47.7,1.9,47.4,3.1,47.8,2.0,35.3,0.8,35.9,1.1,34.8,1.5,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42.0,0.2,40.6,0.2,43.6,0.1,39.0,0.1,37.5,0.2,40.5,0.2,48.1,0.3,47.0,0.3,49.2,0.3,53.9,0.3,53.2,0.4,54.5,0.4,41.2,0.4,40.6,0.4,41.9,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36.8,0.1,35.5,0.1,38.0,0.1,35.7,0.2,34.1,0.2,37.1,0.2,41.7,0.3,41.0,0.4,42.3,0.5,48.9,0.7,49.2,0.8,48.5,0.9,37.1,0.4,36.8,0.5,37.4,0.5,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,39.2,0.2,37.7,0.3,40.5,0.3,35.2,0.3,34.7,0.3,35.8,0.4,50.4,0.8,48.4,1.2,51.6,1.3,55.3,0.8,53.9,1.1,56.2,1.0,42.7,1.0,41.3,1.5,43.8,1.2,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
