GEO_ID,B01001A_001E,B01001A_001M,B01001A_002E,B01001A_002M,B01001A_003E,B01001A_003M,B01001A_004E,B01001A_004M,B01001A_005E,B01001A_005M,B01001A_006E,B01001A_006M,B01001A_007E,B01001A_007M,B01001A_008E,B01001A_008M,B01001A_009E,B01001A_009M,B01001A_010E,B01001A_010M,B01001A_011E,B01001A_011M,B01001A_012E,B01001A_012M,B01001A_013E,B01001A_013M,B01001A_014E,B01001A_014M,B01001A_015E,B01001A_015M,B01001A_016E,B01001A_016M,B01001A_017E,B01001A_017M,B01001A_018E,B01001A_018M,B01001A_019E,B01001A_019M,B01001A_020E,B01001A_020M,B01001A_021E,B01001A_021M,B01001A_022E,B01001A_022M,B01001A_023E,B01001A_023M,B01001A_024E,B01001A_024M,B01001A_025E,B01001A_025M,B01001A_026E,B01001A_026M,B01001A_027E,B01001A_027M,B01001A_028E,B01001A_028M,B01001A_029E,B01001A_029M,B01001A_030E,B01001A_030M,B01001A_031E,B01001A_031M,NAME,B01001A_001EA,B01001A_001MA,B01001A_002EA,B01001A_002MA,B01001A_003MA,B01001A_003EA,B01001A_004MA,B01001A_004EA,B01001A_005MA,B01001A_005EA,B01001A_006EA,B01001A_006MA,B01001A_007EA,B01001A_007MA,B01001A_008MA,B01001A_008EA,B01001A_009MA,B01001A_009EA,B01001A_010MA,B01001A_010EA,B01001A_011EA,B01001A_011MA,B01001A_012EA,B01001A_012MA,B01001A_013MA,B01001A_013EA,B01001A_014MA,B01001A_014EA,B01001A_015MA,B01001A_015EA,B01001A_016EA,B01001A_016MA,B01001A_017EA,B01001A_017MA,B01001A_018EA,B01001A_018MA,B01001A_019EA,B01001A_019MA,B01001A_020MA,B01001A_020EA,B01001A_021EA,B01001A_021MA,B01001A_022EA,B01001A_022MA,B01001A_023EA,B01001A_023MA,B01001A_024EA,B01001A_024MA,B01001A_025EA,B01001A_025MA,B01001A_026EA,B01001A_026MA,B01001A_027EA,B01001A_027MA,B01001A_028EA,B01001A_028MA,B01001A_029EA,B01001A_029MA,B01001A_030EA,B01001A_030MA,B01001A_031EA,B01001A_031MA,state
0400000US01,3312718,7193,1620711,4966,90752,1966,94485,3384,100550,3670,59302,1384,45910,2189,100191,2609,104103,1428,100202,2131,197455,2335,221261,1701,227381,816,173264,1158,83005,2235,22850,2243,1692007,4441,87681,2029,88576,4448,97795,4659,59700,1448,46183,2938,98743,3102,103604,1651,99384,1558,194903,1658,224018,1523,240590,952,194603,754,112587,2570,43640,2560,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,474856,3312,251235,1927,14930,443,14115,1155,13669,1283,7975,498,5281,988,18392,1376,21421,841,19403,574,33255,748,33805,596,36924,490,22870,382,7243,553,1952,533,223621,2261,14416,709,13110,1232,13158,1309,7789,517,3911,717,13644,944,17334,542,17557,719,30025,1013,29274,660,33070,280,19927,277,7599,690,2807,638,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5442417,25445,2698948,13267,156454,3201,158728,4789,175387,5421,102247,2299,70400,2390,178906,3175,187128,3096,172110,2934,326315,3995,331534,2363,339364,1947,294461,1439,159303,2987,46611,2793,2743469,14972,149737,3271,150284,5395,170726,5831,99590,2048,68924,2680,160999,3687,176453,2930,161197,2758,317953,2738,337083,2989,371843,1903,329860,1580,177212,3973,71608,3771,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2293307,7105,1132180,4730,67210,1753,66497,3472,74939,3199,46039,1636,31296,2092,72354,2035,74828,2161,70063,1854,140435,1941,146063,1250,148654,904,116657,1042,61176,1846,15969,1650,1161127,4619,62157,1934,69121,3866,64063,3386,39386,1381,31459,2250,68745,2346,72527,1961,69288,1509,138426,1858,146738,1414,159453,827,132093,836,76225,2171,31446,2194,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23181769,68345,11587075,37436,682225,8795,693227,10056,713434,12276,431748,5509,284467,5069,778015,7838,890037,8807,839993,7041,1493700,10474,1547152,8752,1509726,5995,1038950,4910,489168,5370,195233,5726,11594694,37190,646846,8662,635895,10545,706678,11862,407293,6100,275442,4584,720647,7645,826351,7788,781856,6667,1419293,8774,1512295,8100,1558035,7021,1156368,5686,613069,8115,334626,8098,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4720495,13280,2373012,7853,135731,2555,140831,4569,152209,4718,86899,1447,63918,2227,157204,2949,185683,2770,188284,2049,325943,3063,307502,2974,306088,1625,209447,1249,85201,2416,28072,2123,2347483,8005,128664,2314,134007,4906,143898,5116,83710,1926,56466,1797,143754,2651,174435,2268,170374,2153,306625,2669,304787,2218,318797,1507,226727,1493,105621,2452,49618,2178,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2723013,12447,1329417,7408,62280,1698,65932,3478,80104,3463,51215,1352,38249,1426,91419,2044,77654,1702,76297,1782,148205,2214,196553,1770,209853,1478,137968,1060,62505,2238,31183,2202,1393596,7230,58410,1717,62042,3533,76737,3142,47574,1274,37054,935,86290,1906,71901,1449,76106,1715,152204,1961,204763,1909,221266,1533,156577,1059,88088,2782,54584,2728,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,662084,4020,322157,2320,16556,861,18345,1706,17091,1647,11114,394,8109,674,17961,718,22343,643,20197,470,35805,1041,43025,1028,47458,723,39591,468,18501,996,6061,1004,339927,2394,16439,679,16069,1779,17970,1801,10297,480,7721,353,17773,791,21779,663,20465,764,36609,786,44592,599,52687,528,44748,407,22812,1321,9966,1299,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,284536,4734,141262,2869,8360,693,4956,710,2673,639,1614,287,3949,963,10116,1049,19848,566,22117,766,25594,935,16157,789,11485,341,8703,271,4397,583,1293,511,143274,2416,7423,854,4519,810,3543,676,1388,219,5281,1218,12530,1309,24273,609,22365,658,22581,556,13077,615,10204,441,9395,430,5031,470,1664,536,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15768315,33431,7727807,18371,384764,3983,383468,8650,415075,8624,249473,3212,172778,4121,442037,5990,499433,4525,477048,4569,909019,6149,1048750,4834,1075545,3174,938240,2709,535392,6366,196785,6976,8040508,18429,367712,3586,369155,10164,389108,10250,242845,3336,162142,3053,414948,4133,481979,4648,458432,4790,901585,5477,1070135,4119,1180355,3992,1066782,4421,635954,8465,299376,7723,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
