GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001MA,B12002B_001EA,B12002B_002MA,B12002B_002EA,B12002B_003MA,B12002B_003EA,B12002B_004EA,B12002B_004MA,B12002B_005EA,B12002B_005MA,B12002B_006EA,B12002B_006MA,B12002B_007MA,B12002B_007EA,B12002B_008EA,B12002B_008MA,B12002B_009EA,B12002B_009MA,B12002B_010EA,B12002B_010MA,B12002B_011MA,B12002B_011EA,B12002B_012MA,B12002B_012EA,B12002B_013MA,B12002B_013EA,state
0400000US01,1039746,5607,473677,3589,241787,6078,146973,5565,16363,2417,13752,1764,54802,4231,566069,3785,268988,6277,140621,5432,28674,2795,52753,3165,75033,4309,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18583,1176,11115,855,4905,1201,5037,1223,249,223,113,191,811,397,7468,675,2531,835,2822,1008,103,144,395,357,1617,822,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,241146,4321,127486,2860,66481,4164,41268,3164,2470,833,2619,794,14648,2165,113660,3057,50546,2984,32842,2625,4612,1483,5606,1214,20054,2590,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,356087,3725,167068,2253,84383,3025,53143,3247,5213,1354,5581,1223,18748,2335,189019,2659,85524,3960,50277,3615,10114,2004,17823,1900,25281,2683,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1876622,13427,919399,8747,471971,9539,303007,8632,23248,2528,20852,2302,100321,4716,957223,6840,471269,9277,239411,6577,34116,3381,77926,4400,134501,5435,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,181374,4514,96671,3057,42857,2844,37713,2686,2261,1033,1855,663,11985,1762,84703,2624,36761,2927,28340,2743,2552,1215,6064,1550,10986,1526,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,304587,5679,143160,3442,75571,3863,46794,3125,3025,989,3459,777,14311,2075,161427,3471,77415,3581,43676,3362,3835,1060,10656,1775,25845,2686,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,169055,2534,77149,2042,38002,2628,27710,2807,1801,731,1916,734,7720,1318,91906,1316,46919,2591,24124,2345,1813,769,7931,1192,11119,1909,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,260762,1688,114644,937,71672,2566,24162,2405,3880,1051,2460,733,12470,1536,146118,1271,85416,2767,23217,2100,5150,1344,15855,1630,16480,2029,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2670310,14784,1261241,8174,642415,10560,426092,11222,36678,3465,28122,3327,127934,6202,1409069,9844,663654,11895,398930,9827,49556,3816,102492,5545,194437,7468,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2590423,9087,1181396,6419,597143,11520,405876,10210,33341,3244,23358,2593,121678,5981,1409027,5924,660628,11470,394711,10921,55345,3840,106444,5279,191899,7899,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,19916,1815,12890,1326,5473,1296,6011,1139,323,304,152,174,931,417,7026,1017,1454,612,3096,998,449,451,352,278,1675,1187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9089,2020,5534,1339,2126,814,2939,1207,232,365,0,201,237,235,3555,1246,991,536,1443,621,513,653,608,569,0,201,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1451453,6978,668768,4500,383732,7166,179697,6156,20255,2566,20614,2103,64470,3947,782685,4565,414648,7464,169546,6296,26393,3059,71715,3646,100383,4549,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,479339,4829,224267,3835,120186,4307,69355,3275,5331,1324,5258,1169,24137,2161,255072,3185,126675,4801,62700,3962,7841,1580,21703,2017,36153,3763,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,78822,2546,42036,1835,24381,2011,11765,1605,1010,505,1323,642,3557,912,36786,2050,19534,1812,8991,1436,1161,640,1980,652,5120,1329,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,129331,3511,68102,2559,31927,2639,24591,2241,1427,604,1650,567,8507,1462,61229,2234,27866,2508,18761,2065,1674,626,3906,852,9022,1423,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,284573,4884,137772,3897,75117,3910,40495,3010,4708,1061,4035,1016,13417,2103,146801,2796,71376,3419,34861,2950,4799,1176,12958,1898,22807,2222,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1180071,5936,549011,4350,299747,7523,157717,6647,18616,2519,18435,2085,54496,4028,631060,3743,318653,6412,147750,6842,23586,2623,56084,3291,84987,5523,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11488,1070,7387,949,4628,913,2514,746,0,175,0,175,245,261,4101,568,2204,502,1156,557,0,175,226,210,515,263,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1463470,7873,670298,3707,321843,5745,246522,6964,20754,3154,13753,1642,67426,4113,793172,6132,359877,8071,237274,7218,24665,2744,66288,3455,105068,4784,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,423595,7803,201197,5107,103486,5209,74480,4051,3871,1097,3427,977,15933,2371,222398,4125,112031,4109,62058,4041,9863,2077,15020,1907,23426,2624,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1093200,5794,512167,3895,292008,5442,141631,4898,11004,1750,13546,1824,53978,3295,581033,3986,304446,5922,129309,5394,19448,2708,47653,2721,80177,3706,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,253402,3483,130659,2665,67785,3335,46809,3019,2834,747,1625,694,11606,1510,122743,2356,55319,3310,39163,2873,4497,1052,8806,1571,14958,2208,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,880738,4602,406639,4042,210785,6419,127751,5383,16325,2491,11743,1820,40035,3362,474099,3561,226090,5350,125530,6134,24224,2785,41957,2667,56298,4292,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,546804,6546,254629,4053,137588,4603,73441,3997,9529,1703,5896,1221,28175,2661,292175,4026,141787,4660,69851,4834,12151,2212,25816,1829,42570,3735,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4004,791,2483,573,668,298,1187,544,34,59,27,45,567,340,1521,608,353,232,565,361,373,318,174,242,56,98,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,67813,2023,34459,1782,18258,1881,10627,1435,1006,463,526,321,4042,800,33354,1224,17090,1575,9120,1531,1159,510,2082,445,3903,941,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,216511,3269,107119,2266,54511,2863,33064,2473,3730,812,2012,909,13802,1970,109392,2095,51920,2825,27176,2569,4597,1320,5193,911,20506,2503,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,18730,2134,11558,1329,5690,981,4515,1177,830,723,21,40,502,320,7172,1516,3493,1203,2382,816,435,498,247,217,615,450,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,987897,7987,460478,5491,248852,7730,149444,6794,13789,2232,10676,1844,37717,3365,527419,4446,260313,7595,140403,6956,23017,2876,44290,3008,59396,3901,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,36540,2321,22156,1998,10278,2098,7762,1419,311,262,1094,801,2711,1025,14384,1803,6058,1201,4534,843,586,484,1430,716,1776,786,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2550559,15259,1170250,9364,648622,10084,361418,10000,40714,4045,29620,2465,89876,5311,1380309,9337,716944,12112,335880,8191,68376,4151,109057,4230,150052,5934,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1779437,8373,816435,5802,397366,8852,285676,8886,33155,3474,19423,2131,80815,4611,963002,6190,428579,9013,272113,9666,42177,3863,85027,4229,135106,6022,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,16143,1807,10133,1708,5998,1739,3240,904,134,146,0,161,761,598,6010,702,2312,912,2636,961,10,20,130,199,922,561,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
