GEO_ID,B02017_001E,B02017_001M,B02017_002E,B02017_002M,B02017_003E,B02017_003M,B02017_004E,B02017_004M,B02017_005E,B02017_005M,B02017_006E,B02017_006M,B02017_007E,B02017_007M,B02017_008E,B02017_008M,B02017_009E,B02017_009M,B02017_010E,B02017_010M,B02017_011E,B02017_011M,B02017_012E,B02017_012M,B02017_013E,B02017_013M,B02017_014E,B02017_014M,B02017_015E,B02017_015M,B02017_016E,B02017_016M,B02017_017E,B02017_017M,B02017_018E,B02017_018M,B02017_019E,B02017_019M,B02017_020E,B02017_020M,B02017_021E,B02017_021M,B02017_022E,B02017_022M,B02017_023E,B02017_023M,B02017_024E,B02017_024M,B02017_025E,B02017_025M,B02017_026E,B02017_026M,B02017_027E,B02017_027M,B02017_028E,B02017_028M,B02017_029E,B02017_029M,B02017_030E,B02017_030M,B02017_031E,B02017_031M,B02017_032E,B02017_032M,B02017_033E,B02017_033M,B02017_034E,B02017_034M,B02017_035E,B02017_035M,B02017_036E,B02017_036M,B02017_037E,B02017_037M,B02017_038E,B02017_038M,B02017_039E,B02017_039M,B02017_040E,B02017_040M,B02017_041E,B02017_041M,B02017_042E,B02017_042M,B02017_043E,B02017_043M,B02017_044E,B02017_044M,B02017_045E,B02017_045M,B02017_046E,B02017_046M,B02017_047E,B02017_047M,B02017_048E,B02017_048M,B02017_049E,B02017_049M,B02017_050E,B02017_050M,B02017_051E,B02017_051M,B02017_052E,B02017_052M,B02017_053E,B02017_053M,B02017_054E,B02017_054M,NAME,B02017_001MA,B02017_001EA,B02017_002EA,B02017_002MA,B02017_003EA,B02017_003MA,B02017_004EA,B02017_004MA,B02017_005MA,B02017_005EA,B02017_006MA,B02017_006EA,B02017_007EA,B02017_007MA,B02017_008EA,B02017_008MA,B02017_009EA,B02017_009MA,B02017_010MA,B02017_010EA,B02017_011MA,B02017_011EA,B02017_012MA,B02017_012EA,B02017_013EA,B02017_013MA,B02017_014EA,B02017_014MA,B02017_015MA,B02017_015EA,B02017_016MA,B02017_016EA,B02017_017MA,B02017_017EA,B02017_018EA,B02017_018MA,B02017_019EA,B02017_019MA,B02017_020MA,B02017_020EA,B02017_021MA,B02017_021EA,B02017_022MA,B02017_022EA,B02017_023EA,B02017_023MA,B02017_024EA,B02017_024MA,B02017_025MA,B02017_025EA,B02017_026MA,B02017_026EA,B02017_027MA,B02017_027EA,B02017_028EA,B02017_028MA,B02017_029EA,B02017_029MA,B02017_030EA,B02017_030MA,B02017_031EA,B02017_031MA,B02017_032MA,B02017_032EA,B02017_033MA,B02017_033EA,B02017_034MA,B02017_034EA,B02017_035EA,B02017_035MA,B02017_036EA,B02017_036MA,B02017_037EA,B02017_037MA,B02017_038MA,B02017_038EA,B02017_039MA,B02017_039EA,B02017_040EA,B02017_040MA,B02017_041EA,B02017_041MA,B02017_042EA,B02017_042MA,B02017_043MA,B02017_043EA,B02017_044MA,B02017_044EA,B02017_045EA,B02017_045MA,B02017_046EA,B02017_046MA,B02017_047EA,B02017_047MA,B02017_048EA,B02017_048MA,B02017_049MA,B02017_049EA,B02017_050MA,B02017_050EA,B02017_051EA,B02017_051MA,B02017_052EA,B02017_052MA,B02017_053EA,B02017_053MA,B02017_054MA,B02017_054EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,413808,10077,369186,9091,33451,3204,64,109,1177,693,787,715,42,73,14091,2862,677,694,1911,1566,2108,790,6461,3137,300,309,1407,825,581,675,1239,692,0,208,290,480,15480,3124,0,208,2156,1403,1001,944,0,208,124,216,5781,2032,159408,5821,362,481,274,315,986,790,27442,4027,1113,669,2756,1269,356,262,379,312,510,437,2898,897,651,586,131,188,30439,4622,945,927,101,130,31660,5746,7152,1738,12495,2244,5439,2016,2365,1067,530,590,482,497,1100,751,197,167,0,208,56,92,174,173,36644,6378,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,811214,21862,568934,19980,35537,5210,827,612,19281,2674,3121,1175,7476,3351,123265,8560,1563,777,6803,1807,11612,2692,28958,3399,893,561,2798,1459,1654,835,7529,1828,1762,1192,2591,1224,2973,1379,58,126,6924,1877,187,94,1190,958,691,820,69312,7983,21693,4211,3478,1315,792,583,4221,1366,1833,853,4004,1618,7845,2670,546,445,4635,1820,2589,1305,13980,2750,7739,2378,14590,4823,4709,1879,821,468,412,302,18464,4098,1600,493,117978,9197,35445,4589,6634,1774,989,716,1985,965,2617,1104,641,380,23,38,379,358,863,585,199338,11596,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,127071,7214,96829,6840,6622,1729,480,359,2999,1257,393,311,164,184,21360,2985,693,431,848,527,2070,1094,5888,1442,0,200,719,532,106,103,898,566,530,373,323,369,1204,878,7,15,1235,729,673,495,0,200,46,81,4549,1850,14001,3145,563,442,28,39,91,138,0,200,564,407,2599,1609,0,200,790,896,1050,821,10516,2734,850,627,614,330,1132,1014,4199,1204,0,200,873,726,0,200,7152,1663,5176,1989,2935,1496,478,529,476,453,665,558,1104,1023,0,200,212,252,255,372,21876,3204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,185956,10687,136844,8819,1541,934,114,178,9168,2501,1231,797,3329,1689,48268,4761,417,384,1150,651,2574,1016,3272,1099,0,226,555,292,811,514,7585,1642,476,494,838,544,314,359,0,226,4438,1480,249,346,1072,928,179,213,9217,4289,2180,1252,777,688,334,512,0,226,685,805,1173,691,593,569,426,456,6383,1541,0,226,3982,1084,13207,4352,544,548,0,226,184,128,0,226,342,470,0,226,9236,2268,6272,1942,1540,686,659,579,0,226,230,283,416,341,0,226,235,323,15,35,41285,6686,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
