GEO_ID,C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,NAME,C23002B_001MA,C23002B_001EA,C23002B_002MA,C23002B_002EA,C23002B_003EA,C23002B_003MA,C23002B_004EA,C23002B_004MA,C23002B_005EA,C23002B_005MA,C23002B_006MA,C23002B_006EA,C23002B_007MA,C23002B_007EA,C23002B_008MA,C23002B_008EA,C23002B_009MA,C23002B_009EA,C23002B_010EA,C23002B_010MA,C23002B_011EA,C23002B_011MA,C23002B_012MA,C23002B_012EA,C23002B_013MA,C23002B_013EA,C23002B_014MA,C23002B_014EA,C23002B_015EA,C23002B_015MA,C23002B_016EA,C23002B_016MA,C23002B_017MA,C23002B_017EA,C23002B_018MA,C23002B_018EA,C23002B_019MA,C23002B_019EA,C23002B_020EA,C23002B_020MA,C23002B_021EA,C23002B_021MA,C23002B_022MA,C23002B_022EA,C23002B_023MA,C23002B_023EA,C23002B_024MA,C23002B_024EA,C23002B_025MA,C23002B_025EA,C23002B_026MA,C23002B_026EA,C23002B_027EA,C23002B_027MA,state
0400000US01,1020520,5434,464061,3323,401040,3254,243662,5155,2039,879,241623,5326,216264,5897,25359,3112,157378,6100,63021,1376,9265,1350,8781,1317,484,333,53756,1731,556459,3820,463635,3815,304360,6676,447,258,303913,6685,279153,6644,24760,2562,159275,6710,92824,1468,11086,1595,10686,1590,400,271,81738,2178,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18523,1161,11115,855,9876,873,8836,1039,2015,819,6821,1144,6325,1074,496,390,1040,520,1239,375,338,282,338,282,0,153,901,426,7408,658,6938,703,5378,870,703,483,4675,904,4328,1001,347,358,1560,635,470,285,0,153,0,153,0,153,470,285,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,237427,4362,125936,2912,113069,2884,80311,3060,2390,943,77921,3200,71226,3407,6695,1632,32758,2722,12867,960,3593,825,3213,795,380,301,9274,1010,111491,3141,96610,3022,70427,3730,297,206,70130,3717,63120,3390,7010,1815,26183,3160,14881,846,2048,640,2048,640,0,208,12833,1002,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,347655,3475,162931,2151,141852,2156,85740,3730,444,419,85296,3727,76828,3741,8468,1749,56112,3610,21079,1264,2677,802,2154,684,523,366,18402,1123,184724,2601,156676,2592,109727,3348,519,686,109208,3500,99949,3452,9259,1711,46949,3264,28048,1226,2452,628,2402,627,50,88,25596,1242,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1850821,12896,905719,8698,785502,8823,534977,9560,10619,1664,524358,9743,463516,8604,60842,4429,250525,8675,120217,1599,22858,1992,21367,1856,1491,668,97359,2393,945102,6346,778823,6153,535328,7901,3113,1017,532215,7774,477707,7707,54508,4207,243495,8234,166279,2054,25081,2030,23657,1988,1424,574,141198,2880,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178153,4263,95115,2986,85757,2951,67170,3091,2199,934,64971,3008,61119,2970,3852,1313,18587,2520,9358,832,1950,549,1950,549,0,200,7408,813,83038,2524,71979,2541,52121,2486,366,322,51755,2569,48790,2676,2965,1133,19858,2199,11059,577,2158,650,2098,637,60,72,8901,651,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,300117,5547,140642,3427,124309,3544,89407,3703,494,415,88913,3712,78100,3303,10813,2008,34902,2800,16333,670,3610,887,3530,894,80,134,12723,950,159475,3440,134994,3469,104388,3589,47,66,104341,3588,95842,3767,8499,1602,30606,2778,24481,700,3826,944,3529,895,297,323,20655,1244,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,166887,2704,76292,2035,65882,1970,41841,2278,419,339,41422,2327,38199,2301,3223,1116,24041,2384,10410,264,1959,605,1951,604,8,14,8451,585,90595,1383,75942,1393,50828,3062,48,77,50780,3045,46621,3068,4159,1266,25114,2933,14653,233,2337,569,2191,585,146,151,12316,592,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,257338,1925,112453,1054,94647,936,63396,2684,421,274,62975,2646,54291,2540,8684,1438,31251,2759,17806,378,4523,988,4378,986,145,134,13283,1027,144885,1463,114775,1214,78811,3137,33,69,78778,3132,69145,3386,9633,1662,35964,3057,30110,633,6493,951,6188,951,305,266,23617,1140,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2623191,15090,1238133,8235,1084526,8151,747585,9572,5736,1403,741849,10126,668308,10887,73541,5971,336941,9107,153607,2592,27706,2553,26030,2482,1676,618,125901,3102,1385058,10029,1171252,9752,843873,13313,2310,983,841563,13292,770514,12391,71049,5708,327379,11261,213806,3165,28964,2732,27077,2565,1887,828,184842,3487,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
