GEO_ID,B27001B_001E,B27001B_001M,B27001B_002E,B27001B_002M,B27001B_003E,B27001B_003M,B27001B_004E,B27001B_004M,B27001B_005E,B27001B_005M,B27001B_006E,B27001B_006M,B27001B_007E,B27001B_007M,B27001B_008E,B27001B_008M,B27001B_009E,B27001B_009M,B27001B_010E,B27001B_010M,B27001B_011E,B27001B_011M,B27001B_012E,B27001B_012M,B27001B_013E,B27001B_013M,B27001B_014E,B27001B_014M,B27001B_015E,B27001B_015M,B27001B_016E,B27001B_016M,B27001B_017E,B27001B_017M,B27001B_018E,B27001B_018M,B27001B_019E,B27001B_019M,B27001B_020E,B27001B_020M,B27001B_021E,B27001B_021M,B27001B_022E,B27001B_022M,B27001B_023E,B27001B_023M,B27001B_024E,B27001B_024M,B27001B_025E,B27001B_025M,B27001B_026E,B27001B_026M,B27001B_027E,B27001B_027M,B27001B_028E,B27001B_028M,NAME,B27001B_001EA,B27001B_001MA,B27001B_002MA,B27001B_002EA,B27001B_003MA,B27001B_003EA,B27001B_004EA,B27001B_004MA,B27001B_005EA,B27001B_005MA,B27001B_006EA,B27001B_006MA,B27001B_007EA,B27001B_007MA,B27001B_008MA,B27001B_008EA,B27001B_009EA,B27001B_009MA,B27001B_010EA,B27001B_010MA,B27001B_011EA,B27001B_011MA,B27001B_012EA,B27001B_012MA,B27001B_013MA,B27001B_013EA,B27001B_014MA,B27001B_014EA,B27001B_015EA,B27001B_015MA,B27001B_016MA,B27001B_016EA,B27001B_017EA,B27001B_017MA,B27001B_018EA,B27001B_018MA,B27001B_019EA,B27001B_019MA,B27001B_020EA,B27001B_020MA,B27001B_021EA,B27001B_021MA,B27001B_022EA,B27001B_022MA,B27001B_023EA,B27001B_023MA,B27001B_024MA,B27001B_024EA,B27001B_025MA,B27001B_025EA,B27001B_026EA,B27001B_026MA,B27001B_027EA,B27001B_027MA,B27001B_028EA,B27001B_028MA,state
0400000US01,1274268,6970,102052,3419,99991,3517,2061,1033,244372,4741,235285,4842,9087,2459,148518,5511,112196,5718,36322,3694,154900,4980,124148,5191,30752,3378,159818,3404,137347,3623,22471,2844,153663,3362,132844,4107,20819,2704,160665,2214,145307,2838,15358,2194,97923,2637,97507,2669,416,350,52357,2207,51953,2194,404,382,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19201,2051,1512,800,1433,791,79,145,2619,961,2363,939,256,329,2995,1012,2339,1103,656,517,2951,991,2184,848,767,420,2904,1038,2786,1046,118,121,1977,774,1634,713,343,314,2575,599,2459,590,116,136,1283,422,1283,422,0,153,385,260,385,260,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,294922,7127,27119,2543,25793,2396,1326,925,57097,3767,52653,3883,4444,2021,33113,2868,29137,2761,3976,1056,44604,2607,40417,2689,4187,1281,39329,1956,33816,2317,5513,1418,35170,2074,31376,2218,3794,1167,31253,1264,29211,1329,2042,819,17348,1282,17063,1290,285,260,9889,1255,9889,1255,0,208,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,443533,5263,39867,2742,38692,2804,1175,823,92870,3587,88926,3501,3944,1271,51250,2947,42970,3060,8280,1752,50686,3862,44141,3837,6545,1778,53897,2459,47898,2739,5999,1500,54424,2399,50252,2201,4172,1197,53647,1842,50614,1999,3033,1020,31012,1712,30975,1708,37,50,15880,1267,15880,1267,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2188462,19404,152480,5481,149877,5406,2603,880,354551,9271,343047,9480,11504,2571,233521,6072,214575,6624,18946,3250,312779,5869,279822,6746,32957,3915,272329,5218,248137,5639,24192,3141,299231,3940,281233,4157,17998,2284,288559,2822,274942,3363,13617,2223,165268,2227,163529,2351,1739,761,109744,1862,108445,1971,1299,1016,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219994,6277,19689,1886,19554,1864,135,153,40949,2929,39891,2962,1058,859,24845,2430,22175,2368,2670,1007,32963,2063,28439,2331,4524,1339,31071,2073,28308,1993,2763,1216,26838,1787,24540,1915,2298,1008,23768,954,22207,1210,1561,987,12368,973,11959,945,409,422,7503,717,6957,899,546,534,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,370531,7314,28456,2094,27810,2101,646,401,69053,3398,65212,3405,3841,1252,41112,2520,36904,2491,4208,1125,52296,2237,46708,2548,5588,1688,47071,1907,42983,2109,4088,1347,50952,2024,45154,2565,5798,1514,42738,1660,40086,1777,2652,1136,23594,698,23090,774,504,332,15259,831,15205,817,54,96,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,204311,3825,13864,1544,13420,1552,444,381,39757,2048,38578,2054,1179,657,21628,1714,20336,1793,1292,550,25745,2102,23127,2245,2618,1229,25240,1384,23847,1524,1393,622,28469,783,27152,1071,1317,738,25800,708,24662,959,1138,585,15529,554,15387,584,142,176,8279,459,8279,459,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,312220,3129,24453,1871,24341,1881,112,187,47332,1981,46980,2043,352,308,35440,1781,33093,1853,2347,1107,43637,1700,40844,1876,2793,984,36982,833,34422,1213,2560,1049,37365,686,35976,785,1389,639,41234,662,39639,1040,1595,833,25741,578,25699,569,42,94,20036,706,19935,725,101,122,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3293756,19074,279376,7466,264574,7930,14802,3127,645742,10988,591695,11258,54047,6400,371645,8477,276265,9914,95380,7241,434456,8547,330883,9355,103573,5882,429812,6954,338750,6517,91062,5798,405270,5769,331876,6810,73394,5829,371408,4317,307341,5919,64067,4623,224709,4100,219498,4370,5211,1239,131338,3229,128885,3262,2453,1192,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
