GEO_ID,C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,NAME,C08513_001EA,C08513_001MA,C08513_002MA,C08513_002EA,C08513_003EA,C08513_003MA,C08513_004EA,C08513_004MA,C08513_005EA,C08513_005MA,C08513_006EA,C08513_006MA,C08513_007MA,C08513_007EA,C08513_008MA,C08513_008EA,C08513_009EA,C08513_009MA,C08513_010EA,C08513_010MA,C08513_011EA,C08513_011MA,C08513_012EA,C08513_012MA,C08513_013MA,C08513_013EA,C08513_014MA,C08513_014EA,C08513_015MA,C08513_015EA,C08513_016EA,C08513_016MA,C08513_017EA,C08513_017MA,C08513_018MA,C08513_018EA,C08513_019MA,C08513_019EA,C08513_020MA,C08513_020EA,C08513_021EA,C08513_021MA,C08513_022EA,C08513_022MA,C08513_023EA,C08513_023MA,C08513_024MA,C08513_024EA,C08513_025MA,C08513_025EA,C08513_026EA,C08513_026MA,C08513_027EA,C08513_027MA,C08513_028EA,C08513_028MA,C08513_029MA,C08513_029EA,C08513_030MA,C08513_030EA,state
0400000US01,1998361,17735,1889065,17471,109296,6225,64211,4928,45085,4088,1714031,19366,1629809,18852,84222,5501,51934,4214,32288,3399,167513,7476,149539,6843,17974,3090,7275,1618,10699,2555,7109,1483,6754,1464,355,280,257,247,98,121,40836,4011,37915,3873,2921,944,2004,783,917,439,68872,5117,65048,4967,3824,1068,2741,932,1083,541,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,357793,6276,297959,6159,59834,4139,40960,3478,18874,2324,244976,6359,213582,6317,31394,3203,22418,2735,8976,1581,42156,4237,30158,3165,11998,2777,6267,1446,5731,1826,6095,1567,4570,1189,1525,857,823,568,702,482,48582,3270,36333,2728,12249,1691,9590,1445,2659,821,15984,2030,13316,1856,2668,718,1862,688,806,387,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3058066,17683,2191073,17709,866993,15232,592300,12791,274693,8439,2342418,18961,1698170,17226,644248,12357,448857,11524,195391,7949,335213,10743,198943,7926,136270,7943,83608,5833,52662,4987,54740,5185,36768,4149,17972,2717,11698,2094,6274,1612,131780,6031,98030,6110,33750,3184,22853,2462,10897,1976,193915,7427,159162,6892,34753,3803,25284,3134,9469,1810,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1279217,13273,1173262,13168,105955,5066,55591,4389,50364,4553,1065999,12780,986937,13474,79062,5045,43643,3985,35419,3945,126071,6447,108180,6111,17891,2645,7815,1581,10076,2194,3835,1032,3307,1068,528,439,365,388,163,191,36156,4040,30521,3456,5635,1714,1938,634,3697,1623,47156,3936,44317,3739,2839,899,1830,658,1009,623,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18327531,48960,10039206,39654,8288325,39887,5000174,34080,3288151,26541,13544216,56744,7535665,41921,6008551,41336,3752456,35071,2256095,26366,1840872,27432,778555,14006,1062317,22689,547284,15570,515033,16140,918989,16819,448326,12608,470663,13591,257089,10347,213574,8306,930567,18808,528916,13487,401651,11911,225958,8908,175693,8718,1092887,19780,747744,16245,345143,10876,217387,8710,127756,6887,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2877189,17960,2405834,18514,471355,12873,309931,11308,161424,6964,2158675,16124,1813450,16857,345225,11520,232533,9690,112692,6268,245867,8636,184514,7693,61353,5031,33446,3579,27907,3045,91772,5885,68639,4971,23133,3254,13823,2531,9310,1956,136772,6113,120137,5786,16635,2023,11414,1632,5221,1121,244103,8996,219094,7981,25009,3169,18715,2564,6294,1710,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1739235,16004,1351239,14458,387996,9715,235720,8461,152276,7757,1384005,15380,1100574,15436,283431,8712,177512,7647,105919,6882,139839,7585,89405,6191,50434,4675,24292,3419,26142,3007,53225,4477,35609,3545,17616,2548,11632,2322,5984,1263,70992,4923,49227,3779,21765,3150,12506,2156,9259,2321,91174,4559,76424,4429,14750,2116,9778,1833,4972,1276,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,437567,7390,376911,7040,60656,4056,42485,3623,18171,2387,361055,7691,313147,7500,47908,3532,34882,3347,13026,2001,31175,3436,24905,2812,6270,1558,3077,1086,3193,1049,8022,1567,6342,1293,1680,830,1016,695,664,481,15088,2055,12396,1883,2692,973,1840,725,852,624,22227,2459,20121,2340,2106,695,1670,603,436,285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,844345,11107,628498,11007,215847,7977,144912,6426,70935,5860,358317,10218,264601,8543,93716,5570,62763,4630,30953,3157,72227,5042,46208,3924,26019,3203,15775,2320,10244,1944,299423,7322,227871,6405,71552,4903,46953,3370,24599,3601,86711,4949,67053,4412,19658,2715,15968,2453,3690,1085,27667,2948,22765,2540,4902,1132,3453,961,1449,704,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9300635,36915,6277772,37199,3022863,28892,1796520,23112,1226343,22860,7392830,40790,5084935,34045,2307895,28343,1425685,22983,882210,19276,846056,20556,482750,13729,363306,15941,179406,9479,183900,11075,160963,8893,76238,6496,84725,6949,36089,4217,48636,5228,326280,13488,211098,9696,115182,7577,58184,4760,56998,6468,574506,15223,422751,11022,151755,9022,97156,6523,54599,5096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
