GEO_ID,C23022_001E,C23022_001M,C23022_002E,C23022_002M,C23022_003E,C23022_003M,C23022_004E,C23022_004M,C23022_005E,C23022_005M,C23022_006E,C23022_006M,C23022_007E,C23022_007M,C23022_008E,C23022_008M,C23022_009E,C23022_009M,C23022_010E,C23022_010M,C23022_011E,C23022_011M,NAME,C23022_001EA,C23022_001MA,C23022_002EA,C23022_002MA,C23022_003EA,C23022_003MA,C23022_004EA,C23022_004MA,C23022_005MA,C23022_005EA,C23022_006MA,C23022_006EA,C23022_007EA,C23022_007MA,C23022_008EA,C23022_008MA,C23022_009EA,C23022_009MA,C23022_010MA,C23022_010EA,C23022_011MA,C23022_011EA,state
0400000US01,3103168,4965,1515212,3464,1126957,9582,826882,8344,300075,7700,388255,10019,1587956,4579,1040865,10203,641572,11900,399293,11588,547091,10376,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,490155,1772,260737,1563,217061,3456,139891,4880,77170,3935,43676,3760,229418,1722,172713,3285,98714,2945,73999,3603,56705,3571,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4370733,4784,2199968,3491,1738241,10838,1241690,10488,496551,11196,461727,10048,2170765,3439,1513224,12245,920951,14413,592273,10247,657541,12094,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1878300,3562,934974,3622,697822,8283,513503,8330,184319,6196,237152,8209,943326,3653,647883,7787,418202,9054,229681,7267,295443,7761,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26005942,11793,13105992,8373,10460853,22910,7353486,30572,3107367,28911,2645139,22160,12899950,8159,8957531,29174,5109507,32652,3848024,29829,3942419,30294,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3715114,5113,1891474,3810,1622174,8765,1180542,11143,441632,8640,269300,8521,1823640,3099,1408869,9207,831182,10342,577687,9104,414771,9716,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2336797,3443,1155547,2966,944128,7677,666272,8578,277856,7949,211419,6743,1181250,2794,902137,8922,517863,10714,384274,8814,279113,9068,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,608746,1831,297080,1604,229879,3359,165897,4232,63982,3747,67201,3535,311666,1476,217012,4180,138901,4590,78111,3869,94654,4495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,495662,1127,236756,750,191086,3775,141554,3523,49532,3430,45670,3756,258906,881,203530,4526,136849,4069,66681,4064,55376,4624,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13065400,9540,6468064,7667,5022168,19125,3639379,25732,1382789,22153,1445896,18765,6597336,7054,4637794,20868,2887759,21525,1750035,22467,1959542,20517,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6794877,7105,3328052,5990,2627165,14131,1944266,18812,682899,15548,700887,14854,3466825,6363,2458947,16051,1543242,19593,915705,16462,1007878,15937,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,899707,1715,461570,1414,385473,3817,289830,5482,95643,4682,76097,3868,438137,1301,330122,4407,215367,4963,114755,4876,108015,4149,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1065955,2881,538688,2880,451391,6217,311879,7355,139512,5926,87297,5561,527267,2864,382009,6785,197923,6582,184086,6506,145258,6501,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8301926,6762,4144484,5970,3349954,13261,2427689,16520,922265,13691,794530,14208,4157442,4933,3085251,16476,1827080,16341,1258171,16107,1072191,16892,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4251419,6264,2118237,5374,1726446,11381,1254377,11586,472069,10730,391791,10392,2133182,5265,1585291,11167,930904,12579,654387,10739,547891,10581,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
