GEO_ID,B17013_001E,B17013_001M,B17013_002E,B17013_002M,B17013_003E,B17013_003M,B17013_004E,B17013_004M,B17013_005E,B17013_005M,B17013_006E,B17013_006M,B17013_007E,B17013_007M,B17013_008E,B17013_008M,B17013_009E,B17013_009M,B17013_010E,B17013_010M,B17013_011E,B17013_011M,B17013_012E,B17013_012M,B17013_013E,B17013_013M,B17013_014E,B17013_014M,B17013_015E,B17013_015M,B17013_016E,B17013_016M,B17013_017E,B17013_017M,B17013_018E,B17013_018M,B17013_019E,B17013_019M,B17013_020E,B17013_020M,B17013_021E,B17013_021M,B17013_022E,B17013_022M,B17013_023E,B17013_023M,B17013_024E,B17013_024M,B17013_025E,B17013_025M,B17013_026E,B17013_026M,B17013_027E,B17013_027M,B17013_028E,B17013_028M,B17013_029E,B17013_029M,B17013_030E,B17013_030M,B17013_031E,B17013_031M,B17013_032E,B17013_032M,B17013_033E,B17013_033M,B17013_034E,B17013_034M,B17013_035E,B17013_035M,NAME,B17013_001EA,B17013_001MA,B17013_002EA,B17013_002MA,B17013_003EA,B17013_003MA,B17013_004MA,B17013_004EA,B17013_005MA,B17013_005EA,B17013_006MA,B17013_006EA,B17013_007MA,B17013_007EA,B17013_008MA,B17013_008EA,B17013_009MA,B17013_009EA,B17013_010MA,B17013_010EA,B17013_011MA,B17013_011EA,B17013_012MA,B17013_012EA,B17013_013MA,B17013_013EA,B17013_014MA,B17013_014EA,B17013_015MA,B17013_015EA,B17013_016MA,B17013_016EA,B17013_017MA,B17013_017EA,B17013_018MA,B17013_018EA,B17013_019MA,B17013_019EA,B17013_020MA,B17013_020EA,B17013_021MA,B17013_021EA,B17013_022MA,B17013_022EA,B17013_023MA,B17013_023EA,B17013_024MA,B17013_024EA,B17013_025MA,B17013_025EA,B17013_026EA,B17013_026MA,B17013_027EA,B17013_027MA,B17013_028MA,B17013_028EA,B17013_029MA,B17013_029EA,B17013_030MA,B17013_030EA,B17013_031EA,B17013_031MA,B17013_032EA,B17013_032MA,B17013_033EA,B17013_033MA,B17013_034MA,B17013_034EA,B17013_035MA,B17013_035EA,state
0400000US01,1203689,13513,154370,6386,46628,2879,18792,1835,15816,1851,9683,1650,2337,812,107742,5689,12997,1904,7186,1468,4220,1040,1463,760,128,196,94745,5195,36885,3485,46537,3711,9725,1963,1598,662,1049319,13531,810346,11402,412581,9174,312572,7727,77802,5290,7391,1320,238973,8210,64559,3977,41036,3659,20845,2784,2187,733,491,307,174414,6972,92183,5743,71240,4936,9285,1869,1706,703,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5212,876,1778,380,1194,538,1127,396,1113,628,7176,1230,2056,670,714,397,1105,556,161,81,76,43,5120,1123,1424,501,2731,867,823,333,142,52,155013,3917,118613,4050,53101,2309,44915,2860,16831,2191,3766,861,36400,2549,12946,1688,7256,1352,4399,850,990,494,301,222,23454,2079,12416,1669,8940,1247,1454,691,644,443,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,74404,4198,28359,2283,20820,2283,19418,2319,5807,1249,101658,5296,21609,2410,9492,1656,8095,1602,2378,944,1644,771,80049,4515,24400,2640,37070,3251,15378,2412,3201,760,1476263,14537,1132114,14104,572609,9736,392429,9243,140511,6192,26565,2424,344149,9644,116465,6113,62692,4610,45122,3702,6815,1511,1836,837,227684,7610,106111,5010,97662,5264,18188,2211,5723,1197,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31694,2922,10760,1570,9941,1606,8976,1569,2017,910,56196,3862,8966,1471,5485,1131,3031,885,405,351,45,75,47230,3488,16408,2010,24861,2675,5368,1175,593,410,666809,11484,521158,9536,265941,5656,191873,5858,56087,3887,7257,1383,145651,6741,44835,3793,25057,2782,17055,2460,2568,947,155,196,100816,5019,52490,4022,40699,3059,6783,1326,844,417,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,373259,9802,98398,5201,136157,5859,110682,6614,28022,3317,484808,12165,98151,5701,42222,4049,39142,3133,14000,2485,2787,944,386657,9764,122791,5539,190078,7501,59247,4048,14541,2114,8052550,26039,6073706,28866,2319894,19707,2613026,24969,947884,17561,192902,8058,1978844,20951,675061,15412,321015,9853,280420,9676,60907,4409,12719,1974,1303783,17677,608886,11225,544787,12342,118721,5918,31389,3072,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,38461,3259,15157,1849,11578,1653,9313,1987,2413,986,53499,4065,9483,1794,5152,1230,3270,1101,803,526,258,346,44016,3823,17875,2135,19912,2693,5690,1440,539,345,1274847,10110,1023853,11173,491560,9386,393643,8034,120394,6279,18256,2220,250994,6370,91058,4575,49344,3587,35442,3471,4933,1257,1339,811,159936,5822,84609,4333,64963,4477,9298,1879,1066,420,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,17623,1988,7083,1337,6741,1066,3257,958,542,493,38133,3858,5613,1375,2752,875,2049,781,644,510,168,264,32520,3518,10957,1623,16939,2474,3834,1161,790,484,821537,8644,631938,8173,288608,7088,269828,6700,65648,3884,7854,1657,189599,7241,55704,3805,32888,2674,20352,2535,2265,714,199,228,133895,5727,71452,4536,54337,3531,7761,1501,345,180,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,9611,1790,4433,1168,2462,904,2246,827,470,340,12054,1765,2402,945,1282,783,752,387,368,367,0,198,9652,1519,3934,1277,4687,1095,1031,492,0,198,214130,5465,167336,5179,84651,3576,66618,3726,14737,2231,1330,621,46794,3453,14114,1743,7627,1294,5978,1499,485,304,24,47,32680,3052,16877,2302,14403,1847,1145,437,255,220,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2406,868,798,438,1276,729,289,242,43,73,13523,1678,1628,658,824,520,679,518,125,148,0,208,11895,1619,5519,1152,4624,1055,1639,738,113,139,103428,3668,68170,3209,35550,2405,27025,2007,5104,1112,491,359,35258,2731,8363,1370,4020,930,3595,1167,682,440,66,111,26895,2298,14373,2259,10266,1531,1587,602,669,506,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,213722,7908,99968,5607,65843,5114,39017,3615,8894,1622,285307,9019,50716,3727,25571,2661,19189,2305,5685,1749,271,229,234591,8437,86210,5455,110618,5739,32742,3818,5021,1432,4444477,28838,3374573,27825,1782649,18445,1223198,19543,325343,8269,43383,3854,1069904,19401,326912,10597,185536,8494,125815,7344,14011,2175,1550,827,742992,15642,395345,10393,290263,10354,51474,3750,5910,1237,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
