GEO_ID,B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,NAME,B16006_001EA,B16006_001MA,B16006_002EA,B16006_002MA,B16006_003MA,B16006_003EA,B16006_004EA,B16006_004MA,B16006_005EA,B16006_005MA,B16006_006EA,B16006_006MA,B16006_007EA,B16006_007MA,B16006_008MA,B16006_008EA,state
0400000US01,178415,2599,55143,5377,121346,5174,65842,4110,26973,3495,19138,2453,9393,2057,1926,882,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46087,431,28570,2524,15284,2418,10698,1963,3403,1291,957,511,226,229,2233,1860,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2005967,193,697585,19094,1301673,19149,868574,15809,179487,8822,152660,6939,100952,6937,6709,1656,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,199570,2073,62756,5890,136056,6148,73563,5216,30976,3345,23390,3033,8127,2119,758,648,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14204980,855,3805359,51369,10336254,52015,6149812,42505,1755500,25732,1586237,22811,844705,21118,63367,5821,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1105608,1323,541582,15751,558549,15610,370089,12796,86410,6055,76667,5592,25383,3669,5477,2234,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,531361,700,140954,7968,388167,8065,219628,7635,79386,5532,63523,5115,25630,3852,2240,890,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80547,-555555555,20114,3227,60008,3267,39178,3280,10108,1749,8995,1937,1727,900,425,411,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68767,-555555555,15819,2166,52453,2188,27474,2974,10922,2230,11239,2473,2818,1079,495,288,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010934,1666,926600,23888,4065031,23825,2231842,24016,752577,17655,680197,18599,400415,14777,19303,3535,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
