GEO_ID,B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,NAME,B14007D_001MA,B14007D_001EA,B14007D_002MA,B14007D_002EA,B14007D_003MA,B14007D_003EA,B14007D_004EA,B14007D_004MA,B14007D_005EA,B14007D_005MA,B14007D_006EA,B14007D_006MA,B14007D_007EA,B14007D_007MA,B14007D_008MA,B14007D_008EA,B14007D_009MA,B14007D_009EA,B14007D_010EA,B14007D_010MA,B14007D_011MA,B14007D_011EA,B14007D_012EA,B14007D_012MA,B14007D_013MA,B14007D_013EA,B14007D_014MA,B14007D_014EA,B14007D_015EA,B14007D_015MA,B14007D_016EA,B14007D_016MA,B14007D_017EA,B14007D_017MA,B14007D_018EA,B14007D_018MA,B14007D_019MA,B14007D_019EA,state
0400000US01,64285,2840,22658,2030,930,579,951,502,745,334,477,355,988,585,703,401,1093,585,971,506,646,408,830,496,1757,513,1366,827,1197,479,991,469,5963,1053,3050,960,41627,2452,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47540,2017,13148,1563,251,219,682,342,674,597,890,404,994,661,410,304,256,300,950,425,652,380,588,435,744,313,857,356,572,352,1244,720,2356,739,1028,620,34392,1874,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,225017,4618,66204,4276,3635,902,2069,594,1855,727,1688,559,3676,991,2482,1020,2443,683,1266,522,2655,781,3435,847,1975,610,2292,738,2698,650,2816,913,23818,3085,7401,1483,158813,3717,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46805,3159,15467,2093,1223,625,805,533,738,348,1160,518,483,366,843,485,595,383,390,249,1028,499,589,495,732,413,678,482,726,417,522,301,3938,1228,1017,639,31338,2280,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5607360,20617,1435002,14814,87137,4018,64390,3531,54108,3353,55769,4740,53690,3679,50246,2972,59747,4021,57585,4217,60991,3787,57131,3520,59902,4146,59952,3297,65071,3985,62482,3779,447280,8897,139521,6633,4172358,16022,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,174816,4239,54424,2626,2371,635,2236,770,3012,899,2042,784,2994,966,1812,629,2886,800,2326,830,2366,810,2302,766,2193,631,3400,906,1881,539,2019,686,13711,1785,6873,1189,120392,3033,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,159622,3011,46512,2937,2163,578,1717,599,1987,711,1841,646,1706,558,1641,472,1304,520,2817,1016,1618,556,1865,552,2015,607,3097,734,1751,638,1810,577,12449,1708,6731,1424,113110,2679,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,37202,1580,12268,1464,901,467,614,384,434,268,574,484,405,229,414,281,292,287,578,379,113,125,495,299,291,271,415,295,527,486,530,453,2749,565,2936,995,24934,1325,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,571752,7834,157041,6142,6257,1137,5138,1276,5683,1315,5785,1348,5870,1232,5801,1326,7426,1475,6555,1455,7616,1342,7223,1617,8714,1470,6550,1545,7900,1433,7847,1222,43919,4157,18757,2648,414711,6134,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,396878,6568,116400,4602,6839,1056,6194,1159,4891,1168,3879,1212,4312,1279,6136,1451,5720,1174,4562,937,5539,1407,5777,1308,4819,1279,4843,1324,3895,984,5047,1374,30337,2165,13610,2477,280478,5532,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,534712,8374,93035,5312,4705,1054,4187,1076,3740,923,3415,915,2760,693,4135,1005,3633,966,4904,1019,3942,1136,4753,1065,5494,1164,4136,864,5209,969,6537,1320,26948,2997,4537,1120,441677,6434,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22632,3252,6647,1674,454,361,288,298,364,302,424,392,439,436,330,281,284,262,171,161,100,140,214,241,181,167,492,364,242,180,372,303,1969,782,323,240,15985,2184,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,673468,5916,195438,4618,11058,1352,7433,1185,8738,1169,7562,1326,6876,1207,7595,1070,8612,1130,7138,1260,7705,1065,8480,1420,5988,1121,8241,1171,8318,1098,8605,1488,50112,2799,32977,2787,478030,4600,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,143131,4004,56709,3768,1670,683,2730,1203,1433,606,2144,792,946,470,2073,1002,1954,812,2272,751,2109,824,1548,642,2294,635,1748,662,2914,1112,2861,1340,18890,2423,9123,1828,86422,3794,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,79116,2837,30084,2535,2507,946,1864,698,1419,648,719,403,1262,498,1518,712,813,389,945,503,562,307,935,608,1058,558,622,350,712,363,891,592,11493,1904,2764,1128,49032,2223,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,82940,3427,27394,2381,1537,567,1195,452,1476,503,560,350,1302,502,561,423,656,275,1361,586,925,407,1376,442,1031,449,837,311,983,386,1148,523,7908,1664,4538,1391,55546,2852,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
