GEO_ID,B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,NAME,B10051A_001MA,B10051A_001EA,B10051A_002EA,B10051A_002MA,B10051A_003EA,B10051A_003MA,B10051A_004EA,B10051A_004MA,B10051A_005EA,B10051A_005MA,B10051A_006MA,B10051A_006EA,B10051A_007MA,B10051A_007EA,state
0400000US01,70510,4875,37030,3631,18592,3097,18438,2283,33480,3382,13109,2207,20371,2660,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7714,1836,2249,853,1050,660,1199,570,5465,1542,2515,1013,2950,1039,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,119197,7016,41422,4008,23585,3091,17837,2647,77775,5865,34791,4193,42984,4030,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49291,4311,24778,2941,14793,2393,9985,1730,24513,3251,10583,2015,13930,2467,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,567578,16055,136087,7374,70604,5756,65483,4385,431491,13583,183346,9608,248145,9604,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,75091,5750,24235,3008,13409,2566,10826,1638,50856,4446,20062,2909,30794,3596,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,43881,4396,11173,1987,5672,1579,5501,1388,32708,4089,8581,1806,24127,3649,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15804,2806,5134,1446,2951,1222,2183,866,10670,2423,4340,1262,6330,1953,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,353054,13223,101806,7095,53429,5089,48377,5141,251248,13468,89876,7985,161372,9936,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,127477,7052,49620,4727,30283,3763,19337,2740,77857,5740,34332,3984,43525,4319,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
